instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PSD-PSD16:matches_reference,PSD32:matches_reference,PSD-PSD16:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PSD-PSD16:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PSD-PSD16:branches,PSD32:branches,relative_change:branches,PSD-PSD16:nodes_expanded,PSD32:nodes_expanded,PSD-PSD16:pruned_by_bound,PSD32:pruned_by_bound,PSD-PSD16:pruned_infeasible,PSD32:pruned_infeasible,PSD-PSD16:root_potential_iterations,PSD32:root_potential_iterations,PSD-PSD16:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_iterations,PSD32:search_node_potential_iterations,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.7290436315728592,0.7303954487334259,0.09956128522753716,0.09963912516832352,0.0007818294089763089,438.0,338.0,-0.228310502283105,134.0,114.0,307.0,225.0,47.0,39.0,400.0,400.0,392.0,301.0,392.0,301.0,0.0,0.0,0.0,3566.0,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,7.560373575262826,7.138679918416139,0.33290079794824123,0.3165017291903496,-0.049261127816345285,791.0,569.0,-0.2806573957016435,248.0,155.0,555.0,417.0,0.0,0.0,400.0,400.0,654.0,470.0,643.0,460.0,11.0,10.0,-0.09090909090909094,6369.0,6892.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.08619113809683276,-0.38866389087210074,0.03202161379158497,0.018022581934928894,-0.4371744643405484,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,168.4209581918981,77.54542462811818,27.089444674551487,12.558965299278498,-0.5363889717873505,35455.0,10469.0,-0.7047242984064307,11465.0,3313.0,24235.0,7184.0,0.0,0.0,400.0,400.0,31918.0,9361.0,31872.0,9314.0,46.0,47.0,0.021739130434782705,290978.0,146917.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,486.66439572218343,145.3671086287992,163.8798136804253,49.18672493100166,-0.6998609906469719,189390.0,38620.0,-0.796082158508897,69148.0,13350.0,122035.0,25404.0,16.0,3.0,400.0,400.0,175968.0,35911.0,175960.0,35904.0,8.0,7.0,-0.125,1668243.0,583154.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.04475388339856157,-0.22176388070706932,0.017340058460831642,0.014126893132925034,-0.18530302738970716,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,1.751695947634726,0.06954046778262568,0.023439154028892517,0.009110426530241966,-0.6113158982183442,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.6010213510655347,-0.16120637413368277,0.02171625941991806,0.011377399787306786,-0.47608841986518713,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.6185620078102554,2.363536512494056,0.27842507511377335,0.25880250334739685,-0.07047702782645593,2062.0,1387.0,-0.32735208535402527,721.0,454.0,1352.0,936.0,2.0,0.0,323.0,323.0,1850.0,1241.0,1834.0,1226.0,16.0,15.0,-0.0625,17213.0,19427.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,28.743294565182982,13.773706407790057,5.991922909393907,2.9762308169156313,-0.5032928724350557,14079.0,4889.0,-0.6527452233823425,5151.0,1679.0,9105.0,3239.0,1.0,0.0,356.0,356.0,12842.0,4521.0,12840.0,4521.0,2.0,0.0,-1.0,125257.0,75446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.28485651510922927,0.3089309464269081,0.04015773721039295,0.04091017507016659,0.018737058212007662,12.0,8.0,-0.33333333333333337,5.0,4.0,7.0,4.0,0.0,1.0,100.0,100.0,9.0,6.0,9.0,6.0,0.0,0.0,0.0,79.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1181.890520964611,1169.8880507432275,110.05995316430926,108.94320458360016,-0.010146729565129853,419072.0,392606.0,-0.06315382559560168,80639.0,71396.0,338851.0,321356.0,1.0,1.0,330.0,330.0,397351.0,372430.0,344659.0,319738.0,52692.0,52692.0,0.0,1789644.0,1885453.0,0.0,0.0,0.0,0.0,52692.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,848.2813984736539,339.9390412663066,155.72557643055916,62.51512022316456,-0.5985558592487139,288210.0,75304.0,-0.7387182956871725,99495.0,25184.0,190564.0,50375.0,14.0,17.0,400.0,400.0,267405.0,70329.0,267142.0,70066.0,263.0,263.0,0.0,2557901.0,1175808.0,0.0,0.0,0.0,0.0,262.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,210.53596178181823,94.5044835641701,25.22262271679938,11.387536834925413,-0.5485189243487827,48189.0,14960.0,-0.6895557077341302,14744.0,4446.0,33625.0,10544.0,0.0,0.0,311.0,311.0,44922.0,14130.0,44764.0,13973.0,158.0,157.0,-0.006329113924050667,392736.0,203477.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,179.3760824591088,143.18777021071793,25.412820449098945,20.314322527498007,-0.20062699973869735,41390.0,23169.0,-0.44022710799710074,13365.0,7054.0,28277.0,16172.0,0.0,0.0,400.0,400.0,38328.0,21707.0,38008.0,21386.0,320.0,321.0,0.0031250000000000444,350637.0,333498.0,0.0,0.0,0.0,0.0,319.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,274.62167743048497,181.30149844853824,64.8737895898521,42.90877685137093,-0.338580694566316,112861.0,46593.0,-0.587164742470827,37703.0,14327.0,75997.0,32397.0,0.0,0.0,394.0,394.0,106787.0,44047.0,106763.0,44023.0,24.0,24.0,0.0,974592.0,669192.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.5085961115400015,1.5743840877969992,0.20262298732995987,0.20793677866458893,0.026225017233488135,62.0,51.0,-0.17741935483870963,22.0,16.0,40.0,35.0,0.0,0.0,307.0,307.0,40.0,30.0,39.0,29.0,1.0,1.0,0.0,397.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,12.479612389377507,13.157135737030645,5.907680280506611,6.204616958275437,0.05026282122081316,7902.0,5845.0,-0.2603138445963047,2750.0,2050.0,5211.0,3814.0,0.0,0.0,349.0,349.0,7237.0,5349.0,7237.0,5349.0,0.0,0.0,0.0,68594.0,88411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1178.3095761312727,58.631599103023966,294.6342087481171,14.898131392896175,-0.9494351607839516,289684.0,9064.0,-0.9687107330746607,132675.0,4104.0,175480.0,5462.0,69.0,1.0,400.0,400.0,249603.0,8011.0,249603.0,8011.0,0.0,0.0,0.0,2831507.0,167614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,1998.4395512906553,2205.8190562384134,430.161335574463,474.7771604247391,0.10371881701244368,1680006.0,1391537.0,-0.17170712485550643,472155.0,372985.0,1217433.0,1021351.0,122.0,119.0,400.0,400.0,1528715.0,1276343.0,1453850.0,1201478.0,74865.0,74865.0,0.0,11816231.0,15183662.0,0.0,0.0,0.0,0.0,74865.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,313.4212739274417,257.6851909355479,899.7153159286827,740.2267199717462,-0.17726562295131432,385045.0,210812.0,-0.452500357101118,140683.0,74578.0,249508.0,137590.0,17.0,7.0,400.0,400.0,362982.0,200374.0,362973.0,200363.0,9.0,11.0,0.22222222222222232,3773961.0,3660495.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7628921524954355,-0.7008350017149919,0.2752109542489052,0.3472406566143036,0.2617254191860896,304.0,335.0,0.10197368421052633,100.0,104.0,208.0,235.0,0.0,0.0,400.0,400.0,220.0,282.0,220.0,281.0,0.0,1.0,,2326.0,4297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,2.3418210682207534,2.368626611014586,0.26230517588555813,0.2644091881811619,0.008021238195168978,280.0,214.0,-0.23571428571428577,67.0,42.0,215.0,172.0,0.0,0.0,400.0,400.0,134.0,98.0,118.0,82.0,16.0,16.0,0.0,1213.0,1183.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,8.764403618292587,4.67895786487516,0.6972543131560087,0.4055217318236828,-0.4184019744701839,2322.0,850.0,-0.6339362618432386,789.0,290.0,1572.0,566.0,0.0,0.0,400.0,400.0,2109.0,734.0,2099.0,724.0,10.0,10.0,0.0,21442.0,13300.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.0011208260121398084,-0.21875291853127243,0.03382723033428192,0.026457078754901886,-0.21787629393680563,3.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,20.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,513.6431189831437,287.3638670072337,62.23962927237153,34.87399231828749,-0.43968187590461394,49715.0,18956.0,-0.6187066277783365,17389.0,6398.0,32662.0,12644.0,0.0,0.0,400.0,400.0,46382.0,17712.0,46353.0,17685.0,29.0,27.0,-0.06896551724137934,450586.0,298613.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.002493294182992045,-0.5492207172519359,0.03201502747833729,0.0143958181142807,-0.5503418473083768,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.4732395017482679,-0.6601992180314764,0.023976843804121017,0.015466896817088127,-0.35492356944704473,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,timeout,0,,ok,1,6110.0,,,True,,6555.453503299446,,1212.88944667764,,,753303.0,,,241404.0,,514568.0,,1.0,,400.0,,715541.0,,715522.0,,19.0,,,11648367.0,,0.0,,0.0,,19.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
d198.tsp,ok,0.9902167804539204,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,timeout,0,,ok,1,26524.0,,,True,,2026.9941548851546,,954.6443466115743,,,511863.0,,,151929.0,,361602.0,,0.0,,400.0,,484698.0,,484684.0,,14.0,,,7704730.0,,0.0,,0.0,,14.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
kroB150.tsp,ok,0.46501733362674713,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.15831930935382843,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.5037562884390354,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8909101411700249,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.48868450708687305,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,1.865148700773716,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.36307481303811073,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
