instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H3:status,H3:successful_repeats,H3:result,PH332:status,PH332:successful_repeats,PH332:result,result_match,H3:matches_reference,PH332:matches_reference,H3:wall_vs_Concorde_symmetric_change,PH332:wall_vs_Concorde_symmetric_change,H3:wall_seconds,PH332:wall_seconds,symmetric_change:wall_seconds,H3:branches,PH332:branches,symmetric_change:branches,H3:nodes_expanded,PH332:nodes_expanded,H3:pruned_by_bound,PH332:pruned_by_bound,H3:pruned_infeasible,PH332:pruned_infeasible,H3:root_potential_iterations,PH332:root_potential_iterations,H3:search_node_potential_update_candidates,PH332:search_node_potential_update_candidates,H3:search_node_potential_updates_triggered,PH332:search_node_potential_updates_triggered,H3:search_node_potential_updates_skipped_total,PH332:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H3:search_node_potential_iterations,PH332:search_node_potential_iterations,H3:search_node_potential_updates_skipped_budget_exhausted,PH332:search_node_potential_updates_skipped_budget_exhausted,H3:search_node_potential_updates_skipped_depth_interval,PH332:search_node_potential_updates_skipped_depth_interval,H3:search_node_potential_updates_skipped_gap_above_maximum,PH332:search_node_potential_updates_skipped_gap_above_maximum,H3:search_node_potential_updates_skipped_gap_below_minimum,PH332:search_node_potential_updates_skipped_gap_below_minimum,H3:search_node_potential_updates_skipped_invalid_state,PH332:search_node_potential_updates_skipped_invalid_state,H3:search_node_potential_updates_skipped_numerically_unsafe,PH332:search_node_potential_updates_skipped_numerically_unsafe,H3:search_node_potential_updates_skipped_strategy_none,PH332:search_node_potential_updates_skipped_strategy_none,H3:search_node_potential_updates_skipped_update_depth_zero,PH332:search_node_potential_updates_skipped_update_depth_zero,H3:search_node_potential_updates_skipped_zero_iteration_limit,PH332:search_node_potential_updates_skipped_zero_iteration_limit,H3:search_node_potential_updates_skipped_zero_violation,PH332:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.2622975539717034,-0.508510009540786,0.04152873903512955,0.062280239537358284,0.4996901178404394,57.0,57.0,0.0,28.0,28.0,32.0,32.0,6.0,3.0,100.0,100.0,45.0,44.0,22.0,21.0,23.0,23.0,0.0,141.0,179.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1732290303141277,-1.2409754962625033,0.016428185626864433,0.015931548550724983,-0.031173182855275483,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.06627893498802817,-0.07583451406417341,0.03887263499200344,0.038527367636561394,-0.008961612916279282,13.0,13.0,0.0,8.0,8.0,3.0,3.0,9.0,9.0,100.0,100.0,9.0,9.0,2.0,2.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5986256733748212,-0.28476520754049406,0.039414992555975914,0.049043839797377586,0.24429402663788635,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.23856629640258875,-0.1954659917786543,0.08051200769841671,0.0834147185087204,0.03605314155345263,965.0,547.0,-0.7641681901279707,374.0,220.0,659.0,378.0,14.0,1.0,120.0,120.0,830.0,478.0,486.0,284.0,344.0,194.0,-0.7731958762886597,2178.0,1806.0,0.0,0.0,344.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.7862902714271993,1.686840967015654,0.022031033411622047,0.033137885853648186,0.5041457763014845,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1259.0624657122353,713.4403026551925,440.58813956566155,249.80818994529545,-0.7637057442437907,1206559.0,388836.0,-2.103002294026273,495979.0,154167.0,773403.0,249445.0,136.0,77.0,800.0,400.0,1113604.0,360715.0,666603.0,221126.0,447001.0,139589.0,-2.202265221471606,3301443.0,1610189.0,0.0,0.0,446638.0,139186.0,361.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.31219927723283436,0.997663962829421,0.0238124281167984,0.0624203085899353,1.6213332081788456,10.0,10.0,0.0,5.0,5.0,5.0,5.0,1.0,1.0,100.0,100.0,5.0,5.0,1.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5252163529799261,0.5652625349240346,0.01599842496216297,0.03819406405091286,1.3873640149729498,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.693073611402911,4.081164108179299,0.5582590624690056,0.42381214909255505,-0.3172323248975317,1909.0,928.0,-1.0571120689655173,702.0,303.0,1323.0,682.0,0.0,0.0,400.0,400.0,1370.0,560.0,781.0,305.0,589.0,255.0,-1.3098039215686272,5157.0,2966.0,0.0,0.0,565.0,229.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
