instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,helsgaun64:status,helsgaun64:successful_repeats,helsgaun64:result,helsgaun128:status,helsgaun128:successful_repeats,helsgaun128:result,result_match,helsgaun64:matches_reference,helsgaun128:matches_reference,helsgaun64:wall_vs_Concorde_symmetric_change,helsgaun128:wall_vs_Concorde_symmetric_change,helsgaun64:wall_seconds,helsgaun128:wall_seconds,symmetric_change:wall_seconds,helsgaun64:branches,helsgaun128:branches,symmetric_change:branches,helsgaun64:nodes_expanded,helsgaun128:nodes_expanded,helsgaun64:pruned_by_bound,helsgaun128:pruned_by_bound,helsgaun64:pruned_infeasible,helsgaun128:pruned_infeasible,helsgaun64:root_potential_iterations,helsgaun128:root_potential_iterations,helsgaun64:search_node_potential_update_candidates,helsgaun128:search_node_potential_update_candidates,helsgaun64:search_node_potential_updates_triggered,helsgaun128:search_node_potential_updates_triggered,helsgaun64:search_node_potential_updates_skipped_total,helsgaun128:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,helsgaun64:search_node_potential_iterations,helsgaun128:search_node_potential_iterations,helsgaun64:search_node_potential_updates_skipped_budget_exhausted,helsgaun128:search_node_potential_updates_skipped_budget_exhausted,helsgaun64:search_node_potential_updates_skipped_depth_interval,helsgaun128:search_node_potential_updates_skipped_depth_interval,helsgaun64:search_node_potential_updates_skipped_gap_above_maximum,helsgaun128:search_node_potential_updates_skipped_gap_above_maximum,helsgaun64:search_node_potential_updates_skipped_gap_below_minimum,helsgaun128:search_node_potential_updates_skipped_gap_below_minimum,helsgaun64:search_node_potential_updates_skipped_invalid_state,helsgaun128:search_node_potential_updates_skipped_invalid_state,helsgaun64:search_node_potential_updates_skipped_numerically_unsafe,helsgaun128:search_node_potential_updates_skipped_numerically_unsafe,helsgaun64:search_node_potential_updates_skipped_strategy_none,helsgaun128:search_node_potential_updates_skipped_strategy_none,helsgaun64:search_node_potential_updates_skipped_update_depth_zero,helsgaun128:search_node_potential_updates_skipped_update_depth_zero,helsgaun64:search_node_potential_updates_skipped_zero_iteration_limit,helsgaun128:search_node_potential_updates_skipped_zero_iteration_limit,helsgaun64:search_node_potential_updates_skipped_zero_violation,helsgaun128:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.8958427253048937,-1.374729790260651,0.04955599084496498,0.03956254944205284,-0.2525985191512874,34.0,33.0,-0.030303030303030276,10.0,10.0,24.0,23.0,2.0,2.0,100.0,100.0,31.0,26.0,31.0,26.0,0.0,0.0,0.0,729.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,0.3456472990343331,-1.6244437555761366,0.04804258234798908,0.013603724539279938,-2.5315756511585494,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-2.0099764439812446,-0.3869064958761397,0.013770563527941704,0.02988598868250847,1.1702807312037105,8.0,8.0,0.0,2.0,2.0,5.0,5.0,1.0,1.0,100.0,100.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.4977066074410583,-0.6732771593066287,0.042070869356393814,0.03765653446316719,-0.11722626513983636,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.09533376654575165,0.04819426201690491,0.10922609083354473,0.1045253649353981,-0.04497210701968757,90.0,109.0,0.21111111111111103,31.0,34.0,60.0,75.0,0.0,0.0,120.0,120.0,84.0,103.0,84.0,103.0,0.0,0.0,0.0,2795.0,5353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6875970570851768,-2.265327418231742,0.007308261469006538,0.0037770792841911316,-0.9348975542014908,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,4625.408105615393,1881.2358588537675,884.0243338737637,359.6618074607104,-1.4579321894508768,384500.0,84059.0,-3.5741681438037567,124523.0,23508.0,266379.0,60663.0,1.0,0.0,400.0,400.0,359876.0,80560.0,358169.0,78855.0,1707.0,1705.0,-0.001173020527859281,10896307.0,4529605.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,810.3788678132706,391.10318851227083,283.7033207323402,137.10115097090602,-1.0692993364624952,92094.0,25521.0,-2.6085576583989654,27897.0,6724.0,65460.0,18858.0,0.0,0.0,400.0,400.0,87241.0,24528.0,86836.0,24124.0,405.0,404.0,-0.0024752475247524774,2538904.0,1292629.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.19812841623380106,0.14669571869982612,0.037437500432133675,0.03583040088415146,-0.04485296028862096,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.5671547170318298,0.0010583029184474402,0.038240235298871994,0.024426883086562157,-0.5654979459867686,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
