instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,HP1:status,HP1:successful_repeats,HP1:result,HP132:status,HP132:successful_repeats,HP132:result,result_match,HP1:matches_reference,HP132:matches_reference,HP1:wall_vs_Concorde_symmetric_change,HP132:wall_vs_Concorde_symmetric_change,HP1:wall_seconds,HP132:wall_seconds,symmetric_change:wall_seconds,HP1:branches,HP132:branches,symmetric_change:branches,HP1:nodes_expanded,HP132:nodes_expanded,HP1:pruned_by_bound,HP132:pruned_by_bound,HP1:pruned_infeasible,HP132:pruned_infeasible,HP1:root_potential_iterations,HP132:root_potential_iterations,HP1:search_node_potential_update_candidates,HP132:search_node_potential_update_candidates,HP1:search_node_potential_updates_triggered,HP132:search_node_potential_updates_triggered,HP1:search_node_potential_updates_skipped_total,HP132:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,HP1:search_node_potential_iterations,HP132:search_node_potential_iterations,HP1:search_node_potential_updates_skipped_budget_exhausted,HP132:search_node_potential_updates_skipped_budget_exhausted,HP1:search_node_potential_updates_skipped_depth_interval,HP132:search_node_potential_updates_skipped_depth_interval,HP1:search_node_potential_updates_skipped_gap_above_maximum,HP132:search_node_potential_updates_skipped_gap_above_maximum,HP1:search_node_potential_updates_skipped_gap_below_minimum,HP132:search_node_potential_updates_skipped_gap_below_minimum,HP1:search_node_potential_updates_skipped_invalid_state,HP132:search_node_potential_updates_skipped_invalid_state,HP1:search_node_potential_updates_skipped_numerically_unsafe,HP132:search_node_potential_updates_skipped_numerically_unsafe,HP1:search_node_potential_updates_skipped_strategy_none,HP132:search_node_potential_updates_skipped_strategy_none,HP1:search_node_potential_updates_skipped_update_depth_zero,HP132:search_node_potential_updates_skipped_update_depth_zero,HP1:search_node_potential_updates_skipped_zero_iteration_limit,HP132:search_node_potential_updates_skipped_zero_iteration_limit,HP1:search_node_potential_updates_skipped_zero_violation,HP132:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.9648284030399219,-0.45589186839168483,0.047816066071391106,0.06453114189207554,0.3495702845091486,36.0,36.0,0.0,15.0,11.0,23.0,25.0,1.0,2.0,208.0,208.0,25.0,31.0,24.0,31.0,1.0,0.0,,251.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1090086102225225,-0.025247733941823336,0.016928432509303093,0.03482300788164139,1.0570721986518392,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,125.0,125.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.22060962352306324,-3.2592850775924918,0.03395768068730831,0.009731462225317955,-2.489473616715274,9.0,10.0,0.11111111111111116,3.0,3.0,5.0,5.0,1.0,3.0,125.0,125.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,51.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3074796666643991,-0.761666160218369,0.04819181561470032,0.035767173394560814,-0.34737556929866154,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.28552485401945527,-0.13229610243702905,0.07757100835442543,0.08806835860013962,0.13532569020827112,30.0,22.0,-0.36363636363636354,10.0,6.0,20.0,16.0,6.0,7.0,212.0,212.0,24.0,18.0,24.0,18.0,0.0,0.0,0.0,223.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,ok,1,1950.0,ok,1,1950.0,True,True,True,1.1260608930211307,1.1938915780694082,0.4424912128597498,0.4566086269915104,0.03190439430541914,101.0,97.0,-0.04123711340206193,37.0,34.0,64.0,63.0,1.0,1.0,346.0,346.0,43.0,39.0,43.0,39.0,0.0,0.0,0.0,593.0,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.45629654816420184,0.9971882266164298,0.00846901722252369,0.024632122367620468,1.9084983204556907,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.19935145580277047,0.3176376290593772,0.037475716322660446,0.041171763092279434,0.0986251133346343,4.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,139.0,139.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.10317621407703181,0.12536523244382414,0.026918668299913406,0.02746010385453701,0.02011375706224472,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,74.53194527220262,74.82873614904507,6.300004363059998,6.324759237468243,0.003929342422902993,48673.0,48640.0,-0.0006784539473683182,9192.0,9193.0,39503.0,39473.0,0.0,0.0,497.0,497.0,44197.0,44217.0,35112.0,35131.0,9085.0,9086.0,0.00011007154650521933,107601.0,109369.0,0.0,0.0,0.0,0.0,9084.0,9084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
