instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P16:status,P16:successful_repeats,P16:result,H2:status,H2:successful_repeats,H2:result,result_match,P16:matches_reference,H2:matches_reference,P16:wall_vs_Concorde_symmetric_change,H2:wall_vs_Concorde_symmetric_change,P16:wall_seconds,H2:wall_seconds,symmetric_change:wall_seconds,P16:branches,H2:branches,symmetric_change:branches,P16:nodes_expanded,H2:nodes_expanded,P16:pruned_by_bound,H2:pruned_by_bound,P16:pruned_infeasible,H2:pruned_infeasible,P16:root_potential_iterations,H2:root_potential_iterations,P16:search_node_potential_update_candidates,H2:search_node_potential_update_candidates,P16:search_node_potential_updates_triggered,H2:search_node_potential_updates_triggered,P16:search_node_potential_updates_skipped_total,H2:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P16:search_node_potential_iterations,H2:search_node_potential_iterations,P16:search_node_potential_updates_skipped_budget_exhausted,H2:search_node_potential_updates_skipped_budget_exhausted,P16:search_node_potential_updates_skipped_depth_interval,H2:search_node_potential_updates_skipped_depth_interval,P16:search_node_potential_updates_skipped_gap_above_maximum,H2:search_node_potential_updates_skipped_gap_above_maximum,P16:search_node_potential_updates_skipped_gap_below_minimum,H2:search_node_potential_updates_skipped_gap_below_minimum,P16:search_node_potential_updates_skipped_invalid_state,H2:search_node_potential_updates_skipped_invalid_state,P16:search_node_potential_updates_skipped_numerically_unsafe,H2:search_node_potential_updates_skipped_numerically_unsafe,P16:search_node_potential_updates_skipped_strategy_none,H2:search_node_potential_updates_skipped_strategy_none,P16:search_node_potential_updates_skipped_update_depth_zero,H2:search_node_potential_updates_skipped_update_depth_zero,P16:search_node_potential_updates_skipped_zero_iteration_limit,H2:search_node_potential_updates_skipped_zero_iteration_limit,P16:search_node_potential_updates_skipped_zero_violation,H2:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-2.3017915704556557,-1.5973769073237536,0.028454359620809555,0.03617124818265438,0.2712023276813169,36.0,58.0,0.6111111111111112,14.0,28.0,23.0,33.0,0.0,4.0,100.0,100.0,30.0,52.0,30.0,33.0,0.0,19.0,,293.0,233.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.9144879384374685,-0.07121265603368232,0.018648438155651093,0.03332877904176712,0.7872155707402981,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,100.0,100.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.064920634905906,-4.851009967551359,0.02007296122610569,0.007084088400006294,-1.8335277727601276,9.0,12.0,0.33333333333333326,3.0,7.0,5.0,3.0,1.0,7.0,100.0,100.0,7.0,8.0,7.0,3.0,0.0,5.0,,51.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-4.359116012471601,-0.871737227056042,0.01175750233232975,0.03366381675004959,1.863177552385746,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.6617671831406877,-0.7318977520435328,0.060008080676198006,0.05757814459502697,-0.0422024033296291,125.0,336.0,1.6880000000000002,38.0,113.0,88.0,235.0,0.0,0.0,120.0,120.0,107.0,294.0,107.0,209.0,0.0,85.0,,909.0,1217.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.5303423590745342,-2.5732582141382743,0.008059242740273476,0.003451583907008171,-1.334940409216132,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,4523.000857754305,4988.434870349297,864.4561295546591,953.3922941889614,0.10288106196912428,904164.0,2104193.0,1.3272249282209865,291794.0,792685.0,619746.0,1393860.0,1.0,46.0,400.0,400.0,850624.0,1915414.0,848919.0,1331913.0,1705.0,583501.0,341.2293255131965,7824399.0,8536978.0,0.0,0.0,0.0,581792.0,1704.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,407.9148489241617,577.2296443026238,142.97944540902972,202.1813443042338,0.4140588091235191,100246.0,304447.0,2.0369989825030426,31384.0,113173.0,69434.0,199602.0,0.0,5.0,400.0,400.0,96177.0,286440.0,95772.0,203392.0,405.0,83048.0,204.05679012345678,879974.0,1321858.0,0.0,0.0,0.0,82640.0,404.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3587540499378876,0.07175868881478831,0.02299654670059681,0.03348886966705322,0.4562564589832141,3.0,7.0,1.3333333333333335,1.0,3.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,2.0,0.0,2.0,,18.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4800768045337045,-0.12328758313796895,0.01648634672164917,0.02172289602458477,0.31762945371391393,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.7772527989540947,5.139300691136389,0.39846337027847767,0.512069707736373,0.28511111919396304,669.0,1254.0,0.8744394618834082,145.0,421.0,528.0,898.0,0.0,0.0,400.0,400.0,333.0,800.0,306.0,541.0,27.0,259.0,8.592592592592593,3068.0,4675.0,0.0,0.0,0.0,234.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
