instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,gap0.005-0.02:status,gap0.005-0.02:successful_repeats,gap0.005-0.02:result,result_match,P32-no-node-update:matches_reference,gap0.005-0.02:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,gap0.005-0.02:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,gap0.005-0.02:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,gap0.005-0.02:branches,relative_change:branches,P32-no-node-update:nodes_expanded,gap0.005-0.02:nodes_expanded,P32-no-node-update:pruned_by_bound,gap0.005-0.02:pruned_by_bound,P32-no-node-update:pruned_infeasible,gap0.005-0.02:pruned_infeasible,P32-no-node-update:root_potential_iterations,gap0.005-0.02:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,gap0.005-0.02:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,gap0.005-0.02:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,gap0.005-0.02:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,gap0.005-0.02:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.02:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,gap0.005-0.02:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.02:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.02:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,gap0.005-0.02:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.02:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,gap0.005-0.02:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.02:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.02:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,gap0.005-0.02:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,15.830950435309184,5.234008915253933,0.6545318122953176,0.2424317728728056,-0.6296104049967506,132106.0,27170.0,-0.7943318244440071,105325.0,22899.0,74055.0,15135.0,751.0,37.0,464.0,364.0,105323.0,22908.0,0.0,52.0,105323.0,22856.0,-0.7829913694064924,0.0,1498.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,22847.0,0.0,0.0,0.0,0.0,105323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.11213453968775466,0.47327661698457724,0.03278644196689129,0.04343314282596111,0.32472876653774074,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,934.7870290245222,98.88095213984252,314.47160241007805,33.56503359787166,-0.8932652953696528,23991715.0,2942355.0,-0.8773595384906832,16170127.0,2176072.0,14222938.0,1658551.0,70.0,45113.0,800.0,800.0,16170125.0,2176154.0,0.0,1088.0,16170125.0,2175066.0,-0.8654886093954128,0.0,33406.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2175057.0,0.0,0.0,0.0,0.0,16170125.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.7344312870638139,1.3584792729954054,0.03148417919874191,0.042812179774045944,0.3597997744771029,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,4.544373661058007,5.403938941293086,0.047227393835783005,0.054549235850572586,0.15503379331598865,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,1.3860508184499594,1.9932343868590996,0.03236440196633339,0.04060024209320545,0.25447218630640167,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.7241883586737186,1.0982450842634748,0.2865523435175419,0.16144646517932415,-0.4365899674820113,125818.0,15914.0,-0.8735157131729959,90001.0,11859.0,74191.0,9243.0,367.0,15.0,334.0,334.0,90000.0,11944.0,0.0,258.0,90000.0,11686.0,-0.8701555555555556,0.0,6438.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,11676.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,39.08609120287102,8.935021355996293,8.075526660308242,2.0014555528759956,-0.7521578917306676,2490722.0,390339.0,-0.8432827910943093,1672187.0,270560.0,1488093.0,226718.0,6435.0,95.0,684.0,319.0,1672185.0,270584.0,0.0,248.0,1672185.0,270336.0,-0.838333677194808,0.0,7480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270334.0,0.0,0.0,0.0,0.0,1672185.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.5281977144898384,0.26709142964381205,0.04776328057050705,0.03960249572992325,-0.1708589682933742,44.0,44.0,0.0,36.0,36.0,19.0,19.0,14.0,14.0,100.0,100.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,8991.224216157194,324.60695879619163,836.6655734684318,30.295522704720497,-0.9637901645945235,192614325.0,3503135.0,-0.9818126974720078,146674028.0,2516326.0,115357483.0,2055155.0,7007.0,10.0,649.0,649.0,146674026.0,2582991.0,0.0,68594.0,146674026.0,2514397.0,-0.9828572442676388,0.0,299211.0,0.0,0.0,0.0,0.0,0.0,20158.0,0.0,2494238.0,0.0,0.0,0.0,0.0,146674026.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
