instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>1%128:status,P33>1%128:successful_repeats,P33>1%128:result,gap0.005-0.01:status,gap0.005-0.01:successful_repeats,gap0.005-0.01:result,result_match,P33>1%128:matches_reference,gap0.005-0.01:matches_reference,P33>1%128:wall_vs_Concorde_relative_change,gap0.005-0.01:wall_vs_Concorde_relative_change,P33>1%128:wall_seconds,gap0.005-0.01:wall_seconds,relative_change:wall_seconds,P33>1%128:branches,gap0.005-0.01:branches,relative_change:branches,P33>1%128:nodes_expanded,gap0.005-0.01:nodes_expanded,P33>1%128:pruned_by_bound,gap0.005-0.01:pruned_by_bound,P33>1%128:pruned_infeasible,gap0.005-0.01:pruned_infeasible,P33>1%128:root_potential_iterations,gap0.005-0.01:root_potential_iterations,P33>1%128:search_node_potential_update_candidates,gap0.005-0.01:search_node_potential_update_candidates,P33>1%128:search_node_potential_updates_triggered,gap0.005-0.01:search_node_potential_updates_triggered,P33>1%128:search_node_potential_updates_skipped_total,gap0.005-0.01:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>1%128:search_node_potential_iterations,gap0.005-0.01:search_node_potential_iterations,P33>1%128:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.01:search_node_potential_updates_skipped_budget_exhausted,P33>1%128:search_node_potential_updates_skipped_depth_interval,gap0.005-0.01:search_node_potential_updates_skipped_depth_interval,P33>1%128:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.01:search_node_potential_updates_skipped_gap_above_maximum,P33>1%128:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.01:search_node_potential_updates_skipped_gap_below_minimum,P33>1%128:search_node_potential_updates_skipped_invalid_state,gap0.005-0.01:search_node_potential_updates_skipped_invalid_state,P33>1%128:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.01:search_node_potential_updates_skipped_numerically_unsafe,P33>1%128:search_node_potential_updates_skipped_strategy_none,gap0.005-0.01:search_node_potential_updates_skipped_strategy_none,P33>1%128:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.01:search_node_potential_updates_skipped_update_depth_zero,P33>1%128:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.01:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%128:search_node_potential_updates_skipped_zero_violation,gap0.005-0.01:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,24.14541677042347,105.10074801171311,0.977869626134634,4.12610774114728,3.2194865561548722,227954.0,300457.0,0.31805978399150714,178971.0,195879.0,133330.0,178190.0,8.0,15448.0,364.0,464.0,178970.0,243653.0,8.0,47848.0,178962.0,195805.0,0.09411495177747242,1024.0,131073.0,0.0,0.0,0.0,0.0,0.0,28412.0,178962.0,167393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.28457367965477376,-0.8125000473864779,0.03787005878984928,0.005527619272470474,-0.8540372143823526,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1029.0385945108185,5629.611871197371,164.69729492999613,900.3027157709002,4.466408638669931,34486595.0,182856534.0,4.3022495842225075,24700244.0,127712711.0,19842751.0,108962409.0,0.0,6037.0,400.0,800.0,24700243.0,128241046.0,17.0,528540.0,24700226.0,127712506.0,4.170499492595736,2096.0,1580977.0,0.0,0.0,0.0,0.0,0.0,181548.0,24700220.0,127530955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,1048.0075494268422,455.282046655556,352.51940321549773,153.33376282453537,-0.5650345444083221,43396893.0,10404938.0,-0.7602377202441659,30341673.0,7603733.0,25649214.0,5936583.0,162015.0,1834.0,800.0,800.0,30341671.0,7604420.0,26.0,3948.0,30341645.0,7600472.0,-0.7495036277696875,3328.0,112335.0,0.0,0.0,0.0,0.0,0.0,383.0,30341643.0,7600080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,1.0750935583446881,1.071392474267415,0.03766803443431854,0.03760085068643093,-0.0017835745585493834,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,2.9626028868338308,2.289856108768065,0.03375375084578991,0.028023242950439453,-0.1697739585011252,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,2.2708831042173303,1.5165657139082733,0.044366270303726196,0.03413470648229122,-0.2306158203380836,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.0539191392896674,3.9770696358767843,0.2349794376641512,0.38295350037515163,0.6297319637069485,55441.0,28786.0,-0.4807813711873884,42328.0,17170.0,31686.0,17916.0,319.0,7.0,334.0,334.0,42342.0,22047.0,92.0,4944.0,42250.0,17103.0,-0.5951952662721893,10260.0,21844.0,0.0,0.0,0.0,0.0,0.0,5025.0,42250.0,12078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,20.71254245199561,17.2032716828602,4.374091116711497,3.6671324484050274,-0.16162412932037207,1213194.0,790528.0,-0.3483911064512354,836120.0,533772.0,702475.0,462357.0,1305.0,940.0,684.0,684.0,836118.0,534614.0,24.0,1295.0,836094.0,533319.0,-0.36213033462744615,3072.0,22169.0,0.0,0.0,0.0,0.0,0.0,643.0,836092.0,532676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.15997206388119567,0.634945381359667,0.03625451773405075,0.051099641248583794,0.4094696176468593,44.0,44.0,0.0,36.0,36.0,19.0,19.0,14.0,14.0,100.0,100.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
