instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P128 [P128-ba5f558d610b]:status,P128 [P128-ba5f558d610b]:successful_repeats,P128 [P128-ba5f558d610b]:result,helsgaun64:status,helsgaun64:successful_repeats,helsgaun64:result,result_match,P128 [P128-ba5f558d610b]:matches_reference,helsgaun64:matches_reference,P128 [P128-ba5f558d610b]:wall_vs_Concorde_symmetric_change,helsgaun64:wall_vs_Concorde_symmetric_change,P128 [P128-ba5f558d610b]:wall_seconds,helsgaun64:wall_seconds,symmetric_change:wall_seconds,P128 [P128-ba5f558d610b]:branches,helsgaun64:branches,symmetric_change:branches,P128 [P128-ba5f558d610b]:nodes_expanded,helsgaun64:nodes_expanded,P128 [P128-ba5f558d610b]:pruned_by_bound,helsgaun64:pruned_by_bound,P128 [P128-ba5f558d610b]:pruned_infeasible,helsgaun64:pruned_infeasible,P128 [P128-ba5f558d610b]:root_potential_iterations,helsgaun64:root_potential_iterations,P128 [P128-ba5f558d610b]:search_node_potential_update_candidates,helsgaun64:search_node_potential_update_candidates,P128 [P128-ba5f558d610b]:search_node_potential_updates_triggered,helsgaun64:search_node_potential_updates_triggered,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_total,helsgaun64:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P128 [P128-ba5f558d610b]:search_node_potential_iterations,helsgaun64:search_node_potential_iterations,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_budget_exhausted,helsgaun64:search_node_potential_updates_skipped_budget_exhausted,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_depth_interval,helsgaun64:search_node_potential_updates_skipped_depth_interval,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_gap_above_maximum,helsgaun64:search_node_potential_updates_skipped_gap_above_maximum,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_gap_below_minimum,helsgaun64:search_node_potential_updates_skipped_gap_below_minimum,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_invalid_state,helsgaun64:search_node_potential_updates_skipped_invalid_state,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_numerically_unsafe,helsgaun64:search_node_potential_updates_skipped_numerically_unsafe,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_strategy_none,helsgaun64:search_node_potential_updates_skipped_strategy_none,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_update_depth_zero,helsgaun64:search_node_potential_updates_skipped_update_depth_zero,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_zero_iteration_limit,helsgaun64:search_node_potential_updates_skipped_zero_iteration_limit,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_zero_violation,helsgaun64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.6041042434340347,-0.8958427253048937,0.03607780486345291,0.04955599084496498,0.37358664232827454,25.0,34.0,0.3600000000000001,9.0,10.0,16.0,24.0,0.0,2.0,100.0,100.0,22.0,31.0,22.0,31.0,0.0,0.0,0.0,601.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.0793566055922201,0.3456472990343331,0.017169835045933723,0.04804258234798908,1.7980806000443699,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.300781434497736,-2.0099764439812446,0.031864747405052185,0.013770563527941704,-1.313975556657196,8.0,8.0,0.0,2.0,2.0,5.0,5.0,1.0,1.0,100.0,100.0,5.0,6.0,5.0,6.0,0.0,0.0,0.0,80.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.0364324748843736,-0.4977066074410583,0.030941275879740715,0.042070869356393814,0.3597005346486173,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.34230427181218737,0.09533376654575165,0.07428975775837898,0.10922609083354473,0.47027119389449545,40.0,90.0,1.25,12.0,31.0,28.0,60.0,0.0,0.0,120.0,120.0,36.0,84.0,36.0,84.0,0.0,0.0,0.0,955.0,2795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.7211227641583919,-0.6875970570851768,0.021227296441793442,0.007308261469006538,-1.9045617116760072,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1263.3492545597087,4625.408105615393,241.59466307982802,884.0243338737637,2.6591219466700853,110631.0,384500.0,2.4755177120336977,33020.0,124523.0,77779.0,266379.0,0.0,1.0,400.0,400.0,105521.0,359876.0,103815.0,358169.0,1706.0,1707.0,0.0005861664712778492,2769882.0,10896307.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,415.45241720723413,810.3788678132706,145.6149998176843,283.7033207323402,0.948311101792727,45333.0,92094.0,1.0315002316193502,13353.0,27897.0,32031.0,65460.0,0.0,0.0,400.0,400.0,43589.0,87241.0,43184.0,86836.0,405.0,405.0,0.0,1158398.0,2538904.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.4214687528704055,0.19812841623380106,0.021981947124004364,0.037437500432133675,0.7031021056024556,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5993754726319689,0.5671547170318298,0.015256617218255997,0.038240235298871994,1.506468816240202,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
