instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P16:status,P16:successful_repeats,P16:result,H4:status,H4:successful_repeats,H4:result,result_match,P16:matches_reference,H4:matches_reference,P16:wall_vs_Concorde_symmetric_change,H4:wall_vs_Concorde_symmetric_change,P16:wall_seconds,H4:wall_seconds,symmetric_change:wall_seconds,P16:branches,H4:branches,symmetric_change:branches,P16:nodes_expanded,H4:nodes_expanded,P16:pruned_by_bound,H4:pruned_by_bound,P16:pruned_infeasible,H4:pruned_infeasible,P16:root_potential_iterations,H4:root_potential_iterations,P16:search_node_potential_update_candidates,H4:search_node_potential_update_candidates,P16:search_node_potential_updates_triggered,H4:search_node_potential_updates_triggered,P16:search_node_potential_updates_skipped_total,H4:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P16:search_node_potential_iterations,H4:search_node_potential_iterations,P16:search_node_potential_updates_skipped_budget_exhausted,H4:search_node_potential_updates_skipped_budget_exhausted,P16:search_node_potential_updates_skipped_depth_interval,H4:search_node_potential_updates_skipped_depth_interval,P16:search_node_potential_updates_skipped_gap_above_maximum,H4:search_node_potential_updates_skipped_gap_above_maximum,P16:search_node_potential_updates_skipped_gap_below_minimum,H4:search_node_potential_updates_skipped_gap_below_minimum,P16:search_node_potential_updates_skipped_invalid_state,H4:search_node_potential_updates_skipped_invalid_state,P16:search_node_potential_updates_skipped_numerically_unsafe,H4:search_node_potential_updates_skipped_numerically_unsafe,P16:search_node_potential_updates_skipped_strategy_none,H4:search_node_potential_updates_skipped_strategy_none,P16:search_node_potential_updates_skipped_update_depth_zero,H4:search_node_potential_updates_skipped_update_depth_zero,P16:search_node_potential_updates_skipped_zero_iteration_limit,H4:search_node_potential_updates_skipped_zero_iteration_limit,P16:search_node_potential_updates_skipped_zero_violation,H4:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-2.3017915704556557,-1.4144932539620991,0.028454359620809555,0.03891100734472275,0.3674884222755772,36.0,99.0,1.75,14.0,49.0,23.0,55.0,0.0,8.0,100.0,100.0,30.0,79.0,30.0,35.0,0.0,44.0,,293.0,175.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.9144879384374685,0.06726685691252654,0.018648438155651093,0.03810378536581993,1.0432695246530996,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,100.0,100.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.064920634905906,-1.4971559571050461,0.02007296122610569,0.01659851148724556,-0.2093229710103781,9.0,15.0,0.6666666666666667,3.0,10.0,5.0,3.0,1.0,10.0,100.0,100.0,7.0,10.0,7.0,1.0,0.0,9.0,,51.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-4.359116012471601,-0.7228667553833126,0.01175750233232975,0.03657265938818455,2.1105806619846676,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.6617671831406877,-0.006086301838724051,0.060008080676198006,0.09911620803177357,0.6517143510488523,125.0,1730.0,12.84,38.0,780.0,88.0,1154.0,0.0,17.0,120.0,120.0,107.0,1399.0,107.0,655.0,0.0,744.0,,909.0,2521.0,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.5303423590745342,0.4677807438981587,0.008059242740273476,0.018102727830410004,1.2462070462212833,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,407.9148489241617,2246.9905603144393,142.97944540902972,786.0229200385511,4.497453971722502,100246.0,2873624.0,27.66572232308521,31384.0,1271684.0,69434.0,1811833.0,0.0,508.0,400.0,800.0,96177.0,2608755.0,95772.0,1393431.0,405.0,1215324.0,2999.8,879974.0,5744125.0,0.0,0.0,0.0,1215275.0,404.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3587540499378876,0.26880796651385985,0.02299654670059681,0.039645999670028687,0.7239979630941626,3.0,12.0,3.0,1.0,6.0,2.0,6.0,0.0,1.0,100.0,100.0,2.0,5.0,2.0,0.0,0.0,5.0,,18.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4800768045337045,-0.017257050269440466,0.01648634672164917,0.023987112566828728,0.4549683427032303,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.7772527989540947,5.459453151686269,0.39846337027847767,0.5387731362134218,0.3521271374000692,669.0,2517.0,2.7623318385650224,145.0,1177.0,528.0,1647.0,0.0,0.0,400.0,400.0,333.0,1923.0,306.0,855.0,27.0,1068.0,38.55555555555556,3068.0,5201.0,0.0,0.0,0.0,1042.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
