instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P16:status,P16:successful_repeats,P16:result,P64:status,P64:successful_repeats,P64:result,result_match,P16:matches_reference,P64:matches_reference,P16:wall_vs_Concorde_symmetric_change,P64:wall_vs_Concorde_symmetric_change,P16:wall_seconds,P64:wall_seconds,symmetric_change:wall_seconds,P16:branches,P64:branches,symmetric_change:branches,P16:nodes_expanded,P64:nodes_expanded,P16:pruned_by_bound,P64:pruned_by_bound,P16:pruned_infeasible,P64:pruned_infeasible,P16:root_potential_iterations,P64:root_potential_iterations,P16:search_node_potential_update_candidates,P64:search_node_potential_update_candidates,P16:search_node_potential_updates_triggered,P64:search_node_potential_updates_triggered,P16:search_node_potential_updates_skipped_total,P64:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P16:search_node_potential_iterations,P64:search_node_potential_iterations,P16:search_node_potential_updates_skipped_budget_exhausted,P64:search_node_potential_updates_skipped_budget_exhausted,P16:search_node_potential_updates_skipped_depth_interval,P64:search_node_potential_updates_skipped_depth_interval,P16:search_node_potential_updates_skipped_gap_above_maximum,P64:search_node_potential_updates_skipped_gap_above_maximum,P16:search_node_potential_updates_skipped_gap_below_minimum,P64:search_node_potential_updates_skipped_gap_below_minimum,P16:search_node_potential_updates_skipped_invalid_state,P64:search_node_potential_updates_skipped_invalid_state,P16:search_node_potential_updates_skipped_numerically_unsafe,P64:search_node_potential_updates_skipped_numerically_unsafe,P16:search_node_potential_updates_skipped_strategy_none,P64:search_node_potential_updates_skipped_strategy_none,P16:search_node_potential_updates_skipped_update_depth_zero,P64:search_node_potential_updates_skipped_update_depth_zero,P16:search_node_potential_updates_skipped_zero_iteration_limit,P64:search_node_potential_updates_skipped_zero_iteration_limit,P16:search_node_potential_updates_skipped_zero_violation,P64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-2.3017915704556557,-1.3724477036264537,0.028454359620809555,0.03960060514509678,0.3917236470201786,36.0,25.0,-0.43999999999999995,14.0,9.0,23.0,16.0,0.0,0.0,100.0,100.0,30.0,22.0,30.0,22.0,0.0,0.0,0.0,293.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.9144879384374685,-0.5506581820399963,0.018648438155651093,0.023023907095193863,0.2346292436408064,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.064920634905906,-0.2642851063689564,0.02007296122610569,0.0327845923602581,0.6332713440217494,9.0,8.0,-0.125,3.0,2.0,5.0,5.0,1.0,1.0,100.0,100.0,7.0,5.0,7.0,5.0,0.0,0.0,0.0,51.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-4.359116012471601,-0.9902678607832531,0.01175750233232975,0.0316589642316103,1.6926606805390336,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.6617671831406877,-0.5059955733081316,0.060008080676198006,0.06621497496962547,0.10343430790462538,125.0,40.0,-2.125,38.0,12.0,88.0,28.0,0.0,0.0,120.0,120.0,107.0,36.0,107.0,36.0,0.0,0.0,0.0,909.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.5303423590745342,-1.7887889860961592,0.008059242740273476,0.004422493278980255,-0.8223301273465784,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,4523.000857754305,1383.6297981295509,864.4561295546591,264.5781364310533,-2.2672999410135644,904164.0,110631.0,-7.172790628304906,291794.0,33020.0,619746.0,77779.0,1.0,0.0,400.0,400.0,850624.0,105521.0,848919.0,103815.0,1705.0,1706.0,0.0005865102639295294,7824399.0,2769882.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,407.9148489241617,416.2292663514682,142.97944540902972,145.88662962056696,0.020332882137152675,100246.0,45333.0,-1.211325083272671,31384.0,13353.0,69434.0,32031.0,0.0,0.0,400.0,400.0,96177.0,43589.0,95772.0,43184.0,405.0,405.0,0.0,879974.0,1158398.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3587540499378876,0.06987927215882195,0.02299654670059681,0.03343014419078827,0.4537027939903988,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4800768045337045,-0.4339327619370992,0.01648634672164917,0.017016878351569176,0.03218006019631581,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.7772527989540947,7.16283594773904,0.39846337027847767,0.6808496974408627,0.7086882966558032,669.0,698.0,0.0433482810164425,145.0,154.0,528.0,555.0,0.0,0.0,400.0,400.0,333.0,384.0,306.0,356.0,27.0,28.0,0.03703703703703698,3068.0,9368.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.62149913069182,2.1969546042068866,0.11682281084358692,0.14246704056859016,0.21951389065050053,434.0,327.0,-0.3272171253822631,150.0,115.0,291.0,214.0,56.0,14.0,400.0,400.0,407.0,298.0,407.0,298.0,0.0,0.0,0.0,3861.0,8583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,2.8970225777775553,4.509117879440546,0.23202219791710377,0.3280036523938179,0.4136735852791382,461.0,364.0,-0.2664835164835164,132.0,112.0,336.0,256.0,0.0,0.0,364.0,364.0,331.0,264.0,322.0,254.0,9.0,10.0,0.11111111111111116,3304.0,7593.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.45747903449299576,-0.733273760067068,0.022812964394688606,0.019183015450835228,-0.18922723349499937,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,80.12385533087057,89.0246390172264,15.280202746391296,16.956722911447287,0.10971845026414528,17218.0,8048.0,-1.13941351888668,5309.0,2357.0,12010.0,5699.0,0.0,0.0,400.0,400.0,15777.0,7359.0,15651.0,7235.0,126.0,124.0,-0.016129032258064502,140529.0,192018.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,606.8199948229736,205.95102513957895,214.00796533375978,72.86559868231416,-1.9370233581255611,227526.0,32773.0,-5.942483141610472,80843.0,10987.0,148909.0,21835.0,2.0,0.0,400.0,400.0,210360.0,30572.0,210357.0,30566.0,3.0,6.0,1.0,1969124.0,886108.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-1.0559970570038293,-0.4727102984276308,0.013923970982432365,0.019438747316598892,0.3960634750765011,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.24993440163590597,0.7098703587577482,0.01381506584584713,0.01889856904745102,0.3679680761805426,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.408151092984975,-0.24586418351050754,0.02037391997873783,0.02302783727645874,0.13026051444643594,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.6647160557976584,2.90838658580389,0.3508338797837496,0.37416116520762444,0.06649097127749903,2354.0,1218.0,-0.9326765188834154,747.0,396.0,1619.0,822.0,0.0,0.0,334.0,334.0,2178.0,1122.0,2171.0,1115.0,7.0,7.0,0.0,19414.0,31325.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
