instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H2:status,H2:successful_repeats,H2:result,H232:status,H232:successful_repeats,H232:result,result_match,H2:matches_reference,H232:matches_reference,H2:wall_vs_Concorde_symmetric_change,H232:wall_vs_Concorde_symmetric_change,H2:wall_seconds,H232:wall_seconds,symmetric_change:wall_seconds,H2:branches,H232:branches,symmetric_change:branches,H2:nodes_expanded,H232:nodes_expanded,H2:pruned_by_bound,H232:pruned_by_bound,H2:pruned_infeasible,H232:pruned_infeasible,H2:root_potential_iterations,H232:root_potential_iterations,H2:search_node_potential_update_candidates,H232:search_node_potential_update_candidates,H2:search_node_potential_updates_triggered,H232:search_node_potential_updates_triggered,H2:search_node_potential_updates_skipped_total,H232:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H2:search_node_potential_iterations,H232:search_node_potential_iterations,H2:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_budget_exhausted,H2:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_depth_interval,H2:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_above_maximum,H2:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_gap_below_minimum,H2:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_invalid_state,H2:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_numerically_unsafe,H2:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_strategy_none,H2:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_update_depth_zero,H2:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_iteration_limit,H2:search_node_potential_updates_skipped_zero_violation,H232:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.5973769073237536,-1.2981883670681085,0.03617124818265438,0.04088018462061882,0.1301845160052444,58.0,36.0,-0.6111111111111112,28.0,16.0,33.0,22.0,4.0,0.0,100.0,100.0,52.0,32.0,33.0,21.0,19.0,11.0,-0.7272727272727273,233.0,216.0,0.0,0.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.07121265603368232,-1.2880956576090563,0.03332877904176712,0.015603460371494293,-1.1359863932909984,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-4.851009967551359,-0.07536068252307504,0.007084088400006294,0.038544343784451485,4.440974421552565,12.0,11.0,-0.09090909090909083,7.0,6.0,3.0,3.0,7.0,7.0,100.0,100.0,8.0,7.0,3.0,3.0,5.0,4.0,-0.25,24.0,40.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.871737227056042,-0.7313900264503186,0.03366381675004959,0.03639261983335018,0.08106041877430825,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.7318977520435328,-0.11967222690711776,0.05757814459502697,0.08906129561364651,0.546789953723843,336.0,236.0,-0.423728813559322,113.0,77.0,235.0,166.0,0.0,2.0,120.0,120.0,294.0,217.0,209.0,158.0,85.0,59.0,-0.44067796610169485,1217.0,1348.0,0.0,0.0,85.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.5732582141382743,0.6334609187965645,0.003451583907008171,0.02014612779021263,4.836777645563677,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,4988.434870349297,1972.3898693342512,953.3922941889614,377.0797181930393,-1.5283573955067218,2104193.0,551925.0,-2.8124618381120623,792685.0,202638.0,1393860.0,365216.0,46.0,10.0,400.0,400.0,1915414.0,510583.0,1331913.0,360139.0,583501.0,150444.0,-2.8785262290287417,8536978.0,3622978.0,0.0,0.0,581792.0,148737.0,1703.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,577.2296443026238,369.52267927474804,202.1813443042338,129.5554009191692,-0.5605782767047789,304447.0,148466.0,-1.0506176498322848,113173.0,53739.0,199602.0,97732.0,5.0,0.0,400.0,400.0,286440.0,140359.0,203392.0,100673.0,83048.0,39686.0,-1.0926271229148816,1321858.0,1031450.0,0.0,0.0,82640.0,39283.0,403.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.07175868881478831,-0.053574647310936196,0.03348886966705322,0.029657747596502304,-0.12917778257047208,7.0,7.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.12328758313796895,0.5903337188485169,0.02172289602458477,0.038805827498435974,0.7864021194281687,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
