instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,P33>2%64:status,P33>2%64:successful_repeats,P33>2%64:result,result_match,P32-no-node-update:matches_reference,P33>2%64:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,P33>2%64:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,P33>2%64:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,P33>2%64:branches,relative_change:branches,P32-no-node-update:nodes_expanded,P33>2%64:nodes_expanded,P32-no-node-update:pruned_by_bound,P33>2%64:pruned_by_bound,P32-no-node-update:pruned_infeasible,P33>2%64:pruned_infeasible,P32-no-node-update:root_potential_iterations,P33>2%64:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,P33>2%64:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,P33>2%64:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,P33>2%64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,P33>2%64:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,P33>2%64:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,P33>2%64:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,P33>2%64:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,P33>2%64:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,P33>2%64:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,P33>2%64:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,P33>2%64:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,P33>2%64:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%64:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,P33>2%64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.2563379556605395,-0.3375597390835605,0.06662071123719215,0.05934448540210724,-0.10921867539328878,373.0,373.0,0.0,281.0,281.0,155.0,155.0,111.0,111.0,100.0,100.0,280.0,280.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.3552286310500776,-0.3541596788707717,0.015378627926111221,0.015404123812913895,0.0016578778630429447,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.18620967267921418,0.3123790449260626,0.033190079033374786,0.05352479964494705,0.612674666761847,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.44631230107284936,-0.17578841542464607,0.03153428994119167,0.04694149270653725,0.4885856885973485,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,4.406026260358964,4.328197818498396,0.4907832872122526,0.4837176725268364,-0.014396608176187708,168561.0,168561.0,0.0,112098.0,112098.0,101529.0,101529.0,5737.0,5737.0,120.0,120.0,112097.0,112097.0,0.0,0.0,112097.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112097.0,0.0,0.0,0.0,0.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.6411030202124972,-0.5458054460934563,0.03896316513419151,0.010783514007925987,-0.7232382438442332,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.032883466028980735,0.0788738832742053,0.04187396354973316,0.04671280458569527,0.11555727296306872,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.14446519013657833,-0.15547580673902794,0.032193563878536224,0.03177923709154129,-0.012869863944177107,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,158.510456233215,160.27812016547261,12.571813063696027,12.71113145723939,0.011081806008210293,3763318.0,3753746.0,-0.0025435001772372567,2747059.0,2747059.0,1946823.0,1940110.0,434189.0,434193.0,500.0,500.0,2747057.0,2747057.0,0.0,12.0,2747057.0,2747045.0,-4.368311250946277e-06,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2747044.0,0.0,0.0,0.0,0.0,2747057.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6164648548240885,0.884955151629957,0.09307880699634552,0.10853893682360649,0.1660972065087596,18700.0,18700.0,0.0,15848.0,15848.0,7304.0,7304.0,6720.0,6720.0,400.0,400.0,15847.0,15847.0,0.0,0.0,15847.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15846.0,0.0,0.0,0.0,0.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
