instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS32:status,PS32:successful_repeats,PS32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PS32:matches_reference,PSD-PSD32:matches_reference,PS32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PS32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PS32:branches,PSD-PSD32:branches,relative_change:branches,PS32:nodes_expanded,PSD-PSD32:nodes_expanded,PS32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PS32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PS32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PS32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PS32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5671647004563721,-0.4932716847462204,0.038775403052568436,0.04539508372545242,0.17071855227164456,30.0,36.0,0.19999999999999996,10.0,13.0,20.0,23.0,1.0,0.0,100.0,100.0,24.0,33.0,24.0,33.0,0.0,0.0,0.0,383.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.07441517468520065,0.07361611575046534,0.02207639068365097,0.02560712769627571,0.15993271106764229,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,100.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.6516754191613525,-0.5385454805692518,0.014206264168024063,0.01882021874189377,0.3247831040798854,10.0,12.0,0.19999999999999996,3.0,3.0,6.0,8.0,4.0,3.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,82.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5430422428713274,-0.2657716443859537,0.026025209575891495,0.04181665927171707,0.6067751212445189,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3813525390377551,-0.4701168437203571,0.05616358853876591,0.04810516722500324,-0.1434812397751345,34.0,17.0,-0.5,11.0,5.0,23.0,12.0,0.0,0.0,100.0,100.0,32.0,16.0,32.0,16.0,0.0,0.0,0.0,434.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.66547684247994,-0.7731789182233978,0.007942268624901772,0.005385199561715126,-0.3219570105157795,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,602.0163391720986,4900.016349865168,111.5530146881938,906.6473217196763,7.127501746625869,78223.0,578298.0,6.392940695191951,25173.0,186453.0,53327.0,393788.0,0.0,0.0,400.0,400.0,74728.0,550509.0,74381.0,550488.0,347.0,21.0,-0.9394812680115274,1201200.0,9007739.0,0.0,0.0,0.0,0.0,343.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1731.6524461873366,254.8578137686346,576.7763379253447,85.17157216370106,-0.8523317158431606,298084.0,43137.0,-0.8552857583768334,90098.0,13504.0,208971.0,29782.0,0.0,0.0,400.0,400.0,286093.0,41237.0,285972.0,41217.0,121.0,20.0,-0.8347107438016529,4484804.0,665531.0,0.0,0.0,0.0,0.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.342549003133924,-0.2912168176455807,0.02846614457666874,0.030688712373375893,0.07807758408312182,5.0,4.0,-0.19999999999999996,1.0,1.0,4.0,3.0,0.0,0.0,100.0,100.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4803565135093395,-0.48191737384617217,0.019554056227207184,0.019495321437716484,-0.0030037138488421267,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
