instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PAA:status,PAA:successful_repeats,PAA:result,hybrid32:status,hybrid32:successful_repeats,hybrid32:result,result_match,PAA:matches_reference,hybrid32:matches_reference,PAA:wall_vs_Concorde_symmetric_change,hybrid32:wall_vs_Concorde_symmetric_change,PAA:wall_seconds,hybrid32:wall_seconds,symmetric_change:wall_seconds,PAA:branches,hybrid32:branches,symmetric_change:branches,PAA:nodes_expanded,hybrid32:nodes_expanded,PAA:pruned_by_bound,hybrid32:pruned_by_bound,PAA:pruned_infeasible,hybrid32:pruned_infeasible,PAA:root_potential_iterations,hybrid32:root_potential_iterations,PAA:search_node_potential_update_candidates,hybrid32:search_node_potential_update_candidates,PAA:search_node_potential_updates_triggered,hybrid32:search_node_potential_updates_triggered,PAA:search_node_potential_updates_skipped_total,hybrid32:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,PAA:search_node_potential_iterations,hybrid32:search_node_potential_iterations,PAA:search_node_potential_updates_skipped_budget_exhausted,hybrid32:search_node_potential_updates_skipped_budget_exhausted,PAA:search_node_potential_updates_skipped_depth_interval,hybrid32:search_node_potential_updates_skipped_depth_interval,PAA:search_node_potential_updates_skipped_gap_above_maximum,hybrid32:search_node_potential_updates_skipped_gap_above_maximum,PAA:search_node_potential_updates_skipped_gap_below_minimum,hybrid32:search_node_potential_updates_skipped_gap_below_minimum,PAA:search_node_potential_updates_skipped_invalid_state,hybrid32:search_node_potential_updates_skipped_invalid_state,PAA:search_node_potential_updates_skipped_numerically_unsafe,hybrid32:search_node_potential_updates_skipped_numerically_unsafe,PAA:search_node_potential_updates_skipped_strategy_none,hybrid32:search_node_potential_updates_skipped_strategy_none,PAA:search_node_potential_updates_skipped_update_depth_zero,hybrid32:search_node_potential_updates_skipped_update_depth_zero,PAA:search_node_potential_updates_skipped_zero_iteration_limit,hybrid32:search_node_potential_updates_skipped_zero_iteration_limit,PAA:search_node_potential_updates_skipped_zero_violation,hybrid32:search_node_potential_updates_skipped_zero_violation
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,2.5730204767013785,3.059904263100635,1.8194680102169514,2.067400950938463,0.1362667215522786,3109.0,3109.0,0.0,260.0,260.0,2849.0,2849.0,0.0,0.0,341.0,460.0,2925.0,2925.0,2925.0,2925.0,0.0,0.0,0.0,21205.0,21205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.294503515586257,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,4927.285321985615,2686.019314122032,1451.397353136912,791.3366344571114,-0.8341086333411427,2174834.0,1255481.0,-0.7322715357699559,129741.0,57745.0,2046494.0,1198272.0,2.0,0.0,400.0,612.0,2032175.0,1168522.0,2032072.0,1168522.0,103.0,0.0,,14551433.0,7304419.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,7339.902416528079,6545.1610764686975,1492.7680084332824,1331.1578438915312,-0.12140571103821696,10439461.0,10439461.0,0.0,627345.0,627345.0,9814087.0,9814087.0,0.0,0.0,361.0,434.0,8290973.0,8290973.0,7989591.0,7989591.0,301382.0,301382.0,0.0,37811483.0,37811483.0,0.0,0.0,0.0,0.0,301382.0,301382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-2.131065030374194,-1.9465870002638055,0.40594262816011906,0.4313576240092516,0.06260735898647218,690.0,690.0,0.0,92.0,92.0,599.0,599.0,0.0,0.0,400.0,495.0,454.0,454.0,454.0,454.0,0.0,0.0,0.0,4852.0,4852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,11.309559674593311,11.326008349221988,1.18254260905087,1.18412278406322,0.00133625207265764,2402.0,2402.0,0.0,212.0,212.0,2193.0,2193.0,0.0,0.0,400.0,497.0,1637.0,1637.0,1632.0,1632.0,5.0,5.0,0.0,14962.0,14962.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,3.5057413047626813,3.237428832266721,0.33054348081350327,0.31085994094610214,-0.06331964101741216,1172.0,1172.0,0.0,115.0,115.0,1067.0,1067.0,0.0,0.0,361.0,428.0,852.0,852.0,844.0,844.0,8.0,8.0,0.0,7681.0,7681.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.898748285661211,1.2123335517786447,0.04205699265003204,0.049002859741449356,0.16515367965598027,4.0,4.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,100.0,139.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.13504626415669918,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,1673.2057225517644,1488.2158901722592,226.095228260383,201.11304249055684,-0.12421962027151578,290519.0,290519.0,0.0,16200.0,16200.0,274414.0,274414.0,0.0,0.0,400.0,553.0,255203.0,255203.0,253569.0,253569.0,1634.0,1634.0,0.0,1625589.0,1625589.0,0.0,0.0,0.0,0.0,1634.0,1634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.1789405461026099,0.46137493439876787,0.04298922419548035,0.053287992253899574,0.2395662692489804,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.05381566525309989,-0.19026104883764794,0.03716110251843929,0.03290114551782608,-0.1294774675339232,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,timeout,0,,ok,1,1950.0,,,True,,8.558234584302555,,1.9893291052430868,,,17782.0,,,151.0,,17636.0,,486.0,,346.0,,1284.0,,1284.0,,0.0,,,10893.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
d198.tsp,ok,1.0714040137827396,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,timeout,0,,,True,,866.052573221021,,465.9570081438869,,,346885.0,,,33389.0,,313725.0,,0.0,,400.0,,320503.0,,320499.0,,4.0,,,2808486.0,,0.0,,0.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,
kroB150.tsp,ok,0.47228593938052654,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.17204810306429863,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.6123605966567993,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8900012671947479,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.45648094080388546,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.894400419667363,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,2.043676285073161,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.3609807752072811,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
