instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,HP25:status,HP25:successful_repeats,HP25:result,HP2532:status,HP2532:successful_repeats,HP2532:result,result_match,HP25:matches_reference,HP2532:matches_reference,HP25:wall_vs_Concorde_symmetric_change,HP2532:wall_vs_Concorde_symmetric_change,HP25:wall_seconds,HP2532:wall_seconds,symmetric_change:wall_seconds,HP25:branches,HP2532:branches,symmetric_change:branches,HP25:nodes_expanded,HP2532:nodes_expanded,HP25:pruned_by_bound,HP2532:pruned_by_bound,HP25:pruned_infeasible,HP2532:pruned_infeasible,HP25:root_potential_iterations,HP2532:root_potential_iterations,HP25:search_node_potential_update_candidates,HP2532:search_node_potential_update_candidates,HP25:search_node_potential_updates_triggered,HP2532:search_node_potential_updates_triggered,HP25:search_node_potential_updates_skipped_total,HP2532:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,HP25:search_node_potential_iterations,HP2532:search_node_potential_iterations,HP25:search_node_potential_updates_skipped_budget_exhausted,HP2532:search_node_potential_updates_skipped_budget_exhausted,HP25:search_node_potential_updates_skipped_depth_interval,HP2532:search_node_potential_updates_skipped_depth_interval,HP25:search_node_potential_updates_skipped_gap_above_maximum,HP2532:search_node_potential_updates_skipped_gap_above_maximum,HP25:search_node_potential_updates_skipped_gap_below_minimum,HP2532:search_node_potential_updates_skipped_gap_below_minimum,HP25:search_node_potential_updates_skipped_invalid_state,HP2532:search_node_potential_updates_skipped_invalid_state,HP25:search_node_potential_updates_skipped_numerically_unsafe,HP2532:search_node_potential_updates_skipped_numerically_unsafe,HP25:search_node_potential_updates_skipped_strategy_none,HP2532:search_node_potential_updates_skipped_strategy_none,HP25:search_node_potential_updates_skipped_update_depth_zero,HP2532:search_node_potential_updates_skipped_update_depth_zero,HP25:search_node_potential_updates_skipped_zero_iteration_limit,HP2532:search_node_potential_updates_skipped_zero_iteration_limit,HP25:search_node_potential_updates_skipped_zero_violation,HP2532:search_node_potential_updates_skipped_zero_violation
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.08377705752013,1.0926090330139822,0.09286010824143887,0.09325369074940681,0.004238445500673205,18700.0,18700.0,0.0,15848.0,15848.0,7304.0,7304.0,6720.0,6720.0,447.0,447.0,15847.0,15847.0,0.0,0.0,15847.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15846.0,15846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,38.86424901832179,39.14350185573667,2.3734506256878376,2.390076871961355,0.007005094647249743,770384.0,766786.0,-0.004692313109524671,608451.0,608451.0,363177.0,357752.0,109502.0,109531.0,610.0,610.0,608449.0,608449.0,4.0,4.0,608445.0,608445.0,0.0,64.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,608445.0,608445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.33977601369586363,-0.05518650649061074,0.04454677179455757,0.03151046484708786,-0.4137135713716551,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,1174.028914211022,1120.100444258275,413.7171354684979,394.7294051758945,-0.04810315634869489,33030959.0,33029476.0,-4.4899289349809024e-05,22394523.0,22394523.0,19999636.0,19998882.0,19.0,19.0,1154.0,1154.0,22394521.0,22394521.0,3.0,5.0,22394518.0,22394516.0,-8.930757866565386e-08,48.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,22394516.0,22394514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.31701720092373464,0.5592393666120796,0.037703098729252815,0.044637348502874374,0.1839172377691456,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,1.9079917429481128,1.8947380927383075,0.03214096464216709,0.03199447691440582,-0.004578531730747182,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.13252427887285712,0.20416496213720947,0.032491620630025864,0.03454696014523506,0.06325752533592732,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,3.9886669068789455,9.914149423516797,0.47757952846586704,1.044843127951026,1.1877887674695455,229150.0,484831.0,1.1157800567313987,168002.0,358789.0,134107.0,282944.0,1189.0,1211.0,380.0,380.0,168001.0,358788.0,18.0,3.0,167983.0,358785.0,1.135841126780686,288.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,167981.0,358783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,33.33094270167756,33.317804915700044,8.181661203503609,8.178530240431428,-0.0003828271070884792,2490722.0,2490722.0,0.0,1672187.0,1672187.0,1488093.0,1488093.0,6435.0,6435.0,872.0,872.0,1672185.0,1672185.0,0.0,0.0,1672185.0,1672185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672184.0,1672184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.4449348131857671,0.23286392728594563,0.031774524599313736,0.05660339258611202,0.781408008456389,37.0,37.0,0.0,28.0,28.0,17.0,17.0,9.0,9.0,176.0,176.0,27.0,27.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
