instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,result_match,PS-PS16:matches_reference,PSD-PSD16:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PSD-PSD16:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PSD-PSD16:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PSD-PSD16:branches,relative_change:branches,PS-PS16:nodes_expanded,PSD-PSD16:nodes_expanded,PS-PS16:pruned_by_bound,PSD-PSD16:pruned_by_bound,PS-PS16:pruned_infeasible,PSD-PSD16:pruned_infeasible,PS-PS16:root_potential_iterations,PSD-PSD16:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PSD-PSD16:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PSD-PSD16:search_node_potential_updates_skipped_zero_violation
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.2425559158676096,0.7290436315728592,0.12913019955158234,0.09956128522753716,-0.22898527553373438,791.0,438.0,-0.4462705436156763,263.0,134.0,533.0,307.0,32.0,47.0,400.0,400.0,730.0,392.0,730.0,392.0,0.0,0.0,0.0,6467.0,3566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.230598507559268,7.560373575262826,0.8645164743065834,0.33290079794824123,-0.6149283352694275,2612.0,791.0,-0.697166921898928,869.0,248.0,1772.0,555.0,0.0,0.0,400.0,400.0,2382.0,654.0,2371.0,643.0,11.0,11.0,0.0,22675.0,6369.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.16080133693049348,0.08619113809683276,0.02474011667072773,0.03202161379158497,0.29431943340318356,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1475.6390307790784,168.4209581918981,236.10615685023367,27.089444674551487,-0.8852658268808518,314985.0,35455.0,-0.8874390844008445,100794.0,11465.0,216976.0,24235.0,0.0,0.0,800.0,400.0,293371.0,31918.0,293324.0,31872.0,47.0,46.0,-0.021276595744680882,2685178.0,290978.0,0.0,0.0,0.0,0.0,46.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,316.89184039505034,486.66439572218343,106.82767909951508,163.8798136804253,0.534057606247941,126184.0,189390.0,0.5009034425917707,44575.0,69148.0,82645.0,122035.0,2.0,16.0,400.0,400.0,116138.0,175968.0,116131.0,175960.0,7.0,8.0,0.1428571428571428,1086697.0,1668243.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.46271544379916807,-0.04475388339856157,0.0265518706291914,0.017340058460831642,-0.3469364662477752,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.9832131633919783,1.751695947634726,0.016893159598112106,0.023439154028892517,0.38749378958758895,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.6244253904667034,0.6010213510655347,0.005094295367598534,0.02171625941991806,3.2628583254204147,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,4.7023603756336065,2.6185620078102554,0.43875995837152004,0.27842507511377335,-0.3654273372001351,4375.0,2062.0,-0.5286857142857142,1335.0,721.0,3067.0,1352.0,4.0,2.0,389.0,323.0,3982.0,1850.0,3651.0,1834.0,331.0,16.0,-0.9516616314199395,29496.0,17213.0,0.0,0.0,0.0,0.0,331.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,29.02858941358884,28.743294565182982,6.049396863207221,5.991922909393907,-0.009500774228067943,14704.0,14079.0,-0.04250544069640916,5218.0,5151.0,9656.0,9105.0,1.0,1.0,395.0,356.0,13467.0,12842.0,13465.0,12840.0,2.0,2.0,0.0,128098.0,125257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
