instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H232:status,H232:successful_repeats,H232:result,P32r5h2:status,P32r5h2:successful_repeats,P32r5h2:result,result_match,H232:matches_reference,P32r5h2:matches_reference,H232:wall_vs_Concorde_symmetric_change,P32r5h2:wall_vs_Concorde_symmetric_change,H232:wall_seconds,P32r5h2:wall_seconds,symmetric_change:wall_seconds,H232:branches,P32r5h2:branches,symmetric_change:branches,H232:nodes_expanded,P32r5h2:nodes_expanded,H232:pruned_by_bound,P32r5h2:pruned_by_bound,H232:pruned_infeasible,P32r5h2:pruned_infeasible,H232:root_potential_iterations,P32r5h2:root_potential_iterations,H232:search_node_potential_update_candidates,P32r5h2:search_node_potential_update_candidates,H232:search_node_potential_updates_triggered,P32r5h2:search_node_potential_updates_triggered,H232:search_node_potential_updates_skipped_total,P32r5h2:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H232:search_node_potential_iterations,P32r5h2:search_node_potential_iterations,H232:search_node_potential_updates_skipped_budget_exhausted,P32r5h2:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_depth_interval,P32r5h2:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_gap_above_maximum,P32r5h2:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_below_minimum,P32r5h2:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_invalid_state,P32r5h2:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_numerically_unsafe,P32r5h2:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_strategy_none,P32r5h2:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_update_depth_zero,P32r5h2:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_zero_iteration_limit,P32r5h2:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_violation,P32r5h2:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.739123838220561,175.21940858137495,0.47869156673550606,14.698192121461034,29.704932242063713,841.0,28535.0,32.92984542211653,243.0,10356.0,625.0,19337.0,0.0,0.0,400.0,400.0,492.0,26254.0,335.0,18612.0,157.0,7642.0,47.67515923566879,4307.0,188135.0,0.0,0.0,130.0,7641.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.2874352156835602,1.6920152467910667,0.10193580016493797,0.11996524594724178,0.17687059652380355,546.0,546.0,0.0,214.0,214.0,355.0,355.0,70.0,70.0,400.0,400.0,506.0,506.0,381.0,381.0,125.0,125.0,0.0,4603.0,4603.0,0.0,0.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.5856707752485226,5.578362987943303,0.27302315831184387,0.3916647154837847,0.4345475962754404,860.0,1175.0,0.36627906976744184,305.0,431.0,575.0,791.0,0.0,0.0,364.0,364.0,693.0,1042.0,480.0,742.0,213.0,300.0,0.408450704225352,5283.0,7790.0,0.0,0.0,205.0,300.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.09599137679356184,0.10767056316452428,0.030337298288941383,0.036829400807619095,0.21399738555638703,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,84.84121067560542,37.86012820136027,16.168747130781412,7.319556439295411,-1.2089790911343576,27028.0,11964.0,-1.2591106653293211,10030.0,4290.0,17767.0,8113.0,1.0,1.0,400.0,400.0,24917.0,10262.0,17538.0,7114.0,7379.0,3148.0,-1.344027954256671,178124.0,69890.0,0.0,0.0,7255.0,3144.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,213.6407824250692,243.58612324147876,75.57309321127832,86.11657897010446,0.13951375166489366,130296.0,137408.0,0.05458341008166023,56590.0,58563.0,82166.0,87386.0,3.0,19.0,400.0,400.0,117630.0,123600.0,77112.0,81513.0,40518.0,42087.0,0.03872353028283726,880417.0,916101.0,0.0,0.0,40515.0,42084.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.11363981649450472,0.6105511040187843,0.03188088349997997,0.046106282621622086,0.44620467063439606,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.920272498216584,2.104291540195661,0.021224066615104675,0.03431059420108795,0.6165890742479059,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.3885310566694089,0.48263042011963053,0.02066180482506752,0.04253601096570492,1.0586783838989202,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.1490212692154502,3.5228172577015266,0.3014649245887995,0.4329823926091194,0.436261260575209,2892.0,4726.0,0.6341632088520055,1135.0,1816.0,1881.0,3103.0,0.0,0.0,334.0,334.0,2665.0,4332.0,1848.0,3011.0,817.0,1321.0,0.6168910648714809,18573.0,29064.0,0.0,0.0,811.0,1320.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,9.07084489908112,8.315084675424336,2.4000576306134462,2.219946814700961,-0.08113294188840592,6585.0,6585.0,0.0,2854.0,2854.0,4131.0,4131.0,2.0,2.0,319.0,319.0,5872.0,5872.0,3855.0,3855.0,2017.0,2017.0,0.0,48209.0,48209.0,0.0,0.0,2017.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.18194527013879314,-0.25200348707703535,0.03884453698992729,0.03667091764509678,-0.059273655649060286,18.0,18.0,0.0,7.0,7.0,11.0,11.0,1.0,1.0,100.0,100.0,14.0,14.0,10.0,10.0,4.0,4.0,0.0,85.0,85.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,851.0747586364148,630.8820783379741,95.27632144838572,70.65506800077856,-0.3484711591719911,455323.0,182022.0,-1.5014723494962148,95745.0,62012.0,362356.0,125680.0,0.0,0.0,320.0,320.0,428946.0,162433.0,341798.0,115449.0,87148.0,46984.0,-0.8548442022816278,1563743.0,1034065.0,0.0,0.0,25673.0,46981.0,61475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,395.2736276477009,512.7285220335833,212.95879817195237,276.07945875264704,0.2963984635644321,235971.0,277212.0,0.17477147615596822,87442.0,101431.0,153450.0,182032.0,0.0,0.0,400.0,400.0,222421.0,259220.0,158263.0,184541.0,64158.0,74679.0,0.1639857850930515,1660472.0,1895140.0,0.0,0.0,64148.0,74677.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,230.32170987601313,184.14466429828124,49.88925201445818,39.93022886291146,-0.249410620353268,130789.0,91795.0,-0.42479437877880066,53052.0,37048.0,82394.0,57889.0,0.0,0.0,372.0,372.0,119890.0,84978.0,81704.0,58248.0,38186.0,26730.0,-0.4285821174710063,916630.0,646231.0,0.0,0.0,38181.0,26729.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,102.79204810432046,151.03605158844258,12.512816853821278,18.32895008288324,0.4648140620140042,31185.0,47658.0,0.5282347282347282,11540.0,17724.0,20753.0,31758.0,0.0,0.0,301.0,301.0,28430.0,43426.0,19884.0,30307.0,8546.0,13119.0,0.5351041422887901,187909.0,286991.0,0.0,0.0,8535.0,13119.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,119.1950716361727,78.36210176227321,16.734106298536062,11.049153920263052,-0.5145147238692522,36270.0,27312.0,-0.32798769771529,13871.0,9739.0,23408.0,18448.0,0.0,0.0,378.0,378.0,33153.0,24362.0,23080.0,17053.0,10073.0,7309.0,-0.3781639075112875,251424.0,161826.0,0.0,0.0,9779.0,7307.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,312.8104404481318,406.0266457572918,83.65083992667496,108.49900577403605,0.29704622056565144,589833.0,263291.0,-1.2402322905074614,129053.0,98763.0,467103.0,173756.0,1203.0,100.0,729.0,395.0,539828.0,242057.0,425151.0,168780.0,114677.0,73277.0,-0.5649794614954216,1908042.0,1586311.0,0.0,0.0,37449.0,73276.0,77228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.1512107842694412,1.1134303988862255,0.20447171479463577,0.20088070444762707,-0.017876332905557568,60.0,60.0,0.0,21.0,21.0,39.0,39.0,0.0,0.0,333.0,333.0,36.0,36.0,23.0,23.0,13.0,13.0,0.0,274.0,274.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,5.447005637285918,6.225762941366599,3.282970415428281,3.6795323751866817,0.12079364404100712,6613.0,6613.0,0.0,2915.0,2915.0,4137.0,4137.0,0.0,0.0,341.0,341.0,5773.0,5773.0,3698.0,3698.0,2075.0,2075.0,0.0,44097.0,44097.0,0.0,0.0,2074.0,2074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pr144.tsp,ok,0.294503515586257,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,5114.359057427043,4583.268622587699,1506.4912258982658,1350.083225743845,-0.11585063585116817,1949658.0,1600700.0,-0.21800337352408317,1022191.0,839491.0,1175666.0,964165.0,3205.0,2755.0,400.0,400.0,1625073.0,1329321.0,957691.0,782065.0,667382.0,547256.0,-0.21950604470302748,16095639.0,13207958.0,0.0,0.0,667365.0,547256.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3248.6030355335965,2744.3153255506377,660.804786156863,558.2581893224269,-0.18369026876058836,4079681.0,2801531.0,-0.4562326813445934,1348020.0,1057808.0,2882767.0,1879894.0,298.0,660.0,361.0,361.0,3657128.0,2453980.0,2610359.0,1665807.0,1046769.0,788173.0,-0.32809548157574553,21204431.0,15922644.0,0.0,0.0,813931.0,788173.0,232838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-3.49637511249907,-2.9790420543163023,0.28267943300306797,0.31943185068666935,0.13001447361471996,455.0,455.0,0.0,176.0,176.0,293.0,293.0,0.0,0.0,400.0,400.0,390.0,390.0,270.0,270.0,120.0,120.0,0.0,2917.0,2917.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,3.8367821293114197,5.865405014124513,0.4646552037447691,0.6595389414578676,0.4194158079851107,797.0,1040.0,0.3048933500627353,301.0,415.0,519.0,666.0,0.0,0.0,400.0,400.0,657.0,908.0,446.0,627.0,211.0,281.0,0.33175355450236976,4892.0,7178.0,0.0,0.0,199.0,281.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,6.4641618241445675,6.502617638070658,0.547574719414115,0.5503958575427532,0.005152060583908602,2721.0,2269.0,-0.1992066989863377,1065.0,899.0,1766.0,1460.0,0.0,0.0,361.0,361.0,2438.0,2028.0,1672.0,1387.0,766.0,641.0,-0.1950078003120126,19210.0,15869.0,0.0,0.0,765.0,640.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.38242413075907034,0.8839260719174213,0.03062048926949501,0.041728682816028595,0.3627699560503064,5.0,5.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,100.0,100.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,35.0,35.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.13504626415669918,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,1485.4684950959768,1169.0383533590352,200.7420170493424,158.0093085411936,-0.2704442472578015,276508.0,183570.0,-0.5062809827313832,112568.0,74379.0,178097.0,118141.0,1.0,0.0,800.0,400.0,249403.0,165959.0,167420.0,111736.0,81983.0,54223.0,-0.5119598694281025,1817540.0,1197200.0,0.0,0.0,81960.0,54217.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.5649813001152435,0.0032938791151524427,0.023300141096115112,0.0365843940526247,0.5701361593352972,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-1.16864861073433,-0.16656210297911356,0.018057767301797867,0.033569538965821266,0.8590082818532618,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,1.0714040137827396,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.47228593938052654,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.17204810306429863,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.6123605966567993,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8900012671947479,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.45648094080388546,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.894400419667363,2323.0,3.0,ok,1,2323.0,timeout,0,,,True,,525.5900223075471,,1524.1623815596104,,,956628.0,,,408223.0,,598939.0,,35.0,,400.0,,883874.0,,591104.0,,292770.0,,,7442976.0,,0.0,,292761.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
si175.tsp,ok,2.043676285073161,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.3609807752072811,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
