instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H232:status,H232:successful_repeats,H232:result,P32r5h2:status,P32r5h2:successful_repeats,P32r5h2:result,result_match,H232:matches_reference,P32r5h2:matches_reference,H232:wall_vs_Concorde_symmetric_change,P32r5h2:wall_vs_Concorde_symmetric_change,H232:wall_seconds,P32r5h2:wall_seconds,symmetric_change:wall_seconds,H232:branches,P32r5h2:branches,symmetric_change:branches,H232:nodes_expanded,P32r5h2:nodes_expanded,H232:pruned_by_bound,P32r5h2:pruned_by_bound,H232:pruned_infeasible,P32r5h2:pruned_infeasible,H232:root_potential_iterations,P32r5h2:root_potential_iterations,H232:search_node_potential_update_candidates,P32r5h2:search_node_potential_update_candidates,H232:search_node_potential_updates_triggered,P32r5h2:search_node_potential_updates_triggered,H232:search_node_potential_updates_skipped_total,P32r5h2:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H232:search_node_potential_iterations,P32r5h2:search_node_potential_iterations,H232:search_node_potential_updates_skipped_budget_exhausted,P32r5h2:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_depth_interval,P32r5h2:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_gap_above_maximum,P32r5h2:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_below_minimum,P32r5h2:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_invalid_state,P32r5h2:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_numerically_unsafe,P32r5h2:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_strategy_none,P32r5h2:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_update_depth_zero,P32r5h2:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_zero_iteration_limit,P32r5h2:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_violation,P32r5h2:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.2981883670681085,-1.0643056738959547,0.04088018462061882,0.045511847361922264,0.11329847906233192,36.0,36.0,0.0,16.0,16.0,22.0,22.0,0.0,0.0,100.0,100.0,32.0,32.0,21.0,21.0,11.0,11.0,0.0,216.0,216.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.2880956576090563,-1.1310343892143244,0.015603460371494293,0.016753464937210083,0.07370189293502571,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.07536068252307504,0.11243609287657774,0.038544343784451485,0.04610944353044033,0.19627003609905924,11.0,11.0,0.0,6.0,6.0,3.0,3.0,7.0,7.0,100.0,100.0,7.0,7.0,3.0,3.0,4.0,4.0,0.0,40.0,40.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.7313900264503186,-0.3443946310596169,0.03639261983335018,0.046868544071912766,0.28785848027798355,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.11967222690711776,0.017954748871503057,0.08906129561364651,0.10150989703834057,0.13977566055963164,236.0,236.0,0.0,77.0,77.0,166.0,166.0,2.0,2.0,120.0,120.0,217.0,217.0,158.0,158.0,59.0,59.0,0.0,1348.0,1348.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.6334609187965645,1.4512686356631574,0.02014612779021263,0.03023247793316841,0.5006594938733546,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1972.3898693342512,2082.380871355707,377.0797181930393,398.0970430970192,0.05573708658926191,551925.0,524298.0,-0.05269331563347568,202638.0,194241.0,365216.0,344109.0,10.0,8.0,400.0,400.0,510583.0,485054.0,360139.0,341088.0,150444.0,143966.0,-0.044996735340288696,3622978.0,3451052.0,0.0,0.0,148737.0,143962.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,369.52267927474804,1802.6636582626902,129.5554009191692,630.6614451427013,3.8678900352149483,148466.0,704719.0,3.7466692710789005,53739.0,251708.0,97732.0,469795.0,0.0,26.0,400.0,800.0,140359.0,661204.0,100673.0,472889.0,39686.0,188315.0,3.745124225167565,1031450.0,4684819.0,0.0,0.0,39283.0,188313.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.053574647310936196,0.8506958813187249,0.029657747596502304,0.05782804824411869,0.9498462604401778,7.0,7.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.5903337188485169,0.5482910629203985,0.038805827498435974,0.03777994215488434,-0.027154232776372966,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
