instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>2%:status,P33>2%:successful_repeats,P33>2%:result,P33>5%64:status,P33>5%64:successful_repeats,P33>5%64:result,result_match,P33>2%:matches_reference,P33>5%64:matches_reference,P33>2%:wall_vs_Concorde_relative_change,P33>5%64:wall_vs_Concorde_relative_change,P33>2%:wall_seconds,P33>5%64:wall_seconds,relative_change:wall_seconds,P33>2%:branches,P33>5%64:branches,relative_change:branches,P33>2%:nodes_expanded,P33>5%64:nodes_expanded,P33>2%:pruned_by_bound,P33>5%64:pruned_by_bound,P33>2%:pruned_infeasible,P33>5%64:pruned_infeasible,P33>2%:root_potential_iterations,P33>5%64:root_potential_iterations,P33>2%:search_node_potential_update_candidates,P33>5%64:search_node_potential_update_candidates,P33>2%:search_node_potential_updates_triggered,P33>5%64:search_node_potential_updates_triggered,P33>2%:search_node_potential_updates_skipped_total,P33>5%64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>2%:search_node_potential_iterations,P33>5%64:search_node_potential_iterations,P33>2%:search_node_potential_updates_skipped_budget_exhausted,P33>5%64:search_node_potential_updates_skipped_budget_exhausted,P33>2%:search_node_potential_updates_skipped_depth_interval,P33>5%64:search_node_potential_updates_skipped_depth_interval,P33>2%:search_node_potential_updates_skipped_gap_above_maximum,P33>5%64:search_node_potential_updates_skipped_gap_above_maximum,P33>2%:search_node_potential_updates_skipped_gap_below_minimum,P33>5%64:search_node_potential_updates_skipped_gap_below_minimum,P33>2%:search_node_potential_updates_skipped_invalid_state,P33>5%64:search_node_potential_updates_skipped_invalid_state,P33>2%:search_node_potential_updates_skipped_numerically_unsafe,P33>5%64:search_node_potential_updates_skipped_numerically_unsafe,P33>2%:search_node_potential_updates_skipped_strategy_none,P33>5%64:search_node_potential_updates_skipped_strategy_none,P33>2%:search_node_potential_updates_skipped_update_depth_zero,P33>5%64:search_node_potential_updates_skipped_update_depth_zero,P33>2%:search_node_potential_updates_skipped_zero_iteration_limit,P33>5%64:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%:search_node_potential_updates_skipped_zero_violation,P33>5%64:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,16.210431873055413,14.652424791105764,0.6692893076688051,0.6087006200104952,-0.0905269021394437,130438.0,132106.0,0.012787684570447322,105325.0,105325.0,72413.0,74055.0,556.0,751.0,464.0,464.0,105323.0,105323.0,4.0,0.0,105319.0,105323.0,3.797985168874085e-05,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105318.0,105322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.6132350432480587,-0.1665485585033455,0.011402079835534096,0.024570684880018234,1.154930085951928,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,999.5374962774162,982.0297689863247,336.2310226224363,330.347543919459,-0.017498322008151046,23999443.0,23991715.0,-0.00032200747325672463,16170127.0,16170127.0,14229142.0,14222938.0,70.0,70.0,800.0,800.0,16170125.0,16170125.0,4.0,0.0,16170121.0,16170125.0,2.4736982484618864e-07,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16170121.0,16170125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,1.1923033786898865,0.4549272522367449,0.03979567997157574,0.02641049586236477,-0.3363476668515628,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,2.4052389327431,3.362316910581799,0.02900608256459236,0.0371585451066494,0.28106044737005353,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,1.0593954863961987,1.9613547924718064,0.027933647856116295,0.040167827159166336,0.43797284787390445,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,12.949927114740108,2.749292280930991,1.0733571778982878,0.2884839288890362,-0.7312321240037646,484831.0,125818.0,-0.740491016457281,358789.0,90001.0,282944.0,74191.0,1211.0,367.0,334.0,334.0,358788.0,90000.0,3.0,0.0,358785.0,90000.0,-0.7491533927003637,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358783.0,89999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,44.388352324084494,39.89936748616135,9.143691446632147,8.239364892244339,-0.09890169191141007,2490722.0,2490722.0,0.0,1672187.0,1672187.0,1488093.0,1488093.0,6435.0,6435.0,684.0,684.0,1672185.0,1672185.0,0.0,0.0,1672185.0,1672185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672184.0,1672184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.2167195847413581,-0.3338683246690005,0.03802814148366451,0.020819710567593575,-0.45251832576312057,44.0,44.0,0.0,36.0,36.0,19.0,19.0,14.0,14.0,100.0,100.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,354.44432329239015,346.4445728153901,42.38162621483207,41.427770962938666,-0.022506339116350027,11764483.0,11756617.0,-0.0006686226670564732,8463763.0,8463763.0,6847237.0,6839324.0,3520.0,3514.0,618.0,618.0,8463761.0,8463761.0,8.0,0.0,8463753.0,8463761.0,9.452071676463447e-07,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8463753.0,8463761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
