instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,P33>1%128:status,P33>1%128:successful_repeats,P33>1%128:result,result_match,P32-no-node-update:matches_reference,P33>1%128:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,P33>1%128:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,P33>1%128:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,P33>1%128:branches,relative_change:branches,P32-no-node-update:nodes_expanded,P33>1%128:nodes_expanded,P32-no-node-update:pruned_by_bound,P33>1%128:pruned_by_bound,P32-no-node-update:pruned_infeasible,P33>1%128:pruned_infeasible,P32-no-node-update:root_potential_iterations,P33>1%128:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,P33>1%128:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,P33>1%128:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,P33>1%128:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,P33>1%128:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,P33>1%128:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,P33>1%128:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,P33>1%128:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,P33>1%128:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,P33>1%128:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,P33>1%128:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,P33>1%128:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,P33>1%128:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%128:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,P33>1%128:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.2563379556605395,-0.4799846338728707,0.06662071123719215,0.04658539965748787,-0.30073698115248026,373.0,373.0,0.0,281.0,281.0,155.0,155.0,111.0,111.0,100.0,100.0,280.0,280.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.3552286310500776,0.8739011280147548,0.015378627926111221,0.04469495639204979,1.9063032545421468,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.18620967267921418,-0.7757533632903443,0.033190079033374786,0.009145800024271011,-0.7244417521550848,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.44631230107284936,-0.2462018241448013,0.03153428994119167,0.042931223288178444,0.3614139835791743,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,4.406026260358964,4.7233336001255815,0.4907832872122526,0.5195898693054914,0.058695116243395296,168561.0,168561.0,0.0,112098.0,112098.0,101529.0,101529.0,5737.0,5737.0,120.0,120.0,112097.0,112097.0,0.0,0.0,112097.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112097.0,0.0,0.0,0.0,0.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.6411030202124972,0.7198796430778491,0.03896316513419151,0.0408334843814373,0.048002241111683164,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.032883466028980735,0.3901932601512246,0.04187396354973316,0.060192231088876724,0.4374619927580343,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.14446519013657833,0.633462988409252,0.032193563878536224,0.06146680936217308,0.909288750822447,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,158.510456233215,161.16817288131114,12.571813063696027,12.781280942261219,0.0166617080212621,3763318.0,3749913.0,-0.003562016284565872,2747059.0,2747059.0,1946823.0,1934279.0,434189.0,434173.0,500.0,500.0,2747057.0,2747057.0,0.0,22.0,2747057.0,2747035.0,-8.008570626660827e-06,0.0,2816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2747034.0,0.0,0.0,0.0,0.0,2747057.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6164648548240885,1.0689242369074616,0.09307880699634552,0.11913219094276428,0.2799067240670765,18700.0,12190.0,-0.3481283422459893,15848.0,10177.0,7304.0,4934.0,6720.0,4102.0,400.0,400.0,15847.0,10183.0,0.0,46.0,15847.0,10137.0,-0.36032056540670154,0.0,5074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10137.0,0.0,0.0,0.0,0.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,15.830950435309184,24.14541677042347,0.6545318122953176,0.977869626134634,0.4939986227795905,132106.0,227954.0,0.7255385826533238,105325.0,178971.0,74055.0,133330.0,751.0,8.0,464.0,364.0,105323.0,178970.0,0.0,8.0,105323.0,178962.0,0.6991730201380515,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178962.0,0.0,0.0,0.0,0.0,105323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.11213453968775466,0.28457367965477376,0.03278644196689129,0.03787005878984928,0.15505240941031584,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,934.7870290245222,1048.0075494268422,314.47160241007805,352.51940321549773,0.120989623590255,23991715.0,43396893.0,0.8088282976019012,16170127.0,30341673.0,14222938.0,25649214.0,70.0,162015.0,800.0,800.0,16170125.0,30341671.0,0.0,26.0,16170125.0,30341645.0,0.8764013883627986,0.0,3328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30341643.0,0.0,0.0,0.0,0.0,16170125.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.7344312870638139,1.0750935583446881,0.03148417919874191,0.03766803443431854,0.1964115118435017,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,4.544373661058007,2.9626028868338308,0.047227393835783005,0.03375375084578991,-0.28529296020108685,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,1.3860508184499594,2.2708831042173303,0.03236440196633339,0.044366270303726196,0.37083547379857595,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.7241883586737186,2.0539191392896674,0.2865523435175419,0.2349794376641512,-0.17997726076957932,125818.0,55441.0,-0.5593555771034351,90001.0,42328.0,74191.0,31686.0,367.0,319.0,334.0,334.0,90000.0,42342.0,0.0,92.0,90000.0,42250.0,-0.5305555555555556,0.0,10260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42250.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,39.08609120287102,20.71254245199561,8.075526660308242,4.374091116711497,-0.45835221643060753,2490722.0,1213194.0,-0.5129147291427947,1672187.0,836120.0,1488093.0,702475.0,6435.0,1305.0,684.0,684.0,1672185.0,836118.0,0.0,24.0,1672185.0,836094.0,-0.4999991029700661,0.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836092.0,0.0,0.0,0.0,0.0,1672185.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.5281977144898384,0.15997206388119567,0.04776328057050705,0.03625451773405075,-0.24095419533562668,44.0,44.0,0.0,36.0,36.0,19.0,19.0,14.0,14.0,100.0,100.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,8991.224216157194,1953.0210420349229,836.6655734684318,181.8084265254438,-0.7826988078740357,192614325.0,42366206.0,-0.780046442547822,146674028.0,31290492.0,115357483.0,24820493.0,7007.0,627.0,649.0,320.0,146674026.0,31290527.0,0.0,615.0,146674026.0,31289912.0,-0.7866703952068514,0.0,75437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31289905.0,0.0,0.0,0.0,0.0,146674026.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,339.1829393190776,286.9453106914396,40.56192555092275,34.33333922736347,-0.15355746155935612,11756617.0,9306571.0,-0.20839719453308725,8463763.0,6860780.0,6839324.0,5391513.0,3514.0,4619.0,618.0,618.0,8463761.0,6860789.0,0.0,210.0,8463761.0,6860579.0,-0.18941721062303152,0.0,25819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6860571.0,0.0,0.0,0.0,0.0,8463761.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,3251.157744954055,68.92594441196692,458.18990920484066,9.851724496111274,-0.9784986000385554,129214031.0,2338818.0,-0.9818996591786537,90688415.0,1591102.0,77948748.0,1389542.0,1132.0,3.0,778.0,378.0,90688413.0,1591103.0,0.0,47.0,90688413.0,1591056.0,-0.9824557961996755,0.0,5850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591048.0,0.0,0.0,0.0,0.0,90688413.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.3398964035735665,1.261002695540117,0.18899686448276043,0.18262450397014618,-0.03371675255065154,348.0,344.0,-0.011494252873563204,225.0,225.0,212.0,205.0,3.0,2.0,333.0,333.0,224.0,224.0,0.0,1.0,224.0,223.0,-0.004464285714285698,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
