instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H232:status,H232:successful_repeats,H232:result,H2:status,H2:successful_repeats,H2:result,result_match,H232:matches_reference,H2:matches_reference,H232:wall_vs_Concorde_symmetric_change,H2:wall_vs_Concorde_symmetric_change,H232:wall_seconds,H2:wall_seconds,symmetric_change:wall_seconds,H232:branches,H2:branches,symmetric_change:branches,H232:nodes_expanded,H2:nodes_expanded,H232:pruned_by_bound,H2:pruned_by_bound,H232:pruned_infeasible,H2:pruned_infeasible,H232:root_potential_iterations,H2:root_potential_iterations,H232:search_node_potential_update_candidates,H2:search_node_potential_update_candidates,H232:search_node_potential_updates_triggered,H2:search_node_potential_updates_triggered,H232:search_node_potential_updates_skipped_total,H2:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H232:search_node_potential_iterations,H2:search_node_potential_iterations,H232:search_node_potential_updates_skipped_budget_exhausted,H2:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_depth_interval,H2:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_gap_above_maximum,H2:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_below_minimum,H2:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_invalid_state,H2:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_numerically_unsafe,H2:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_strategy_none,H2:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_update_depth_zero,H2:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_zero_iteration_limit,H2:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_violation,H2:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.2981883670681085,-1.5973769073237536,0.04088018462061882,0.03617124818265438,-0.1301845160052444,36.0,58.0,0.6111111111111112,16.0,28.0,22.0,33.0,0.0,4.0,100.0,100.0,32.0,52.0,21.0,33.0,11.0,19.0,0.7272727272727273,216.0,233.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.2880956576090563,-0.07121265603368232,0.015603460371494293,0.03332877904176712,1.1359863932909984,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.07536068252307504,-4.851009967551359,0.038544343784451485,0.007084088400006294,-4.440974421552565,11.0,12.0,0.09090909090909083,6.0,7.0,3.0,3.0,7.0,7.0,100.0,100.0,7.0,8.0,3.0,3.0,4.0,5.0,0.25,40.0,24.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.7313900264503186,-0.871737227056042,0.03639261983335018,0.03366381675004959,-0.08106041877430825,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.11967222690711776,-0.7318977520435328,0.08906129561364651,0.05757814459502697,-0.546789953723843,236.0,336.0,0.423728813559322,77.0,113.0,166.0,235.0,2.0,0.0,120.0,120.0,217.0,294.0,158.0,209.0,59.0,85.0,0.44067796610169485,1348.0,1217.0,0.0,0.0,59.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.6334609187965645,-2.5732582141382743,0.02014612779021263,0.003451583907008171,-4.836777645563677,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1972.3898693342512,4988.434870349297,377.0797181930393,953.3922941889614,1.5283573955067218,551925.0,2104193.0,2.8124618381120623,202638.0,792685.0,365216.0,1393860.0,10.0,46.0,400.0,400.0,510583.0,1915414.0,360139.0,1331913.0,150444.0,583501.0,2.8785262290287417,3622978.0,8536978.0,0.0,0.0,148737.0,581792.0,1703.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,369.52267927474804,577.2296443026238,129.5554009191692,202.1813443042338,0.5605782767047789,148466.0,304447.0,1.0506176498322848,53739.0,113173.0,97732.0,199602.0,0.0,5.0,400.0,400.0,140359.0,286440.0,100673.0,203392.0,39686.0,83048.0,1.0926271229148816,1031450.0,1321858.0,0.0,0.0,39283.0,82640.0,403.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.053574647310936196,0.07175868881478831,0.029657747596502304,0.03348886966705322,0.12917778257047208,7.0,7.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.5903337188485169,-0.12328758313796895,0.038805827498435974,0.02172289602458477,-0.7864021194281687,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.739123838220561,5.139300691136389,0.47869156673550606,0.512069707736373,0.0697278651230333,841.0,1254.0,0.4910820451843043,243.0,421.0,625.0,898.0,0.0,0.0,400.0,400.0,492.0,800.0,335.0,541.0,157.0,259.0,0.6496815286624205,4307.0,4675.0,0.0,0.0,130.0,234.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.2874352156835602,1.3139716441184892,0.10193580016493797,0.10311835259199142,0.011600953003164882,546.0,615.0,0.12637362637362637,214.0,252.0,355.0,387.0,70.0,88.0,400.0,400.0,506.0,550.0,381.0,410.0,125.0,140.0,0.1200000000000001,4603.0,3430.0,0.0,0.0,125.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.5856707752485226,2.623502712940445,0.27302315831184387,0.21573728322982788,-0.2655353503315816,860.0,707.0,-0.21640735502121644,305.0,248.0,575.0,487.0,0.0,0.0,364.0,364.0,693.0,532.0,480.0,365.0,213.0,167.0,-0.27544910179640714,5283.0,2676.0,0.0,0.0,205.0,157.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.09599137679356184,-0.2918951525647715,0.030337298288941383,0.025736931711435318,-0.17874572731068983,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,84.84121067560542,103.8649697159229,16.168747130781412,19.751995164901018,0.2216156889050458,27028.0,42752.0,0.58176705638597,10030.0,16177.0,17767.0,28076.0,1.0,2.0,400.0,400.0,24917.0,39037.0,17538.0,27278.0,7379.0,11759.0,0.5935763653611601,178124.0,176013.0,0.0,0.0,7255.0,11635.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,213.6407824250692,594.9725453813767,75.57309321127832,209.8365847095847,1.7766044208743499,130296.0,427277.0,2.27927948670719,56590.0,189106.0,82166.0,269387.0,3.0,5.0,400.0,400.0,117630.0,382685.0,77112.0,250315.0,40518.0,132370.0,2.2669430870230514,880417.0,1769039.0,0.0,0.0,40515.0,132366.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.11363981649450472,0.01940583169788135,0.03188088349997997,0.02918318659067154,-0.09244010762590116,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.920272498216584,1.081431795312207,0.021224066615104675,0.023005301132798195,0.08392522271984659,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.3885310566694089,0.06512048071918297,0.02066180482506752,0.03055783547461033,0.4789528665732361,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.1490212692154502,2.4534861492794593,0.3014649245887995,0.33061222918331623,0.09668555847508276,2892.0,4760.0,0.6459197786998616,1135.0,1860.0,1881.0,3134.0,0.0,0.0,334.0,334.0,2665.0,4255.0,1848.0,2911.0,817.0,1344.0,0.6450428396572827,18573.0,18383.0,0.0,0.0,811.0,1337.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,9.07084489908112,26.83072611367435,2.4000576306134462,6.63254644908011,1.7634946613281341,6585.0,30622.0,3.650265755504935,2854.0,13392.0,4131.0,19202.0,2.0,10.0,319.0,319.0,5872.0,26992.0,3855.0,17627.0,2017.0,9365.0,3.643034209221616,48209.0,127309.0,0.0,0.0,2017.0,9362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.18194527013879314,-0.6367463801692492,0.03884453698992729,0.028050843626260757,-0.3847903295700401,18.0,16.0,-0.125,7.0,7.0,11.0,9.0,1.0,1.0,100.0,100.0,14.0,13.0,10.0,9.0,4.0,4.0,0.0,85.0,48.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,851.0747586364148,1046.067141516269,95.27632144838572,117.07975684292614,0.2288442192465634,455323.0,543897.0,0.19453003691884652,95745.0,128847.0,362356.0,422050.0,0.0,0.0,320.0,320.0,428946.0,508672.0,341798.0,397114.0,87148.0,111558.0,0.2800982237113876,1563743.0,1684301.0,0.0,0.0,25673.0,50082.0,61475.0,61475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,395.2736276477009,1048.8522372247044,212.95879817195237,564.1941706407815,1.64931139489821,235971.0,832345.0,2.527319034966161,87442.0,322169.0,153450.0,535016.0,0.0,4.0,400.0,400.0,222421.0,775887.0,158263.0,542407.0,64158.0,233480.0,2.639140870974781,1660472.0,3550616.0,0.0,0.0,64148.0,233472.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,230.32170987601313,545.8350252837579,49.88925201445818,117.93614356964827,1.3639589452146872,130789.0,435306.0,2.3283074264655284,53052.0,182834.0,82394.0,273173.0,0.0,25.0,372.0,745.0,119890.0,395426.0,81704.0,265283.0,38186.0,130143.0,2.408133871052218,916630.0,1832397.0,0.0,0.0,38181.0,130136.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,102.79204810432046,151.2481789643284,12.512816853821278,18.354523438960314,0.4668578349210828,31185.0,67288.0,1.157704024370691,11540.0,25096.0,20753.0,44765.0,0.0,0.0,301.0,301.0,28430.0,60791.0,19884.0,42434.0,8546.0,18357.0,1.148022466651065,187909.0,263537.0,0.0,0.0,8535.0,18344.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,119.1950716361727,173.76657589479024,16.734106298536062,24.331800119951367,0.4540244746789954,36270.0,74668.0,1.0586710780259168,13871.0,29735.0,23408.0,47839.0,0.0,0.0,378.0,378.0,33153.0,67149.0,23080.0,45881.0,10073.0,21268.0,1.1113868758066117,251424.0,314217.0,0.0,0.0,9779.0,20974.0,291.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,312.8104404481318,394.1956816979858,83.65083992667496,105.34528635255992,0.2593452312600981,589833.0,624197.0,0.05826055849706613,129053.0,175680.0,467103.0,464168.0,1203.0,938.0,729.0,729.0,539828.0,567854.0,425151.0,426139.0,114677.0,141715.0,0.23577526443837904,1908042.0,1952124.0,0.0,0.0,37449.0,84228.0,77228.0,57486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.1512107842694412,1.217973835965775,0.20447171479463577,0.21081751585006714,0.031035104595297458,60.0,74.0,0.2333333333333334,21.0,28.0,39.0,48.0,0.0,0.0,333.0,333.0,36.0,49.0,23.0,32.0,13.0,17.0,0.3076923076923077,274.0,219.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,5.447005637285918,12.683140355296597,3.282970415428281,6.967784348875284,1.1224024182887131,6613.0,17769.0,1.6869801905337969,2915.0,7844.0,4137.0,11144.0,0.0,0.0,341.0,341.0,5773.0,15704.0,3698.0,10139.0,2075.0,5565.0,1.6819277108433734,44097.0,71162.0,0.0,0.0,2074.0,5563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3248.6030355335965,3436.4628859164377,660.804786156863,699.0059716254473,0.05781009198004816,4079681.0,5040019.0,0.23539536547097684,1348020.0,1775699.0,2882767.0,3500892.0,298.0,656.0,361.0,361.0,3657128.0,4486428.0,2610359.0,3142702.0,1046769.0,1343726.0,0.2836891424946668,21204431.0,18354482.0,0.0,0.0,813931.0,1110887.0,232838.0,232838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-3.49637511249907,-2.0090847894870794,0.28267943300306797,0.4223984554409981,0.4942666714504613,455.0,1257.0,1.7626373626373626,176.0,478.0,293.0,846.0,0.0,0.0,400.0,400.0,390.0,1096.0,270.0,750.0,120.0,346.0,1.8833333333333333,2917.0,4974.0,0.0,0.0,120.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,3.8367821293114197,7.79373094447171,0.4646552037447691,0.8447874505072832,0.818095318203554,797.0,2108.0,1.6449184441656213,301.0,846.0,519.0,1363.0,0.0,0.0,400.0,400.0,657.0,1849.0,446.0,1256.0,211.0,593.0,1.81042654028436,4892.0,8622.0,0.0,0.0,199.0,580.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,6.4641618241445675,15.314908847309965,0.547574719414115,1.1968700364232063,1.1857656936825238,2721.0,8017.0,1.9463432561558252,1065.0,3139.0,1766.0,5249.0,0.0,0.0,361.0,361.0,2438.0,7159.0,1672.0,4947.0,766.0,2212.0,1.887728459530026,19210.0,36527.0,0.0,0.0,765.0,2210.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.38242413075907034,0.1933952430835486,0.03062048926949501,0.02643352746963501,-0.15839587829016355,5.0,5.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,100.0,100.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,35.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.13504626415669918,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,1485.4684950959768,1220.7894151547596,200.7420170493424,164.99809610284865,-0.21663232358883344,276508.0,282228.0,0.020686562414107268,112568.0,122542.0,178097.0,179240.0,1.0,0.0,800.0,800.0,249403.0,252657.0,167420.0,165152.0,81983.0,87505.0,0.06735542734469346,1817540.0,1178122.0,0.0,0.0,81960.0,87482.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.5649813001152435,-0.37127394470694774,0.023300141096115112,0.02659153938293457,0.14126087362484863,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-1.16864861073433,-1.1564210123386842,0.018057767301797867,0.01816016063094139,0.005670320556923514,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
