instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,gap0.005-0.015:status,gap0.005-0.015:successful_repeats,gap0.005-0.015:result,gap0.005-0.03:status,gap0.005-0.03:successful_repeats,gap0.005-0.03:result,result_match,gap0.005-0.015:matches_reference,gap0.005-0.03:matches_reference,gap0.005-0.015:wall_vs_Concorde_relative_change,gap0.005-0.03:wall_vs_Concorde_relative_change,gap0.005-0.015:wall_seconds,gap0.005-0.03:wall_seconds,relative_change:wall_seconds,gap0.005-0.015:branches,gap0.005-0.03:branches,relative_change:branches,gap0.005-0.015:nodes_expanded,gap0.005-0.03:nodes_expanded,gap0.005-0.015:pruned_by_bound,gap0.005-0.03:pruned_by_bound,gap0.005-0.015:pruned_infeasible,gap0.005-0.03:pruned_infeasible,gap0.005-0.015:root_potential_iterations,gap0.005-0.03:root_potential_iterations,gap0.005-0.015:search_node_potential_update_candidates,gap0.005-0.03:search_node_potential_update_candidates,gap0.005-0.015:search_node_potential_updates_triggered,gap0.005-0.03:search_node_potential_updates_triggered,gap0.005-0.015:search_node_potential_updates_skipped_total,gap0.005-0.03:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,gap0.005-0.015:search_node_potential_iterations,gap0.005-0.03:search_node_potential_iterations,gap0.005-0.015:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.03:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.015:search_node_potential_updates_skipped_depth_interval,gap0.005-0.03:search_node_potential_updates_skipped_depth_interval,gap0.005-0.015:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.03:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.015:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.03:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.015:search_node_potential_updates_skipped_invalid_state,gap0.005-0.03:search_node_potential_updates_skipped_invalid_state,gap0.005-0.015:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.03:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.015:search_node_potential_updates_skipped_strategy_none,gap0.005-0.03:search_node_potential_updates_skipped_strategy_none,gap0.005-0.015:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.03:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.015:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.03:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.015:search_node_potential_updates_skipped_zero_violation,gap0.005-0.03:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5027439839462395,-0.3825600320429826,0.04454651102423668,0.055313149467110634,0.24169431444397715,265.0,265.0,0.0,207.0,207.0,114.0,114.0,74.0,74.0,100.0,100.0,206.0,206.0,1.0,1.0,205.0,205.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.6891633410940656,-0.35727500911163035,0.007413854822516441,0.015329819172620773,1.0677258375849155,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.10186566586483226,0.06111944518925183,0.044939104467630386,0.04327728785574436,-0.03697929968949498,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.2667598536393285,-0.3591837789257901,0.04176037758588791,0.036496538668870926,-0.1260486427880334,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.7566026618999968,0.7551772690870517,0.1594722606241703,0.15934285707771778,-0.0008114486240179408,25075.0,25075.0,0.0,17028.0,17028.0,14788.0,14788.0,742.0,742.0,120.0,120.0,17027.0,17027.0,2.0,2.0,17025.0,17025.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.0,17025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.8054916748787757,0.51953634671254,0.004618028178811073,0.036076921969652176,6.812191821432389,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.0349391074728701,0.18943808810547025,0.04178495891392231,0.05149998515844345,0.23250055754594023,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.07617808251725544,-0.037629242582040034,0.034763190895318985,0.03621377423405647,0.04172756589306115,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.092720547209211,15.936756071689608,0.40138265676796436,1.3348700534552336,2.3256794506368266,8573.0,163992.0,18.128893036276683,5660.0,120115.0,5014.0,94615.0,0.0,1480.0,400.0,500.0,5990.0,120178.0,347.0,247.0,5643.0,119931.0,20.253056884635832,2302.0,6545.0,0.0,0.0,0.0,0.0,97.0,0.0,5545.0,119930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.5249820598756341,0.5545974334429797,0.08781107142567635,0.08951637521386147,0.019420145552243806,2141.0,2141.0,0.0,1646.0,1646.0,950.0,950.0,552.0,552.0,400.0,400.0,1726.0,1726.0,161.0,161.0,1565.0,1565.0,0.0,3293.0,3293.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,40.87265561712391,3.6271813176541654,1.628368241712451,0.17994452454149723,-0.8894939609284808,72915.0,4438.0,-0.939134608791058,46954.0,3635.0,46887.0,2427.0,101.0,3.0,364.0,364.0,61739.0,3635.0,14812.0,30.0,46927.0,3605.0,-0.9231785539241801,50601.0,939.0,0.0,0.0,0.0,0.0,5100.0,0.0,41827.0,3604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.3302538651570388,0.06677399177370735,0.03921674005687237,0.03144918382167816,-0.19806736164019867,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,3600.341277458571,1001.919150301559,575.8339247461408,160.36105051636696,-0.721515104225471,125276245.0,33476106.0,-0.7327816937680404,90277135.0,23948471.0,73731646.0,19283549.0,19.0,0.0,800.0,400.0,90281694.0,23948470.0,4614.0,32.0,90277080.0,23948438.0,-0.7347229440739554,19242.0,1018.0,0.0,0.0,0.0,0.0,1069.0,0.0,90276005.0,23948433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0
