instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PPSD32:matches_reference,hybrid-reverse:matches_reference,PPSD32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PPSD32:branches,hybrid-reverse:branches,relative_change:branches,PPSD32:nodes_expanded,hybrid-reverse:nodes_expanded,PPSD32:pruned_by_bound,hybrid-reverse:pruned_by_bound,PPSD32:pruned_infeasible,hybrid-reverse:pruned_infeasible,PPSD32:root_potential_iterations,hybrid-reverse:root_potential_iterations,PPSD32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.761656648855711,8.578591819073024,0.5329198185354471,0.7549365013837814,0.416604290413656,789.0,1014.0,0.28517110266159706,195.0,220.0,604.0,804.0,0.0,6.0,400.0,551.0,417.0,680.0,390.0,639.0,27.0,41.0,0.5185185185185186,6613.0,8715.0,0.0,0.0,0.0,0.0,26.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0286548361477266,1.1075257495452537,0.11681341007351875,0.12135493196547031,0.03887842918970752,369.0,440.0,0.19241192411924124,113.0,153.0,258.0,291.0,49.0,34.0,400.0,463.0,343.0,415.0,342.0,415.0,1.0,0.0,-1.0,5109.0,6521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.8779305100274932,37.29010938661277,0.189695805311203,1.489048095420003,6.849662742816924,309.0,3192.0,9.330097087378642,82.0,1042.0,233.0,2174.0,0.0,0.0,364.0,433.0,179.0,2960.0,170.0,2949.0,9.0,11.0,0.22222222222222232,3030.0,47624.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.060815616055802324,-0.4021325810466725,0.027687760069966316,0.017625516280531883,-0.3634184839801913,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,76.64249609832396,2795.1123801405074,12.414592178538442,447.0824178662151,35.01265441800842,9979.0,393662.0,38.44904299027959,2993.0,118496.0,7011.0,276680.0,0.0,0.0,400.0,1074.0,9098.0,372490.0,8974.0,372451.0,124.0,39.0,-0.685483870967742,139975.0,5770837.0,0.0,0.0,0.0,0.0,123.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,224.1739842151084,196.0931948970312,75.66980674117804,66.23324634879827,-0.12470707668987036,60544.0,52994.0,-0.1247026955602537,20594.0,17789.0,40220.0,35382.0,0.0,0.0,400.0,604.0,55913.0,48916.0,55907.0,48910.0,6.0,6.0,0.0,918774.0,797177.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.19847595660078987,0.33742704214027297,0.021755276247859,0.02427757903933525,0.11593981904617179,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.641851152837666,1.0518258155778994,0.013985412195324898,0.01747760735452175,0.24970269809882617,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.008241145194139321,-0.050506590183434286,0.013675786554813385,0.012878932058811188,-0.05826754408664947,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.5771063496356366,1.5695884776412097,0.19829175993800163,0.19771330803632736,-0.0029171756902814927,940.0,1070.0,0.13829787234042556,315.0,319.0,627.0,754.0,0.0,0.0,334.0,311.0,861.0,976.0,853.0,938.0,8.0,38.0,3.75,13858.0,13263.0,0.0,0.0,0.0,0.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,13.340336439415749,17.76393592113785,2.888926452025771,3.7800808269530535,0.30847250344583466,4498.0,6120.0,0.3606047132058692,1588.0,2184.0,2945.0,3985.0,0.0,0.0,319.0,357.0,4127.0,5605.0,4127.0,5605.0,0.0,0.0,0.0,70553.0,96224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3167424039663138,0.35081802064409806,0.041154319420456886,0.042219340801239014,0.025878726602212465,16.0,10.0,-0.375,6.0,5.0,10.0,5.0,1.0,4.0,100.0,152.0,13.0,9.0,13.0,9.0,0.0,0.0,0.0,174.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1068.7800510820314,335.6753721552581,99.53578985668719,31.32536361925304,-0.6852854268363604,411334.0,45495.0,-0.8893964515454594,76131.0,11672.0,335341.0,33899.0,0.0,2.0,320.0,372.0,389194.0,42194.0,327718.0,40654.0,61476.0,1540.0,-0.9749495738174246,1759135.0,510939.0,0.0,0.0,0.0,0.0,61476.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,394.4947826613981,263.3725958950781,186.1725574862212,124.44898002408445,-0.3315396119361199,93072.0,66191.0,-0.288819408629878,29374.0,19992.0,64008.0,46387.0,0.0,0.0,400.0,612.0,89016.0,62856.0,89008.0,62854.0,8.0,2.0,-0.75,1471657.0,1013266.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,146.82055855977077,438.03093355030956,27.104610711336136,80.50140427052975,1.97002621169767,32195.0,106369.0,2.303898120826215,10985.0,34309.0,21316.0,72354.0,0.0,0.0,372.0,396.0,30241.0,99518.0,30235.0,99492.0,6.0,26.0,3.333333333333333,511029.0,1604312.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,180.6588369797491,114.3104180624846,21.660205053165555,13.749109823256731,-0.36523639598474844,28723.0,17141.0,-0.4032308602861818,8579.0,5225.0,20210.0,11959.0,0.0,0.0,301.0,370.0,26783.0,16129.0,26771.0,16114.0,12.0,15.0,0.25,396449.0,240582.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,116.91503128810304,392.87386311765937,16.61280962266028,55.49208978563547,2.3403193707789742,18227.0,81423.0,3.4671640972184123,5945.0,19531.0,12341.0,62069.0,0.0,0.0,378.0,458.0,17193.0,76711.0,16900.0,71953.0,293.0,4758.0,15.238907849829353,277246.0,905057.0,0.0,0.0,0.0,0.0,292.0,4758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,807.132044138909,627.4517097258965,190.21213672682643,147.92031005769968,-0.22234031643240648,759297.0,160029.0,-0.7892405738465975,155933.0,50347.0,603985.0,110202.0,1340.0,1.0,729.0,445.0,701783.0,152471.0,611434.0,152415.0,90349.0,56.0,-0.9993801812969706,4394177.0,2363092.0,0.0,0.0,0.0,0.0,90348.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.9939113571808926,1.4424436611960503,0.24182261154055595,0.19727975688874722,-0.18419640069240784,103.0,54.0,-0.47572815533980584,33.0,14.0,70.0,40.0,0.0,0.0,333.0,356.0,63.0,26.0,63.0,26.0,0.0,0.0,0.0,1035.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.710822591326274,7.729888952781737,3.8176731914281845,3.8260293640196323,0.0021888129686453706,3452.0,3262.0,-0.0550405561993047,1242.0,1150.0,2223.0,2120.0,0.0,0.0,341.0,393.0,3220.0,3039.0,3220.0,3039.0,0.0,0.0,0.0,53414.0,49307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1532.2102567944232,11.870175566228834,383.05140566825867,3.2154355999082327,-0.9916057334542379,220224.0,1951.0,-0.9911408384190642,96849.0,825.0,134542.0,1190.0,70.0,0.0,400.0,288.0,190319.0,1786.0,190299.0,1786.0,20.0,0.0,-1.0,3992184.0,35177.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3538.2083703147214,1702.3521627474686,761.4286705832928,366.4608118850738,-0.5187194466891478,2715260.0,1061614.0,-0.6090193940911737,681818.0,297463.0,2037679.0,766558.0,89.0,116.0,361.0,340.0,2524427.0,983550.0,2291586.0,933941.0,232841.0,49609.0,-0.7869404443375523,25123350.0,12361647.0,0.0,0.0,0.0,0.0,232840.0,49608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,552.9106860500004,261.17197682335285,1585.013385610655,750.2041449323297,-0.5266890792576493,450182.0,217376.0,-0.5171375132724099,159340.0,76795.0,293611.0,141958.0,5.0,6.0,400.0,597.0,426701.0,206043.0,426691.0,206029.0,10.0,14.0,0.3999999999999999,7794603.0,3773436.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7167256299154368,-0.6960704087951579,0.3287964127957821,0.3527709171175957,0.07291595464182987,290.0,375.0,0.2931034482758621,92.0,110.0,201.0,266.0,0.0,0.0,400.0,486.0,238.0,311.0,238.0,308.0,0.0,3.0,,3922.0,4710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.63493661494815,2.2637188969391104,0.5207873731851578,0.2561748046427965,-0.5081009682012441,451.0,152.0,-0.6629711751662971,147.0,32.0,306.0,120.0,0.0,0.0,400.0,497.0,356.0,60.0,345.0,40.0,11.0,20.0,0.8181818181818181,6062.0,549.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,7.098983909854031,0.6465460196997368,0.5783304013311863,0.11757618375122547,-0.796697210659181,1353.0,146.0,-0.8920916481892092,435.0,48.0,923.0,100.0,0.0,0.0,361.0,358.0,1213.0,98.0,1210.0,88.0,3.0,10.0,2.3333333333333335,20392.0,1718.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.1727893717225134,0.19408886107510637,0.028013642877340317,0.04043804295361042,0.44351247464213084,5.0,8.0,0.6000000000000001,2.0,3.0,3.0,4.0,3.0,4.0,100.0,139.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,35.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,1745.9330087902867,215.38966871233373,211.26963291689754,26.169615918770432,-0.8761316732676665,130944.0,14593.0,-0.8885554130009775,41587.0,4646.0,89780.0,9997.0,0.0,0.0,400.0,456.0,121660.0,13291.0,121630.0,13249.0,30.0,42.0,0.3999999999999999,1926907.0,213321.0,0.0,0.0,0.0,0.0,30.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.28346797460208806,-0.40339969422325994,0.022882739081978798,0.019052671268582344,-0.1673780310860078,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.6466685722434935,-0.6755721487602122,0.016082778573036194,0.014767158776521683,-0.08180301622259678,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,ok,1,118282.0,timeout,0,,,True,,5463.281272532711,,1086.8457446284592,,,879992.0,,,270348.0,,612004.0,,0.0,,729.0,,792292.0,,792253.0,,39.0,,,12512801.0,,0.0,,0.0,,38.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,ok,1,1950.0,,,True,,8407.507999596392,,1531.0912453494966,,,1887032.0,,,478344.0,,1418302.0,,31502.0,,358.0,,1457646.0,,1457646.0,,0.0,,,22731130.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
d198.tsp,ok,0.9902167804539204,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.46501733362674713,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.15831930935382843,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.5037562884390354,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8909101411700249,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
