instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PPSD32:matches_reference,hybrid-reverse:matches_reference,PPSD32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PPSD32:branches,hybrid-reverse:branches,relative_change:branches,PPSD32:nodes_expanded,hybrid-reverse:nodes_expanded,PPSD32:pruned_by_bound,hybrid-reverse:pruned_by_bound,PPSD32:pruned_infeasible,hybrid-reverse:pruned_infeasible,PPSD32:root_potential_iterations,hybrid-reverse:root_potential_iterations,PPSD32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5634221594340482,-0.5467292109735737,0.03911067731678486,0.04060610942542553,0.038235904137586596,22.0,32.0,0.4545454545454546,7.0,11.0,15.0,21.0,0.0,0.0,100.0,210.0,18.0,19.0,18.0,19.0,0.0,0.0,0.0,239.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.05677113810373291,-0.27863283452803,0.02249722369015217,0.017205536365509033,-0.23521512687627733,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,127.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.42514663494221305,-0.2982100464453783,0.023445140570402145,0.02862219326198101,0.22081559613741586,11.0,11.0,0.0,3.0,3.0,6.0,6.0,4.0,3.0,100.0,125.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,85.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.796202674470476,-0.47719920383352976,0.011606911197304726,0.029775181785225868,1.5652976299275942,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3095341858634837,-0.25515462833497404,0.06268358044326305,0.067620400339365,0.07875778411493939,47.0,36.0,-0.23404255319148937,14.0,11.0,33.0,25.0,0.0,1.0,120.0,190.0,44.0,30.0,44.0,30.0,0.0,0.0,0.0,622.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.4872933351252089,-0.6537369980169335,0.01217271201312542,0.008220996707677841,-0.32463721323453465,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1349.9951620100796,9378.945144450085,249.92288493923843,1735.2119511552155,5.942989440831249,181331.0,1149734.0,5.340526440597581,55789.0,368633.0,126175.0,785204.0,0.0,3.0,400.0,586.0,172406.0,1090625.0,170699.0,1090594.0,1707.0,31.0,-0.9818394844756884,2686763.0,17677823.0,0.0,0.0,0.0,0.0,1704.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,330.24310084220025,1156.2084709906856,110.2663047555834,385.2188969478011,2.493532297120851,59460.0,185347.0,2.117171207534477,17996.0,57361.0,41645.0,128620.0,0.0,0.0,400.0,616.0,56929.0,178853.0,56524.0,178817.0,405.0,36.0,-0.9111111111111111,889991.0,2871263.0,0.0,0.0,0.0,0.0,404.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.1409575759812769,-0.08107596292910668,0.03719459846615791,0.03978733718395233,0.06970739905025347,3.0,6.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,100.0,201.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,17.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4511072985676893,-0.3227350126124129,0.020654696971178055,0.025485314428806305,0.23387500985218912,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
