instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H4:status,H4:successful_repeats,H4:result,PH432:status,PH432:successful_repeats,PH432:result,result_match,H4:matches_reference,PH432:matches_reference,H4:wall_vs_Concorde_symmetric_change,PH432:wall_vs_Concorde_symmetric_change,H4:wall_seconds,PH432:wall_seconds,symmetric_change:wall_seconds,H4:branches,PH432:branches,symmetric_change:branches,H4:nodes_expanded,PH432:nodes_expanded,H4:pruned_by_bound,PH432:pruned_by_bound,H4:pruned_infeasible,PH432:pruned_infeasible,H4:root_potential_iterations,PH432:root_potential_iterations,H4:search_node_potential_update_candidates,PH432:search_node_potential_update_candidates,H4:search_node_potential_updates_triggered,PH432:search_node_potential_updates_triggered,H4:search_node_potential_updates_skipped_total,PH432:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H4:search_node_potential_iterations,PH432:search_node_potential_iterations,H4:search_node_potential_updates_skipped_budget_exhausted,PH432:search_node_potential_updates_skipped_budget_exhausted,H4:search_node_potential_updates_skipped_depth_interval,PH432:search_node_potential_updates_skipped_depth_interval,H4:search_node_potential_updates_skipped_gap_above_maximum,PH432:search_node_potential_updates_skipped_gap_above_maximum,H4:search_node_potential_updates_skipped_gap_below_minimum,PH432:search_node_potential_updates_skipped_gap_below_minimum,H4:search_node_potential_updates_skipped_invalid_state,PH432:search_node_potential_updates_skipped_invalid_state,H4:search_node_potential_updates_skipped_numerically_unsafe,PH432:search_node_potential_updates_skipped_numerically_unsafe,H4:search_node_potential_updates_skipped_strategy_none,PH432:search_node_potential_updates_skipped_strategy_none,H4:search_node_potential_updates_skipped_update_depth_zero,PH432:search_node_potential_updates_skipped_update_depth_zero,H4:search_node_potential_updates_skipped_zero_iteration_limit,PH432:search_node_potential_updates_skipped_zero_iteration_limit,H4:search_node_potential_updates_skipped_zero_violation,PH432:search_node_potential_updates_skipped_zero_violation
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3161715664159994,0.15653258890464805,0.06042822264134884,0.05309885926544666,-0.13803240742445966,29.0,31.0,0.06896551724137923,19.0,19.0,16.0,17.0,7.0,7.0,100.0,100.0,23.0,23.0,6.0,6.0,17.0,17.0,0.0,33.0,49.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,793.9930228135635,1011.5692537506069,88.89362115599215,113.22231145948172,0.27368319556694787,616650.0,649711.0,0.053613881456255674,187964.0,190047.0,455735.0,483994.0,0.0,0.0,649.0,320.0,561386.0,595401.0,379792.0,410872.0,181594.0,184529.0,0.016162428274062002,1373927.0,1664739.0,0.0,0.0,124152.0,123056.0,57440.0,61473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,2297.9897812621707,817.8831196299517,1235.4849444143474,440.07057960145175,-1.8074699870490312,3979173.0,1066086.0,-2.73250657076446,1784713.0,460072.0,2477306.0,666473.0,48.0,19.0,400.0,400.0,3556697.0,962583.0,1861382.0,523146.0,1695315.0,439437.0,-2.85792502679565,7809041.0,2971494.0,0.0,0.0,1695305.0,439429.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,492.52342821133936,332.0339068715026,106.43840864859521,71.82556500285864,-0.48190144615442976,987874.0,503564.0,-0.961764542342185,486070.0,241263.0,602998.0,307085.0,212.0,59.0,745.0,745.0,855741.0,439622.0,399708.0,212058.0,456033.0,227564.0,-1.0039769032008579,1851156.0,1395314.0,0.0,0.0,456030.0,227561.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,285.76109929689346,139.47242890794223,34.57094432413578,16.93487900123,-1.0414048616246299,297683.0,102303.0,-1.9098169164149632,133036.0,45667.0,190207.0,65163.0,0.0,0.0,618.0,301.0,260143.0,89990.0,133390.0,46361.0,126753.0,43629.0,-1.9052465103486211,537024.0,246835.0,0.0,0.0,126742.0,43620.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,301.05479197456094,205.88192292423082,42.05344635248184,28.803045269101858,-0.4600347275638317,347863.0,144370.0,-1.4095241393641338,157367.0,65852.0,221163.0,89889.0,0.0,0.0,778.0,378.0,295872.0,122886.0,146883.0,60596.0,148989.0,62290.0,-1.3918606517900143,639686.0,386813.0,0.0,0.0,148734.0,61998.0,253.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,1220.6679523127395,269.8904634646833,325.6537614762783,72.20988175086677,-3.509822666651429,3479792.0,557967.0,-5.236555208462149,1609799.0,174190.0,2214431.0,410206.0,1162.0,909.0,729.0,729.0,3007527.0,495214.0,1484762.0,328501.0,1522765.0,166713.0,-8.134050733895977,6222620.0,1356426.0,0.0,0.0,1494961.0,116615.0,27804.0,50097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.1195411747546213,1.2889011959643706,0.2014615312218666,0.21755913272500038,0.07990409586138658,82.0,59.0,-0.38983050847457634,35.0,25.0,52.0,36.0,1.0,1.0,333.0,333.0,49.0,41.0,21.0,21.0,28.0,20.0,-0.3999999999999999,145.0,162.0,0.0,0.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.624781835377252,6.8114749013404365,4.391946462914348,3.9777910001575947,-0.10411694901525603,29643.0,17329.0,-0.7106007271048531,15828.0,9240.0,18224.0,10536.0,0.0,0.0,341.0,341.0,24586.0,14304.0,9944.0,5735.0,14642.0,8569.0,-0.7087174699498191,52487.0,45667.0,0.0,0.0,14641.0,8568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3582.6336544069377,3789.569186319128,728.7297078352422,770.8099214546382,0.05774461115960161,11390222.0,8727965.0,-0.30502608569122347,5198200.0,3851721.0,7459152.0,5768509.0,5566.0,5034.0,361.0,361.0,9552112.0,7337374.0,4661657.0,3695738.0,4890455.0,3641636.0,-0.34292801367297554,20444920.0,20961330.0,0.0,0.0,4657648.0,3408830.0,232806.0,232806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
