instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P16:status,P16:successful_repeats,P16:result,hybrid:status,hybrid:successful_repeats,hybrid:result,result_match,P16:matches_reference,hybrid:matches_reference,P16:wall_vs_Concorde_symmetric_change,hybrid:wall_vs_Concorde_symmetric_change,P16:wall_seconds,hybrid:wall_seconds,symmetric_change:wall_seconds,P16:branches,hybrid:branches,symmetric_change:branches,P16:nodes_expanded,hybrid:nodes_expanded,P16:pruned_by_bound,hybrid:pruned_by_bound,P16:pruned_infeasible,hybrid:pruned_infeasible,P16:root_potential_iterations,hybrid:root_potential_iterations,P16:search_node_potential_update_candidates,hybrid:search_node_potential_update_candidates,P16:search_node_potential_updates_triggered,hybrid:search_node_potential_updates_triggered,P16:search_node_potential_updates_skipped_total,hybrid:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P16:search_node_potential_iterations,hybrid:search_node_potential_iterations,P16:search_node_potential_updates_skipped_budget_exhausted,hybrid:search_node_potential_updates_skipped_budget_exhausted,P16:search_node_potential_updates_skipped_depth_interval,hybrid:search_node_potential_updates_skipped_depth_interval,P16:search_node_potential_updates_skipped_gap_above_maximum,hybrid:search_node_potential_updates_skipped_gap_above_maximum,P16:search_node_potential_updates_skipped_gap_below_minimum,hybrid:search_node_potential_updates_skipped_gap_below_minimum,P16:search_node_potential_updates_skipped_invalid_state,hybrid:search_node_potential_updates_skipped_invalid_state,P16:search_node_potential_updates_skipped_numerically_unsafe,hybrid:search_node_potential_updates_skipped_numerically_unsafe,P16:search_node_potential_updates_skipped_strategy_none,hybrid:search_node_potential_updates_skipped_strategy_none,P16:search_node_potential_updates_skipped_update_depth_zero,hybrid:search_node_potential_updates_skipped_update_depth_zero,P16:search_node_potential_updates_skipped_zero_iteration_limit,hybrid:search_node_potential_updates_skipped_zero_iteration_limit,P16:search_node_potential_updates_skipped_zero_violation,hybrid:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-2.3017915704556557,-0.6949304395677363,0.028454359620809555,0.05543021857738495,0.9480395734102942,36.0,36.0,0.0,14.0,15.0,23.0,23.0,0.0,1.0,100.0,208.0,30.0,25.0,30.0,24.0,0.0,1.0,,293.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.9144879384374685,-1.2495305232918072,0.018648438155651093,0.0158709604293108,-0.175003758512988,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,125.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.064920634905906,0.06289194784962127,0.02007296122610569,0.0440558847039938,1.194787515790015,9.0,9.0,0.0,3.0,3.0,5.0,5.0,1.0,1.0,100.0,125.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-4.359116012471601,-0.9585942668334604,0.01175750233232975,0.032170940190553665,1.7362052994956958,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.6617671831406877,-0.14170025367928796,0.060008080676198006,0.08734294213354588,0.45551967583909314,125.0,30.0,-3.166666666666667,38.0,10.0,88.0,20.0,0.0,6.0,120.0,212.0,107.0,24.0,107.0,24.0,0.0,0.0,0.0,909.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.5303423590745342,1.7345887090489627,0.008059242740273476,0.033726777881383896,3.184856936104575,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,4523.000857754305,4414.8356297534165,864.4561295546591,843.7876776047051,-0.024494849235801253,904164.0,904164.0,0.0,291794.0,291794.0,619746.0,619746.0,1.0,1.0,400.0,528.0,850624.0,850624.0,848919.0,848919.0,1705.0,1705.0,0.0,7824399.0,7824399.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,407.9148489241617,1805.9195504098168,142.97944540902972,631.7998866904527,3.418816179367779,100246.0,504420.0,4.031821718572312,31384.0,159036.0,69434.0,348840.0,0.0,5.0,400.0,1140.0,96177.0,481457.0,95772.0,481451.0,405.0,6.0,-66.5,879974.0,4449190.0,0.0,0.0,0.0,0.0,404.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3587540499378876,-0.1835881929736194,0.02299654670059681,0.02639993466436863,0.14799561030106734,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,1.0,100.0,139.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4800768045337045,0.6150732289284631,0.01648634672164917,0.03940949775278568,1.3904324237603718,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
