instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>1%128:status,P33>1%128:successful_repeats,P33>1%128:result,P33>2%128:status,P33>2%128:successful_repeats,P33>2%128:result,result_match,P33>1%128:matches_reference,P33>2%128:matches_reference,P33>1%128:wall_vs_Concorde_relative_change,P33>2%128:wall_vs_Concorde_relative_change,P33>1%128:wall_seconds,P33>2%128:wall_seconds,relative_change:wall_seconds,P33>1%128:branches,P33>2%128:branches,relative_change:branches,P33>1%128:nodes_expanded,P33>2%128:nodes_expanded,P33>1%128:pruned_by_bound,P33>2%128:pruned_by_bound,P33>1%128:pruned_infeasible,P33>2%128:pruned_infeasible,P33>1%128:root_potential_iterations,P33>2%128:root_potential_iterations,P33>1%128:search_node_potential_update_candidates,P33>2%128:search_node_potential_update_candidates,P33>1%128:search_node_potential_updates_triggered,P33>2%128:search_node_potential_updates_triggered,P33>1%128:search_node_potential_updates_skipped_total,P33>2%128:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>1%128:search_node_potential_iterations,P33>2%128:search_node_potential_iterations,P33>1%128:search_node_potential_updates_skipped_budget_exhausted,P33>2%128:search_node_potential_updates_skipped_budget_exhausted,P33>1%128:search_node_potential_updates_skipped_depth_interval,P33>2%128:search_node_potential_updates_skipped_depth_interval,P33>1%128:search_node_potential_updates_skipped_gap_above_maximum,P33>2%128:search_node_potential_updates_skipped_gap_above_maximum,P33>1%128:search_node_potential_updates_skipped_gap_below_minimum,P33>2%128:search_node_potential_updates_skipped_gap_below_minimum,P33>1%128:search_node_potential_updates_skipped_invalid_state,P33>2%128:search_node_potential_updates_skipped_invalid_state,P33>1%128:search_node_potential_updates_skipped_numerically_unsafe,P33>2%128:search_node_potential_updates_skipped_numerically_unsafe,P33>1%128:search_node_potential_updates_skipped_strategy_none,P33>2%128:search_node_potential_updates_skipped_strategy_none,P33>1%128:search_node_potential_updates_skipped_update_depth_zero,P33>2%128:search_node_potential_updates_skipped_update_depth_zero,P33>1%128:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%128:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%128:search_node_potential_updates_skipped_zero_violation,P33>2%128:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,24.14541677042347,28.420170245935115,0.977869626134634,1.1441087312996387,0.17000129743483483,227954.0,282120.0,0.23761811593567117,178971.0,219227.0,133330.0,164940.0,8.0,50.0,364.0,364.0,178970.0,219226.0,8.0,4.0,178962.0,219222.0,0.2249639588292487,1024.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,178962.0,219221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.28457367965477376,-0.8022671586436094,0.03787005878984928,0.005829291418194771,-0.8460712339913965,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1029.0385945108185,1039.8911628441433,164.69729492999613,166.43255869299173,0.010536079318929747,34486595.0,34486837.0,7.017219299187971e-06,24700244.0,24700414.0,19842751.0,19842895.0,0.0,0.0,400.0,400.0,24700243.0,24700413.0,17.0,14.0,24700226.0,24700399.0,7.003984497933047e-06,2096.0,1792.0,0.0,0.0,0.0,0.0,0.0,0.0,24700220.0,24700392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,1048.0075494268422,964.6968029270494,352.51940321549773,324.5227937977761,-0.07941863387476322,43396893.0,23981872.0,-0.44738274235438924,30341673.0,16170127.0,25649214.0,14214948.0,162015.0,85.0,800.0,800.0,30341671.0,16170125.0,26.0,3.0,30341645.0,16170122.0,-0.4670650849682013,3328.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,30341643.0,16170122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,1.0750935583446881,0.7510331667166554,0.03766803443431854,0.031785544008016586,-0.1561666414147308,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,2.9626028868338308,3.969688441578122,0.03375375084578991,0.042332181707024574,0.2541474842433593,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,2.2708831042173303,1.389939521724377,0.044366270303726196,0.03241714835166931,-0.26932897154199853,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.0539191392896674,3.651051529888427,0.2349794376641512,0.3578685037791729,0.522977956440015,55441.0,154424.0,1.78537544416587,42328.0,111300.0,31686.0,91367.0,319.0,302.0,334.0,334.0,42342.0,111299.0,92.0,2.0,42250.0,111297.0,1.634248520710059,10260.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,42250.0,111295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,20.71254245199561,39.84089559934222,4.374091116711497,8.227585462853312,0.8809817270196525,1213194.0,2490722.0,1.053028617022504,836120.0,1672187.0,702475.0,1488093.0,1305.0,6435.0,684.0,684.0,836118.0,1672185.0,24.0,0.0,836094.0,1672185.0,0.9999964118867017,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836092.0,1672184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.15997206388119567,0.3973407527698183,0.03625451773405075,0.04367339238524437,0.20463310822710823,44.0,44.0,0.0,36.0,36.0,19.0,19.0,14.0,14.0,100.0,100.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,286.9453106914396,349.46700229772676,34.33333922736347,41.78815223276615,0.21713043861056325,9306571.0,11780411.0,0.2658164860075747,6860780.0,8463763.0,5391513.0,6853777.0,4619.0,3518.0,618.0,618.0,6860789.0,8463761.0,210.0,5.0,6860579.0,8463756.0,0.2336795480381466,25819.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,6860571.0,8463754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,68.92594441196692,4220.8201661282865,9.851724496111274,594.803681217134,59.37559022807815,2338818.0,163909963.0,69.0823933285959,1591102.0,112643137.0,1389542.0,97193741.0,3.0,632.0,378.0,778.0,1591103.0,112643135.0,47.0,6.0,1591056.0,112643129.0,69.79771485101719,5850.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,1591048.0,112643124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.261002695540117,1.2447612182783305,0.18262450397014618,0.18131265603005886,-0.007183307341394718,344.0,348.0,0.011627906976744207,225.0,225.0,205.0,212.0,2.0,3.0,333.0,333.0,224.0,224.0,1.0,0.0,223.0,224.0,0.004484304932735439,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,2.2891992665050704,7.270244480714835,1.4415501784533262,3.6245819851756096,1.5143640778876741,163593.0,660814.0,3.039378213004224,120312.0,487141.0,94276.0,383782.0,40.0,84.0,341.0,341.0,120312.0,487140.0,40.0,0.0,120272.0,487140.0,3.0503192763070377,5038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120272.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,2193.052931042324,7194.702228006857,472.03064405173063,1548.090252989903,2.2796393041385787,100530075.0,411309055.0,3.091403045307586,70855967.0,292385456.0,60693725.0,249395520.0,106467.0,432349.0,361.0,361.0,70858393.0,292385456.0,33739.0,765.0,70824654.0,292384691.0,3.128289719565732,4069655.0,97805.0,0.0,0.0,0.0,0.0,0.0,0.0,70824650.0,292384686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.13932855352728002,-0.5813305395601279,0.9989808965474367,0.48594942316412926,-0.5135548388927036,146658.0,91741.0,-0.37445621786741945,116317.0,67911.0,82260.0,52854.0,350.0,346.0,800.0,400.0,116315.0,67910.0,28.0,0.0,116287.0,67910.0,-0.4160138278569402,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116284.0,67907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,4.217129160996665,1098.8296200674781,0.4095012731850147,86.32748314365745,209.8112692110099,39166.0,24725998.0,630.3128223459123,28396.0,16622053.0,22199.0,14299162.0,6.0,2941.0,400.0,400.0,28395.0,16622052.0,15.0,6.0,28380.0,16622046.0,584.6957716701903,1920.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,28376.0,16622043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,9.986711525617869,327.0205353055955,0.7845365982502699,23.423215793445706,28.856116140006534,218797.0,8618313.0,38.389539161871504,144557.0,5632636.0,130693.0,5132248.0,143.0,44851.0,734.0,734.0,144555.0,5632634.0,18.0,2.0,144537.0,5632632.0,37.97017372714253,2304.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,144536.0,5632632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.3754251224091829,0.31163979298654865,0.0465790294110775,0.044418927282094955,-0.046374992272140925,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,100.0,100.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.43340484610580843,0.7129152090420234,0.04577636159956455,0.0547026377171278,0.19499750101694757,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.6946376699801469,-0.18434913059250824,0.013899343088269234,0.03712642379105091,1.6710919757340812,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
