instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32r5h2:status,P32r5h2:successful_repeats,P32r5h2:result,P32r5h1:status,P32r5h1:successful_repeats,P32r5h1:result,result_match,P32r5h2:matches_reference,P32r5h1:matches_reference,P32r5h2:wall_vs_Concorde_symmetric_change,P32r5h1:wall_vs_Concorde_symmetric_change,P32r5h2:wall_seconds,P32r5h1:wall_seconds,symmetric_change:wall_seconds,P32r5h2:branches,P32r5h1:branches,symmetric_change:branches,P32r5h2:nodes_expanded,P32r5h1:nodes_expanded,P32r5h2:pruned_by_bound,P32r5h1:pruned_by_bound,P32r5h2:pruned_infeasible,P32r5h1:pruned_infeasible,P32r5h2:root_potential_iterations,P32r5h1:root_potential_iterations,P32r5h2:search_node_potential_update_candidates,P32r5h1:search_node_potential_update_candidates,P32r5h2:search_node_potential_updates_triggered,P32r5h1:search_node_potential_updates_triggered,P32r5h2:search_node_potential_updates_skipped_total,P32r5h1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32r5h2:search_node_potential_iterations,P32r5h1:search_node_potential_iterations,P32r5h2:search_node_potential_updates_skipped_budget_exhausted,P32r5h1:search_node_potential_updates_skipped_budget_exhausted,P32r5h2:search_node_potential_updates_skipped_depth_interval,P32r5h1:search_node_potential_updates_skipped_depth_interval,P32r5h2:search_node_potential_updates_skipped_gap_above_maximum,P32r5h1:search_node_potential_updates_skipped_gap_above_maximum,P32r5h2:search_node_potential_updates_skipped_gap_below_minimum,P32r5h1:search_node_potential_updates_skipped_gap_below_minimum,P32r5h2:search_node_potential_updates_skipped_invalid_state,P32r5h1:search_node_potential_updates_skipped_invalid_state,P32r5h2:search_node_potential_updates_skipped_numerically_unsafe,P32r5h1:search_node_potential_updates_skipped_numerically_unsafe,P32r5h2:search_node_potential_updates_skipped_strategy_none,P32r5h1:search_node_potential_updates_skipped_strategy_none,P32r5h2:search_node_potential_updates_skipped_update_depth_zero,P32r5h1:search_node_potential_updates_skipped_update_depth_zero,P32r5h2:search_node_potential_updates_skipped_zero_iteration_limit,P32r5h1:search_node_potential_updates_skipped_zero_iteration_limit,P32r5h2:search_node_potential_updates_skipped_zero_violation,P32r5h1:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.0643056738959547,-0.2214865528083414,0.045511847361922264,0.07691477611660957,0.6899945964610688,36.0,29.0,-0.24137931034482762,16.0,9.0,22.0,20.0,0.0,1.0,100.0,100.0,32.0,26.0,21.0,26.0,11.0,0.0,,216.0,332.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1310343892143244,-1.3209835193331156,0.016753464937210083,0.01538236252963543,-0.08913470898459908,3.0,3.0,0.0,3.0,1.0,0.0,2.0,6.0,1.0,100.0,100.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.11243609287657774,-0.5034809818055757,0.04610944353044033,0.027568737044930458,-0.6725265091140356,11.0,10.0,-0.10000000000000009,6.0,3.0,3.0,5.0,7.0,3.0,100.0,100.0,7.0,7.0,3.0,7.0,4.0,0.0,,40.0,82.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3443946310596169,-0.07472241534896051,0.046868544071912766,0.05862892419099808,0.2509226678994074,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.017954748871503057,-0.08522836458742633,0.10150989703834057,0.09188799560070038,-0.10471336734182546,236.0,88.0,-1.6818181818181817,77.0,26.0,166.0,62.0,2.0,0.0,120.0,120.0,217.0,82.0,158.0,82.0,59.0,0.0,,1348.0,1173.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,1.4512686356631574,0.440140549402819,0.03023247793316841,0.017761830240488052,-0.7021037541645649,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,2082.380871355707,937.7699722651578,398.0970430970192,179.3822508621961,-1.219266628574322,524298.0,108576.0,-3.828857206012378,194241.0,35530.0,344109.0,73412.0,8.0,0.0,400.0,400.0,485054.0,103958.0,341088.0,103953.0,143966.0,5.0,-28792.2,3451052.0,1708942.0,0.0,0.0,143962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1802.6636582626902,131.9461036665966,630.6614451427013,46.48537518642843,-12.566878671269176,704719.0,21943.0,-31.11589117258351,251708.0,6721.0,469795.0,15293.0,26.0,0.0,800.0,400.0,661204.0,20920.0,472889.0,20920.0,188315.0,0.0,,4684819.0,332154.0,0.0,0.0,188313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.8506958813187249,0.3466539552099388,0.05782804824411869,0.042078426107764244,-0.3742920920097901,7.0,3.0,-1.3333333333333335,3.0,1.0,4.0,2.0,0.0,0.0,100.0,100.0,4.0,2.0,2.0,2.0,2.0,0.0,,6.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.5482910629203985,0.27744688848331456,0.03777994215488434,0.031171057373285294,-0.21201991008694798,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
