instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32r5h2:status,P32r5h2:successful_repeats,P32r5h2:result,P32r5h1:status,P32r5h1:successful_repeats,P32r5h1:result,result_match,P32r5h2:matches_reference,P32r5h1:matches_reference,P32r5h2:wall_vs_Concorde_symmetric_change,P32r5h1:wall_vs_Concorde_symmetric_change,P32r5h2:wall_seconds,P32r5h1:wall_seconds,symmetric_change:wall_seconds,P32r5h2:branches,P32r5h1:branches,symmetric_change:branches,P32r5h2:nodes_expanded,P32r5h1:nodes_expanded,P32r5h2:pruned_by_bound,P32r5h1:pruned_by_bound,P32r5h2:pruned_infeasible,P32r5h1:pruned_infeasible,P32r5h2:root_potential_iterations,P32r5h1:root_potential_iterations,P32r5h2:search_node_potential_update_candidates,P32r5h1:search_node_potential_update_candidates,P32r5h2:search_node_potential_updates_triggered,P32r5h1:search_node_potential_updates_triggered,P32r5h2:search_node_potential_updates_skipped_total,P32r5h1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32r5h2:search_node_potential_iterations,P32r5h1:search_node_potential_iterations,P32r5h2:search_node_potential_updates_skipped_budget_exhausted,P32r5h1:search_node_potential_updates_skipped_budget_exhausted,P32r5h2:search_node_potential_updates_skipped_depth_interval,P32r5h1:search_node_potential_updates_skipped_depth_interval,P32r5h2:search_node_potential_updates_skipped_gap_above_maximum,P32r5h1:search_node_potential_updates_skipped_gap_above_maximum,P32r5h2:search_node_potential_updates_skipped_gap_below_minimum,P32r5h1:search_node_potential_updates_skipped_gap_below_minimum,P32r5h2:search_node_potential_updates_skipped_invalid_state,P32r5h1:search_node_potential_updates_skipped_invalid_state,P32r5h2:search_node_potential_updates_skipped_numerically_unsafe,P32r5h1:search_node_potential_updates_skipped_numerically_unsafe,P32r5h2:search_node_potential_updates_skipped_strategy_none,P32r5h1:search_node_potential_updates_skipped_strategy_none,P32r5h2:search_node_potential_updates_skipped_update_depth_zero,P32r5h1:search_node_potential_updates_skipped_update_depth_zero,P32r5h2:search_node_potential_updates_skipped_zero_iteration_limit,P32r5h1:search_node_potential_updates_skipped_zero_iteration_limit,P32r5h2:search_node_potential_updates_skipped_zero_violation,P32r5h1:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,175.21940858137495,207.11200939249457,14.698192121461034,17.35830531641841,0.18098233939079544,28535.0,19938.0,-0.4311866787039824,10356.0,5632.0,19337.0,14389.0,0.0,0.0,400.0,400.0,26254.0,18344.0,18612.0,18344.0,7642.0,0.0,,188135.0,281635.0,0.0,0.0,7641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.6920152467910667,1.4690064340007085,0.11996524594724178,0.11002722382545471,-0.09032330159990742,546.0,429.0,-0.2727272727272727,214.0,135.0,355.0,298.0,70.0,51.0,400.0,400.0,506.0,411.0,381.0,411.0,125.0,0.0,,4603.0,6174.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.578362987943303,1.7567142753679525,0.3916647154837847,0.16413015127182007,-1.3863056997683434,1175.0,192.0,-5.119791666666667,431.0,52.0,791.0,143.0,0.0,0.0,364.0,364.0,1042.0,99.0,742.0,99.0,300.0,0.0,,7790.0,2089.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.10767056316452428,0.4501303454300951,0.036829400807619095,0.04821598902344704,0.3091711503889669,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,37.86012820136027,12.90649883901907,7.319556439295411,2.619378983974457,-1.7943861824031448,11964.0,1763.0,-5.786159954622802,4290.0,506.0,8113.0,1258.0,1.0,0.0,400.0,400.0,10262.0,1333.0,7114.0,1333.0,3148.0,0.0,,69890.0,23522.0,0.0,0.0,3144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,243.58612324147876,146.27944388282694,86.11657897010446,51.855770440772176,-0.660694233990097,137408.0,40896.0,-2.359937402190923,58563.0,13718.0,87386.0,27293.0,19.0,0.0,400.0,400.0,123600.0,37613.0,81513.0,37613.0,42087.0,0.0,,916101.0,612506.0,0.0,0.0,42084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.6105511040187843,0.47017059733629574,0.046106282621622086,0.04208751954138279,-0.09548586193795106,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,2.104291540195661,1.65465465263033,0.03431059420108795,0.029340922832489014,-0.16937679148578288,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.48263042011963053,0.24767427086446303,0.04253601096570492,0.03579522296786308,-0.18831529570003536,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,3.5228172577015266,3.362723770647122,0.4329823926091194,0.41765617951750755,-0.03669576518493578,4726.0,2207.0,-1.141368373357499,1816.0,693.0,3103.0,1518.0,0.0,0.0,334.0,334.0,4332.0,2030.0,3011.0,2030.0,1321.0,0.0,,29064.0,30910.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,8.315084675424336,12.668687000561011,2.219946814700961,3.2574860267341137,0.46737120239203334,6585.0,5119.0,-0.28638405938659894,2854.0,1765.0,4131.0,3384.0,2.0,0.0,319.0,319.0,5872.0,4732.0,3855.0,4731.0,2017.0,1.0,-2016.0,48209.0,78352.0,0.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.25200348707703535,0.1443778784269305,0.03667091764509678,0.05254081077873707,0.43276509432433663,18.0,18.0,0.0,7.0,7.0,11.0,11.0,1.0,1.0,100.0,100.0,14.0,13.0,10.0,13.0,4.0,0.0,,85.0,195.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,630.8820783379741,484.5103761512885,70.65506800077856,54.28824430704117,-0.3014800699976701,182022.0,64148.0,-1.8375319573486313,62012.0,17280.0,125680.0,47010.0,0.0,0.0,320.0,320.0,162433.0,59237.0,115449.0,59235.0,46984.0,2.0,-23491.0,1034065.0,849779.0,0.0,0.0,46981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,512.7285220335833,382.8923573000174,276.07945875264704,206.30506128631532,-0.3382098191449461,277212.0,102050.0,-1.7164331210191084,101431.0,31437.0,182032.0,70894.0,0.0,0.0,400.0,400.0,259220.0,97545.0,184541.0,97545.0,74679.0,0.0,,1895140.0,1585572.0,0.0,0.0,74677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,184.14466429828124,97.68184951634412,39.93022886291146,21.28275665268302,-0.8761774855832711,91795.0,24101.0,-2.8087631218621634,37048.0,8182.0,57889.0,16013.0,0.0,0.0,372.0,372.0,84978.0,22705.0,58248.0,22704.0,26730.0,1.0,-26729.0,646231.0,382834.0,0.0,0.0,26729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,151.03605158844258,195.7607984625761,18.32895008288324,23.720813686028123,0.29417198359769414,47658.0,31370.0,-0.5192221868026776,17724.0,8969.0,31758.0,22463.0,0.0,0.0,301.0,301.0,43426.0,29070.0,30307.0,29069.0,13119.0,1.0,-13118.0,286991.0,421760.0,0.0,0.0,13119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,78.36210176227321,14.473315452418896,11.049153920263052,2.1542655788362026,-4.1289655411159325,27312.0,2171.0,-11.580377706126209,9739.0,661.0,18448.0,1518.0,0.0,0.0,378.0,378.0,24362.0,1922.0,17053.0,1920.0,7309.0,2.0,-3653.5,161826.0,30517.0,0.0,0.0,7307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,406.0266457572918,465.29052412811586,108.49900577403605,124.29667393304408,0.1456019623987046,263291.0,142868.0,-0.8428969398325727,98763.0,44370.0,173756.0,98956.0,100.0,3.0,395.0,395.0,242057.0,134054.0,168780.0,134053.0,73277.0,1.0,-73276.0,1586311.0,2085671.0,0.0,0.0,73276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.1134303988862255,1.2680453212790446,0.20088070444762707,0.21557679027318954,0.07315827503678429,60.0,81.0,0.3500000000000001,21.0,26.0,39.0,55.0,0.0,0.0,333.0,333.0,36.0,51.0,23.0,51.0,13.0,0.0,,274.0,779.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,6.225762941366599,7.531450864550589,3.6795323751866817,4.344420086592436,0.1806989703065245,6613.0,3749.0,-0.763937049879968,2915.0,1387.0,4137.0,2374.0,0.0,0.0,341.0,341.0,5773.0,3497.0,3698.0,3497.0,2075.0,0.0,,44097.0,59072.0,0.0,0.0,2074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pr144.tsp,ok,0.294503515586257,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,4583.268622587699,487.92683555843405,1350.083225743845,143.9906719364226,-8.376185329143812,1600700.0,79893.0,-19.035547544841226,839491.0,34734.0,964165.0,49055.0,2755.0,15.0,400.0,400.0,1329321.0,69249.0,782065.0,69249.0,547256.0,0.0,,13207958.0,1434556.0,0.0,0.0,547256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,2744.3153255506377,3808.8297716736406,558.2581893224269,774.7265496850014,0.38775671275921275,2801531.0,1677150.0,-0.6704117103419491,1057808.0,490892.0,1879894.0,1190624.0,660.0,230.0,361.0,361.0,2453980.0,1530912.0,1665807.0,1530911.0,788173.0,1.0,-788172.0,15922644.0,22657187.0,0.0,0.0,788173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-2.9790420543163023,-1.5808954584655952,0.31943185068666935,0.4924774318933487,0.5417292634866888,455.0,412.0,-0.10436893203883502,176.0,139.0,293.0,277.0,0.0,0.0,400.0,400.0,390.0,345.0,270.0,345.0,120.0,0.0,,2917.0,5741.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.865405014124513,6.0171911771275335,0.6595389414578676,0.6741205845028162,0.022108843206008144,1040.0,573.0,-0.8150087260034904,415.0,189.0,666.0,385.0,0.0,0.0,400.0,400.0,908.0,467.0,627.0,466.0,281.0,1.0,-280.0,7178.0,8044.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,6.502617638070658,6.589678478605272,0.5503958575427532,0.5567826852202415,0.011604062040005747,2269.0,1251.0,-0.8137490007993604,899.0,398.0,1460.0,861.0,0.0,0.0,361.0,361.0,2028.0,1109.0,1387.0,1109.0,641.0,0.0,,15869.0,19064.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.8839260719174213,1.1493408252254467,0.041728682816028595,0.047607580199837685,0.14088384744200266,5.0,5.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,100.0,100.0,3.0,3.0,2.0,3.0,1.0,0.0,,35.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.13504626415669918,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,1169.0383533590352,173.74265934411477,158.0093085411936,23.598343333229423,-5.695779712582481,183570.0,10952.0,-15.761322132943754,74379.0,3685.0,118141.0,7318.0,0.0,0.0,400.0,400.0,165959.0,10144.0,111736.0,10144.0,54223.0,0.0,,1197200.0,169709.0,0.0,0.0,54217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.0032938791151524427,0.1897080874149124,0.0365843940526247,0.04338185489177704,0.1858021983191671,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.16656210297911356,-0.05903538129402408,0.033569538965821266,0.036977944895625114,0.10153270002528503,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,1.0714040137827396,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.47228593938052654,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.17204810306429863,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.6123605966567993,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8900012671947479,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.45648094080388546,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.894400419667363,2323.0,3.0,timeout,0,,ok,1,2323.0,,,True,,380.07688287213495,,1102.989089710638,,,276731.0,,,98236.0,,180334.0,,5.0,,400.0,,263491.0,,263491.0,,0.0,,,4812694.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
si175.tsp,ok,2.043676285073161,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.3609807752072811,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
