instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P32r5h1:status,P32r5h1:successful_repeats,P32r5h1:result,result_match,P32:matches_reference,P32r5h1:matches_reference,P32:wall_vs_Concorde_symmetric_change,P32r5h1:wall_vs_Concorde_symmetric_change,P32:wall_seconds,P32r5h1:wall_seconds,symmetric_change:wall_seconds,P32:branches,P32r5h1:branches,symmetric_change:branches,P32:nodes_expanded,P32r5h1:nodes_expanded,P32:pruned_by_bound,P32r5h1:pruned_by_bound,P32:pruned_infeasible,P32r5h1:pruned_infeasible,P32:root_potential_iterations,P32r5h1:root_potential_iterations,P32:search_node_potential_update_candidates,P32r5h1:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P32r5h1:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P32r5h1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P32r5h1:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P32r5h1:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P32r5h1:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P32r5h1:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P32r5h1:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P32r5h1:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P32r5h1:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P32r5h1:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P32r5h1:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P32r5h1:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P32r5h1:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-0.2214865528083414,0.04119984991848469,0.07691477611660957,0.8668702985274968,29.0,29.0,0.0,9.0,9.0,20.0,20.0,1.0,1.0,100.0,100.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,332.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,-1.3209835193331156,0.01686335727572441,0.01538236252963543,-0.09627875713081901,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,-0.5034809818055757,0.027471747249364853,0.027568737044930458,0.0035305288260414347,10.0,10.0,0.0,3.0,3.0,5.0,5.0,3.0,3.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-0.07472241534896051,0.027783222496509552,0.05862892419099808,1.110227645420315,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,-0.08522836458742633,0.06577790714800358,0.09188799560070038,0.39694313158896644,88.0,88.0,0.0,26.0,26.0,62.0,62.0,0.0,0.0,120.0,120.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,1173.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,0.440140549402819,0.003893919289112091,0.017761830240488052,3.5614274261288514,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1650.6027347305765,937.7699722651578,315.591917976737,179.3822508621961,-0.7593263350183908,205952.0,108576.0,-0.8968464485705865,62812.0,35530.0,143850.0,73412.0,0.0,0.0,400.0,400.0,195829.0,103958.0,194122.0,103953.0,1707.0,5.0,-340.4,3035962.0,1708942.0,0.0,0.0,0.0,0.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,131.9461036665966,116.34526353888214,46.48537518642843,-1.5028358504644177,60352.0,21943.0,-1.7503987604247366,18041.0,6721.0,42505.0,15293.0,0.0,0.0,400.0,400.0,58114.0,20920.0,57710.0,20920.0,404.0,0.0,,895438.0,332154.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,0.3466539552099388,0.03555566817522049,0.042078426107764244,0.18345198578182265,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,0.27744688848331456,0.020483732223510742,0.031171057373285294,0.5217469664784962,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
