instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,helsgaun64:status,helsgaun64:successful_repeats,helsgaun64:result,helsgaun32:status,helsgaun32:successful_repeats,helsgaun32:result,result_match,helsgaun64:matches_reference,helsgaun32:matches_reference,helsgaun64:wall_vs_Concorde_symmetric_change,helsgaun32:wall_vs_Concorde_symmetric_change,helsgaun64:wall_seconds,helsgaun32:wall_seconds,symmetric_change:wall_seconds,helsgaun64:branches,helsgaun32:branches,symmetric_change:branches,helsgaun64:nodes_expanded,helsgaun32:nodes_expanded,helsgaun64:pruned_by_bound,helsgaun32:pruned_by_bound,helsgaun64:pruned_infeasible,helsgaun32:pruned_infeasible,helsgaun64:root_potential_iterations,helsgaun32:root_potential_iterations,helsgaun64:search_node_potential_update_candidates,helsgaun32:search_node_potential_update_candidates,helsgaun64:search_node_potential_updates_triggered,helsgaun32:search_node_potential_updates_triggered,helsgaun64:search_node_potential_updates_skipped_total,helsgaun32:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,helsgaun64:search_node_potential_iterations,helsgaun32:search_node_potential_iterations,helsgaun64:search_node_potential_updates_skipped_budget_exhausted,helsgaun32:search_node_potential_updates_skipped_budget_exhausted,helsgaun64:search_node_potential_updates_skipped_depth_interval,helsgaun32:search_node_potential_updates_skipped_depth_interval,helsgaun64:search_node_potential_updates_skipped_gap_above_maximum,helsgaun32:search_node_potential_updates_skipped_gap_above_maximum,helsgaun64:search_node_potential_updates_skipped_gap_below_minimum,helsgaun32:search_node_potential_updates_skipped_gap_below_minimum,helsgaun64:search_node_potential_updates_skipped_invalid_state,helsgaun32:search_node_potential_updates_skipped_invalid_state,helsgaun64:search_node_potential_updates_skipped_numerically_unsafe,helsgaun32:search_node_potential_updates_skipped_numerically_unsafe,helsgaun64:search_node_potential_updates_skipped_strategy_none,helsgaun32:search_node_potential_updates_skipped_strategy_none,helsgaun64:search_node_potential_updates_skipped_update_depth_zero,helsgaun32:search_node_potential_updates_skipped_update_depth_zero,helsgaun64:search_node_potential_updates_skipped_zero_iteration_limit,helsgaun32:search_node_potential_updates_skipped_zero_iteration_limit,helsgaun64:search_node_potential_updates_skipped_zero_violation,helsgaun32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.8958427253048937,-0.7652068417734206,0.04955599084496498,0.05322343111038208,0.07400599206845881,34.0,36.0,0.05882352941176472,10.0,13.0,24.0,23.0,2.0,1.0,100.0,100.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,729.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,0.3456472990343331,-1.2938498306013742,0.04804258234798908,0.015564318746328354,-2.0867128289391013,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-2.0099764439812446,0.29184011486913497,0.013770563527941704,0.053545573726296425,2.888408315146121,8.0,8.0,0.0,2.0,2.0,5.0,5.0,1.0,1.0,100.0,100.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.4977066074410583,-0.130459911295286,0.042070869356393814,0.055738216266036034,0.32486485586647595,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.09533376654575165,-0.26882210768206916,0.10922609083354473,0.07859215140342712,-0.38978369828392,90.0,101.0,0.12222222222222223,31.0,33.0,60.0,69.0,0.0,0.0,120.0,120.0,84.0,87.0,84.0,87.0,0.0,0.0,0.0,2795.0,1610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6875970570851768,-0.028088168369706734,0.007308261469006538,0.011996442452073097,0.6414905929335688,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,4625.408105615393,5261.136531589551,884.0243338737637,1005.5007331594825,0.13741295870602732,384500.0,705599.0,0.8351079323797139,124523.0,234801.0,266379.0,485427.0,1.0,2.0,400.0,400.0,359876.0,654723.0,358169.0,653016.0,1707.0,1707.0,0.0,10896307.0,11294595.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,810.3788678132706,642.4713361053055,283.7033207323402,224.99347973056138,-0.26094018845384404,92094.0,117608.0,0.27704302126088565,27897.0,36743.0,65460.0,82827.0,0.0,0.0,400.0,400.0,87241.0,110835.0,86836.0,110431.0,405.0,404.0,-0.0024752475247524774,2538904.0,1854692.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.19812841623380106,0.6228701424906371,0.037437500432133675,0.050709256902337074,0.3545043423575329,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.5671547170318298,0.2955512423112927,0.038240235298871994,0.03161282278597355,-0.20964317415650058,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,92.65022475420942,226.67870391560584,7.811222422868013,18.990333465859294,1.4311602509568142,2793.0,18009.0,5.447905477980666,1331.0,9438.0,1731.0,11289.0,0.0,0.0,400.0,400.0,2200.0,15227.0,2171.0,15199.0,29.0,28.0,-0.03571428571428581,124873.0,367216.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,3.051482538684172,4.018135554228061,0.18054767698049545,0.22362498380243778,0.2385924180381227,436.0,746.0,0.7110091743119267,152.0,285.0,290.0,479.0,43.0,54.0,400.0,400.0,403.0,683.0,403.0,683.0,0.0,0.0,0.0,11670.0,14338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,10.248167030847917,69.88825388373533,0.6696970276534557,4.220567919313908,5.302204944976851,579.0,7497.0,11.94818652849741,174.0,3482.0,417.0,4748.0,0.0,0.0,364.0,364.0,426.0,6700.0,417.0,6691.0,9.0,9.0,0.0,18967.0,144594.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.06083234712175378,0.020046670582491544,0.031342763453722,0.03391595743596554,0.08209850372775507,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
