instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P16:status,P16:successful_repeats,P16:result,result_match,P32:matches_reference,P16:matches_reference,P32:wall_vs_Concorde_symmetric_change,P16:wall_vs_Concorde_symmetric_change,P32:wall_seconds,P16:wall_seconds,symmetric_change:wall_seconds,P32:branches,P16:branches,symmetric_change:branches,P32:nodes_expanded,P16:nodes_expanded,P32:pruned_by_bound,P16:pruned_by_bound,P32:pruned_infeasible,P16:pruned_infeasible,P32:root_potential_iterations,P16:root_potential_iterations,P32:search_node_potential_update_candidates,P16:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P16:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P16:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P16:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P16:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P16:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P16:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P16:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P16:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P16:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P16:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P16:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P16:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P16:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-2.3017915704556557,0.04119984991848469,0.028454359620809555,-0.44792750452039565,29.0,36.0,0.24137931034482762,9.0,14.0,20.0,23.0,1.0,0.0,100.0,100.0,26.0,30.0,26.0,30.0,0.0,0.0,0.0,332.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,-0.9144879384374685,0.01686335727572441,0.018648438155651093,0.1058556045952006,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,-1.064920634905906,0.027471747249364853,0.02007296122610569,-0.36859464530010366,10.0,9.0,-0.11111111111111116,3.0,3.0,5.0,5.0,3.0,1.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,82.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-4.359116012471601,0.027783222496509552,0.01175750233232975,-1.3630207939754078,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,-0.6617671831406877,0.06577790714800358,0.060008080676198006,-0.096150825135358,88.0,125.0,0.4204545454545454,26.0,38.0,62.0,88.0,0.0,0.0,120.0,120.0,82.0,107.0,82.0,107.0,0.0,0.0,0.0,1173.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,-0.5303423590745342,0.003893919289112091,0.008059242740273476,1.0696994831937516,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1650.6027347305765,4523.000857754305,315.591917976737,864.4561295546591,1.7391580085342366,205952.0,904164.0,3.390168582970789,62812.0,291794.0,143850.0,619746.0,0.0,1.0,400.0,400.0,195829.0,850624.0,194122.0,848919.0,1707.0,1705.0,-0.001173020527859281,3035962.0,7824399.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,407.9148489241617,116.34526353888214,142.97944540902972,0.22892364553582834,60352.0,100246.0,0.6610220042417816,18041.0,31384.0,42505.0,69434.0,0.0,0.0,400.0,400.0,58114.0,96177.0,57710.0,95772.0,404.0,405.0,0.0024752475247524774,895438.0,879974.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,-0.3587540499378876,0.03555566817522049,0.02299654670059681,-0.5461307577236256,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,-0.4800768045337045,0.020483732223510742,0.01648634672164917,-0.24246642202498236,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
