instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,gap0.005-0.015:status,gap0.005-0.015:successful_repeats,gap0.005-0.015:result,gap0.005-0.02:status,gap0.005-0.02:successful_repeats,gap0.005-0.02:result,result_match,gap0.005-0.015:matches_reference,gap0.005-0.02:matches_reference,gap0.005-0.015:wall_vs_Concorde_relative_change,gap0.005-0.02:wall_vs_Concorde_relative_change,gap0.005-0.015:wall_seconds,gap0.005-0.02:wall_seconds,relative_change:wall_seconds,gap0.005-0.015:branches,gap0.005-0.02:branches,relative_change:branches,gap0.005-0.015:nodes_expanded,gap0.005-0.02:nodes_expanded,gap0.005-0.015:pruned_by_bound,gap0.005-0.02:pruned_by_bound,gap0.005-0.015:pruned_infeasible,gap0.005-0.02:pruned_infeasible,gap0.005-0.015:root_potential_iterations,gap0.005-0.02:root_potential_iterations,gap0.005-0.015:search_node_potential_update_candidates,gap0.005-0.02:search_node_potential_update_candidates,gap0.005-0.015:search_node_potential_updates_triggered,gap0.005-0.02:search_node_potential_updates_triggered,gap0.005-0.015:search_node_potential_updates_skipped_total,gap0.005-0.02:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,gap0.005-0.015:search_node_potential_iterations,gap0.005-0.02:search_node_potential_iterations,gap0.005-0.015:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.02:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.015:search_node_potential_updates_skipped_depth_interval,gap0.005-0.02:search_node_potential_updates_skipped_depth_interval,gap0.005-0.015:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.02:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.015:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.02:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.015:search_node_potential_updates_skipped_invalid_state,gap0.005-0.02:search_node_potential_updates_skipped_invalid_state,gap0.005-0.015:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.02:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.015:search_node_potential_updates_skipped_strategy_none,gap0.005-0.02:search_node_potential_updates_skipped_strategy_none,gap0.005-0.015:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.02:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.015:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.02:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.015:search_node_potential_updates_skipped_zero_violation,gap0.005-0.02:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,40.87265561712391,5.234008915253933,1.628368241712451,0.2424317728728056,-0.8511198102108307,72915.0,27170.0,-0.6273743399849139,46954.0,22899.0,46887.0,15135.0,101.0,37.0,364.0,364.0,61739.0,22908.0,14812.0,52.0,46927.0,22856.0,-0.512945638971168,50601.0,1498.0,0.0,0.0,0.0,0.0,5100.0,9.0,41827.0,22847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.3302538651570388,0.47327661698457724,0.03921674005687237,0.04343314282596111,0.10751538151753803,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,3600.341277458571,2801.921591711882,575.8339247461408,448.17117195017636,-0.22170064546343848,125276245.0,101233011.0,-0.19192173264771784,90277135.0,73398462.0,73731646.0,59518928.0,19.0,181.0,800.0,800.0,90281694.0,73398956.0,4614.0,1157.0,90277080.0,73397799.0,-0.1869719423800592,19242.0,24326.0,0.0,0.0,0.0,0.0,1069.0,110.0,90276005.0,73397683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,241.43757721993603,98.88095213984252,81.47124402038753,33.56503359787166,-0.5880137341529696,5049655.0,2942355.0,-0.41731563839509833,3810867.0,2176072.0,2847583.0,1658551.0,9982.0,45113.0,800.0,800.0,3810961.0,2176154.0,1679.0,1088.0,3809282.0,2175066.0,-0.429008931341917,51995.0,33406.0,0.0,0.0,0.0,0.0,32.0,3.0,3809243.0,2175057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,1.3209588649064807,1.3584792729954054,0.04213109239935875,0.042812179774045944,0.016165908261556616,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,3.2873645860462046,5.403938941293086,0.03652009554207325,0.054549235850572586,0.49367724922101397,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,2.617690262957801,1.9932343868590996,0.049070363864302635,0.04060024209320545,-0.1726117579751425,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.8279873491252365,1.0982450842634748,0.2175954394042492,0.16144646517932415,-0.25804297359657147,14009.0,15914.0,0.13598401027910634,9977.0,11859.0,8244.0,9243.0,72.0,15.0,334.0,334.0,10761.0,11944.0,994.0,258.0,9767.0,11686.0,0.19647793590662443,11798.0,6438.0,0.0,0.0,0.0,0.0,404.0,7.0,9363.0,11676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,14.062108700852436,8.935021355996293,3.03433077968657,2.0014555528759956,-0.34039638450929366,569989.0,390339.0,-0.31518152104689745,395016.0,270560.0,329416.0,226718.0,92.0,95.0,319.0,319.0,395045.0,270584.0,341.0,248.0,394704.0,270336.0,-0.3150918156390612,10472.0,7480.0,0.0,0.0,0.0,0.0,12.0,0.0,394688.0,270334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3013136519454953,0.26709142964381205,0.040672099217772484,0.03960249572992325,-0.026298212003324606,44.0,44.0,0.0,36.0,36.0,19.0,19.0,14.0,14.0,100.0,100.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
