instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,HP1:status,HP1:successful_repeats,HP1:result,hybrid:status,hybrid:successful_repeats,hybrid:result,result_match,HP1:matches_reference,hybrid:matches_reference,HP1:wall_vs_Concorde_symmetric_change,hybrid:wall_vs_Concorde_symmetric_change,HP1:wall_seconds,hybrid:wall_seconds,symmetric_change:wall_seconds,HP1:branches,hybrid:branches,symmetric_change:branches,HP1:nodes_expanded,hybrid:nodes_expanded,HP1:pruned_by_bound,hybrid:pruned_by_bound,HP1:pruned_infeasible,hybrid:pruned_infeasible,HP1:root_potential_iterations,hybrid:root_potential_iterations,HP1:search_node_potential_update_candidates,hybrid:search_node_potential_update_candidates,HP1:search_node_potential_updates_triggered,hybrid:search_node_potential_updates_triggered,HP1:search_node_potential_updates_skipped_total,hybrid:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,HP1:search_node_potential_iterations,hybrid:search_node_potential_iterations,HP1:search_node_potential_updates_skipped_budget_exhausted,hybrid:search_node_potential_updates_skipped_budget_exhausted,HP1:search_node_potential_updates_skipped_depth_interval,hybrid:search_node_potential_updates_skipped_depth_interval,HP1:search_node_potential_updates_skipped_gap_above_maximum,hybrid:search_node_potential_updates_skipped_gap_above_maximum,HP1:search_node_potential_updates_skipped_gap_below_minimum,hybrid:search_node_potential_updates_skipped_gap_below_minimum,HP1:search_node_potential_updates_skipped_invalid_state,hybrid:search_node_potential_updates_skipped_invalid_state,HP1:search_node_potential_updates_skipped_numerically_unsafe,hybrid:search_node_potential_updates_skipped_numerically_unsafe,HP1:search_node_potential_updates_skipped_strategy_none,hybrid:search_node_potential_updates_skipped_strategy_none,HP1:search_node_potential_updates_skipped_update_depth_zero,hybrid:search_node_potential_updates_skipped_update_depth_zero,HP1:search_node_potential_updates_skipped_zero_iteration_limit,hybrid:search_node_potential_updates_skipped_zero_iteration_limit,HP1:search_node_potential_updates_skipped_zero_violation,hybrid:search_node_potential_updates_skipped_zero_violation
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.3238223127058433,1.1792641534891115,0.10355733148753643,0.09711533412337303,-0.06633347269319634,640.0,434.0,-0.4746543778801844,212.0,150.0,428.0,291.0,137.0,56.0,447.0,447.0,604.0,407.0,518.0,407.0,86.0,0.0,,4068.0,3861.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,290.1103906706196,2.8003840836030216,17.332225136458874,0.22626850381493568,-75.60025520226557,377071.0,461.0,-816.941431670282,100034.0,132.0,277683.0,336.0,300.0,0.0,610.0,437.0,345597.0,331.0,245599.0,322.0,99998.0,9.0,-11109.888888888889,609434.0,3304.0,0.0,0.0,0.0,0.0,99998.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.085270700302426,-0.25706182661595967,0.0360846184194088,0.026450105011463165,-0.3642523688949495,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1367.3073879513277,75.54744264782684,257.7295448053628,14.418205823749304,-16.875285452010765,1682685.0,17218.0,-96.72824950633058,282629.0,5309.0,1400152.0,12010.0,11.0,0.0,1032.0,516.0,1579155.0,15777.0,1298501.0,15651.0,280654.0,126.0,-2226.4126984126983,3342259.0,140529.0,0.0,0.0,0.0,0.0,280651.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,620.778271513293,510.4622915150463,218.9225492887199,180.08128275536,-0.21568741592165153,251063.0,210917.0,-0.19034027603275216,89708.0,75940.0,163845.0,136983.0,3.0,0.0,576.0,576.0,232718.0,195266.0,232334.0,195260.0,384.0,6.0,-63.0,2184057.0,1830533.0,0.0,0.0,0.0,0.0,383.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.09586619446275835,0.10693198521290648,0.0313720665872097,0.03168885409832001,0.010097757195232315,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,1.2685043421314068,1.9430346671133703,0.025072945281863213,0.03252828121185303,0.2973458381605736,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.00897258246649324,-0.1422741406499366,0.028946977108716965,0.025116175413131714,-0.15252328957626093,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,4.37095130385789,2.399126962812645,0.5141767207533121,0.3254082668572664,-0.5800972904564992,15730.0,2354.0,-5.682242990654205,5227.0,747.0,10593.0,1619.0,1.0,0.0,380.0,380.0,14155.0,2178.0,9130.0,2171.0,5025.0,7.0,-716.8571428571429,34347.0,19414.0,0.0,0.0,0.0,0.0,5025.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,47.50961721780015,24.9429755906653,11.560686131939292,6.182662641629577,-0.86985556256911,28956.0,14143.0,-1.0473732588559712,10268.0,5120.0,19064.0,9212.0,8.0,2.0,413.0,413.0,26396.0,12968.0,25614.0,12967.0,782.0,1.0,-781.0,240036.0,123800.0,0.0,0.0,0.0,0.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
