instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>1%:status,P33>1%:successful_repeats,P33>1%:result,gap0.005-0.02:status,gap0.005-0.02:successful_repeats,gap0.005-0.02:result,result_match,P33>1%:matches_reference,gap0.005-0.02:matches_reference,P33>1%:wall_vs_Concorde_relative_change,gap0.005-0.02:wall_vs_Concorde_relative_change,P33>1%:wall_seconds,gap0.005-0.02:wall_seconds,relative_change:wall_seconds,P33>1%:branches,gap0.005-0.02:branches,relative_change:branches,P33>1%:nodes_expanded,gap0.005-0.02:nodes_expanded,P33>1%:pruned_by_bound,gap0.005-0.02:pruned_by_bound,P33>1%:pruned_infeasible,gap0.005-0.02:pruned_infeasible,P33>1%:root_potential_iterations,gap0.005-0.02:root_potential_iterations,P33>1%:search_node_potential_update_candidates,gap0.005-0.02:search_node_potential_update_candidates,P33>1%:search_node_potential_updates_triggered,gap0.005-0.02:search_node_potential_updates_triggered,P33>1%:search_node_potential_updates_skipped_total,gap0.005-0.02:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>1%:search_node_potential_iterations,gap0.005-0.02:search_node_potential_iterations,P33>1%:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.02:search_node_potential_updates_skipped_budget_exhausted,P33>1%:search_node_potential_updates_skipped_depth_interval,gap0.005-0.02:search_node_potential_updates_skipped_depth_interval,P33>1%:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.02:search_node_potential_updates_skipped_gap_above_maximum,P33>1%:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.02:search_node_potential_updates_skipped_gap_below_minimum,P33>1%:search_node_potential_updates_skipped_invalid_state,gap0.005-0.02:search_node_potential_updates_skipped_invalid_state,P33>1%:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.02:search_node_potential_updates_skipped_numerically_unsafe,P33>1%:search_node_potential_updates_skipped_strategy_none,gap0.005-0.02:search_node_potential_updates_skipped_strategy_none,P33>1%:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.02:search_node_potential_updates_skipped_update_depth_zero,P33>1%:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.02:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%:search_node_potential_updates_skipped_zero_violation,gap0.005-0.02:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.2794827064327443,-0.41763055999661336,0.06454729661345482,0.05217136815190315,-0.19173426480841826,373.0,265.0,-0.28954423592493295,281.0,207.0,155.0,114.0,111.0,74.0,100.0,100.0,280.0,206.0,0.0,1.0,280.0,205.0,-0.2678571428571429,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.27678801736469394,1.0012887870992904,0.017249537631869316,0.04773331619799137,1.7672229376051138,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.3955139291606251,0.19199432518469206,0.056915419176220894,0.04861496202647686,-0.14583846117418986,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3033149946429482,-0.7956942451266528,0.03967844508588314,0.01163586787879467,-0.7067458703684308,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,4.538389534067684,0.4402743012773591,0.5027998182922602,0.13075455464422703,-0.7399470924863701,168561.0,25075.0,-0.8512407971001597,112098.0,17028.0,101529.0,14788.0,5737.0,742.0,120.0,120.0,112097.0,17027.0,0.0,2.0,112097.0,17025.0,-0.8481226080983434,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,112097.0,17025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.02405420313670792,-0.6133732755257338,0.024313155561685562,0.009179314598441124,-0.6224548238852814,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.19167780977994742,0.7137215141865889,0.05159696005284786,0.07420027442276478,0.43807453669296814,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.23711940014810184,-0.58348056064848,0.028707008808851242,0.015673523768782616,-0.45401752327640654,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,160.67112783875035,2.7767727339963546,12.742106348276138,0.2976662591099739,-0.9766391638106015,3755010.0,6655.0,-0.9982277011246308,2747059.0,4581.0,1941756.0,3804.0,434179.0,1.0,500.0,400.0,2747057.0,4634.0,29.0,86.0,2747028.0,4548.0,-0.9983443925580664,928.0,1398.0,0.0,0.0,0.0,0.0,0.0,26.0,2747027.0,4520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.40041254522554603,0.6716218092392223,0.08063814602792263,0.09625483863055706,0.19366383494514894,14086.0,2141.0,-0.8480051114581855,11975.0,1646.0,5418.0,950.0,5029.0,552.0,400.0,400.0,11977.0,1726.0,31.0,161.0,11946.0,1565.0,-0.8689938054578938,924.0,3293.0,0.0,0.0,0.0,0.0,0.0,0.0,11945.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
