instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PAA:status,PAA:successful_repeats,PAA:result,result_match,P32:matches_reference,PAA:matches_reference,P32:wall_vs_Concorde_symmetric_change,PAA:wall_vs_Concorde_symmetric_change,P32:wall_seconds,PAA:wall_seconds,symmetric_change:wall_seconds,P32:branches,PAA:branches,symmetric_change:branches,P32:nodes_expanded,PAA:nodes_expanded,P32:pruned_by_bound,PAA:pruned_by_bound,P32:pruned_infeasible,PAA:pruned_infeasible,P32:root_potential_iterations,PAA:root_potential_iterations,P32:search_node_potential_update_candidates,PAA:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PAA:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PAA:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PAA:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PAA:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PAA:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PAA:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PAA:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PAA:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PAA:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PAA:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PAA:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PAA:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PAA:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-0.6956443351708814,0.04119984991848469,0.055406881496310234,0.34483211967846117,29.0,29.0,0.0,9.0,6.0,20.0,23.0,1.0,0.0,100.0,100.0,26.0,18.0,26.0,18.0,0.0,0.0,0.0,332.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,0.8522731055175856,0.01686335727572441,0.06613024324178696,2.9215348498240337,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,-1.8617193231760445,0.027471747249364853,0.014483975246548653,-0.8966994061876088,10.0,13.0,0.30000000000000004,3.0,4.0,5.0,5.0,3.0,11.0,100.0,100.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,82.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-0.18422296486931655,0.027783222496509552,0.05320773273706436,0.915102999436042,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,-0.0906635097139612,0.06577790714800358,0.09143008664250374,0.38998169152419937,88.0,143.0,0.625,26.0,18.0,62.0,125.0,0.0,0.0,120.0,120.0,82.0,127.0,82.0,127.0,0.0,0.0,0.0,1173.0,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,3.1148059245083095,0.003893919289112091,0.05074954964220524,12.033025564784467,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1650.6027347305765,6594.489054649946,315.591917976737,1260.2806940078735,2.9933870996682863,205952.0,1058261.0,4.138386614356743,62812.0,145611.0,143850.0,913781.0,0.0,0.0,400.0,400.0,195829.0,1003796.0,194122.0,1003789.0,1707.0,7.0,-242.85714285714286,3035962.0,10616547.0,0.0,0.0,0.0,0.0,1704.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,3491.939830675709,116.34526353888214,1221.32664331235,9.49743329606355,60352.0,896169.0,13.84903565747614,18041.0,85809.0,42505.0,810913.0,0.0,0.0,400.0,400.0,58114.0,851229.0,57710.0,851104.0,404.0,125.0,-2.232,895438.0,7560443.0,0.0,0.0,0.0,0.0,404.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,0.92844720769402,0.03555566817522049,0.06025751680135727,0.6947372920796924,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,1.5420729225977063,0.020483732223510742,0.06202927231788635,2.0282212070069257,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.829813090715626,27.914480804466606,0.5696642939001322,2.411712747067213,3.2335683891221914,695.0,5015.0,6.215827338129497,154.0,487.0,548.0,4545.0,0.0,0.0,400.0,400.0,379.0,3497.0,352.0,3475.0,27.0,22.0,-0.2272727272727273,5416.0,34703.0,0.0,0.0,0.0,0.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.4018720011208465,0.8710118115232195,0.10703548789024353,0.08337857387959957,-0.283728935503323,429.0,257.0,-0.6692607003891051,135.0,54.0,298.0,203.0,51.0,19.0,400.0,400.0,411.0,211.0,411.0,211.0,0.0,0.0,0.0,6174.0,2729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.3830817695751785,8.5146719967639,0.26096134819090366,0.5664876364171505,1.170772186549029,454.0,2391.0,4.266519823788546,135.0,215.0,328.0,2182.0,0.0,0.0,364.0,364.0,304.0,1422.0,295.0,1415.0,9.0,7.0,-0.2857142857142858,5287.0,12091.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.0784746619806227,0.25376192288850064,0.01599702797830105,0.041686853393912315,1.6059123888798519,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,91.47385143660735,530.7114975441617,17.418047908693552,100.15129892341793,4.74985781692742,12407.0,111393.0,7.978238091400016,3833.0,12885.0,8620.0,98625.0,0.0,0.0,400.0,400.0,11445.0,100613.0,11321.0,100597.0,124.0,16.0,-6.75,179449.0,912723.0,0.0,0.0,0.0,0.0,123.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
