instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,H232:status,H232:successful_repeats,H232:result,result_match,P32:matches_reference,H232:matches_reference,P32:wall_vs_Concorde_symmetric_change,H232:wall_vs_Concorde_symmetric_change,P32:wall_seconds,H232:wall_seconds,symmetric_change:wall_seconds,P32:branches,H232:branches,symmetric_change:branches,P32:nodes_expanded,H232:nodes_expanded,P32:pruned_by_bound,H232:pruned_by_bound,P32:pruned_infeasible,H232:pruned_infeasible,P32:root_potential_iterations,H232:root_potential_iterations,P32:search_node_potential_update_candidates,H232:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,H232:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,H232:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,H232:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,H232:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.829813090715626,4.739123838220561,0.5696642939001322,0.47869156673550606,-0.19004455788729557,695.0,841.0,0.2100719424460431,154.0,243.0,548.0,625.0,0.0,0.0,400.0,400.0,379.0,492.0,352.0,335.0,27.0,157.0,4.814814814814815,5416.0,4307.0,0.0,0.0,0.0,130.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.4018720011208465,1.2874352156835602,0.10703548789024353,0.10193580016493797,-0.05002842688293985,429.0,546.0,0.2727272727272727,135.0,214.0,298.0,355.0,51.0,70.0,400.0,400.0,411.0,506.0,411.0,381.0,0.0,125.0,,6174.0,4603.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.3830817695751785,3.5856707752485226,0.26096134819090366,0.27302315831184387,0.04622067675752706,454.0,860.0,0.894273127753304,135.0,305.0,328.0,575.0,0.0,0.0,364.0,364.0,304.0,693.0,295.0,480.0,9.0,213.0,22.666666666666668,5287.0,5283.0,0.0,0.0,0.0,205.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.0784746619806227,-0.09599137679356184,0.01599702797830105,0.030337298288941383,0.8964334081363114,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,91.47385143660735,84.84121067560542,17.418047908693552,16.168747130781412,-0.07726639348164288,12407.0,27028.0,1.178447650519868,3833.0,10030.0,8620.0,17767.0,0.0,1.0,400.0,400.0,11445.0,24917.0,11321.0,17538.0,124.0,7379.0,58.50806451612903,179449.0,178124.0,0.0,0.0,0.0,7255.0,123.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,191.96171384227145,213.6407824250692,67.94008772075176,75.57309321127832,0.11234906734150596,51113.0,130296.0,1.5491753565629098,17260.0,56590.0,34040.0,82166.0,0.0,3.0,400.0,400.0,47121.0,117630.0,47117.0,77112.0,4.0,40518.0,10128.5,768553.0,880417.0,0.0,0.0,0.0,40515.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.07628818490139722,0.11363981649450472,0.02659849263727665,0.03188088349997997,0.1985973767287954,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.35711311247680033,0.920272498216584,0.014999672770500183,0.021224066615104675,0.41496864230571684,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.4489850154977706,-0.3885310566694089,0.019799761474132538,0.02066180482506752,0.04353806746920674,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.9449781187160369,2.1490212692154502,0.28193128295242786,0.3014649245887995,0.06928511597511378,1203.0,2892.0,1.4039900249376558,405.0,1135.0,800.0,1881.0,0.0,0.0,334.0,334.0,1124.0,2665.0,1117.0,1848.0,7.0,817.0,115.71428571428571,17868.0,18573.0,0.0,0.0,0.0,811.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
