instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,helsgaun32:status,helsgaun32:successful_repeats,helsgaun32:result,result_match,P32:matches_reference,helsgaun32:matches_reference,P32:wall_vs_Concorde_symmetric_change,helsgaun32:wall_vs_Concorde_symmetric_change,P32:wall_seconds,helsgaun32:wall_seconds,symmetric_change:wall_seconds,P32:branches,helsgaun32:branches,symmetric_change:branches,P32:nodes_expanded,helsgaun32:nodes_expanded,P32:pruned_by_bound,helsgaun32:pruned_by_bound,P32:pruned_infeasible,helsgaun32:pruned_infeasible,P32:root_potential_iterations,helsgaun32:root_potential_iterations,P32:search_node_potential_update_candidates,helsgaun32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,helsgaun32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,helsgaun32:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,helsgaun32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,helsgaun32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,helsgaun32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,helsgaun32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,helsgaun32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,helsgaun32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,helsgaun32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,helsgaun32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,helsgaun32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,helsgaun32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,helsgaun32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-0.7652068417734206,0.04119984991848469,0.05322343111038208,0.29183555803447003,29.0,36.0,0.24137931034482762,9.0,13.0,20.0,23.0,1.0,1.0,100.0,100.0,26.0,31.0,26.0,31.0,0.0,0.0,0.0,332.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,-1.2938498306013742,0.01686335727572441,0.015564318746328354,-0.08346260125921035,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,0.29184011486913497,0.027471747249364853,0.053545573726296425,0.9491142387215432,10.0,8.0,-0.25,3.0,2.0,5.0,5.0,3.0,1.0,100.0,100.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,82.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-0.130459911295286,0.027783222496509552,0.055738216266036034,1.0061825539869793,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,-0.26882210768206916,0.06577790714800358,0.07859215140342712,0.19481076262567698,88.0,101.0,0.1477272727272727,26.0,33.0,62.0,69.0,0.0,0.0,120.0,120.0,82.0,87.0,82.0,87.0,0.0,0.0,0.0,1173.0,1610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,-0.028088168369706734,0.003893919289112091,0.011996442452073097,2.080814357302352,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1650.6027347305765,5261.136531589551,315.591917976737,1005.5007331594825,2.186078843861902,205952.0,705599.0,2.4260361637663146,62812.0,234801.0,143850.0,485427.0,0.0,2.0,400.0,400.0,195829.0,654723.0,194122.0,653016.0,1707.0,1707.0,0.0,3035962.0,11294595.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,642.4713361053055,116.34526353888214,224.99347973056138,0.9338430537429607,60352.0,117608.0,0.9487009544008485,18041.0,36743.0,42505.0,82827.0,0.0,0.0,400.0,400.0,58114.0,110835.0,57710.0,110431.0,404.0,404.0,0.0,895438.0,1854692.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,0.6228701424906371,0.03555566817522049,0.050709256902337074,0.4261933330134251,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,0.2955512423112927,0.020483732223510742,0.03161282278597355,0.5433136130186813,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
