instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P128 [P128-e0c758997a9b]:status,P128 [P128-e0c758997a9b]:successful_repeats,P128 [P128-e0c758997a9b]:result,helsgaun128:status,helsgaun128:successful_repeats,helsgaun128:result,result_match,P128 [P128-e0c758997a9b]:matches_reference,helsgaun128:matches_reference,P128 [P128-e0c758997a9b]:wall_vs_Concorde_relative_change,helsgaun128:wall_vs_Concorde_relative_change,P128 [P128-e0c758997a9b]:wall_seconds,helsgaun128:wall_seconds,relative_change:wall_seconds,P128 [P128-e0c758997a9b]:branches,helsgaun128:branches,relative_change:branches,P128 [P128-e0c758997a9b]:nodes_expanded,helsgaun128:nodes_expanded,P128 [P128-e0c758997a9b]:pruned_by_bound,helsgaun128:pruned_by_bound,P128 [P128-e0c758997a9b]:pruned_infeasible,helsgaun128:pruned_infeasible,P128 [P128-e0c758997a9b]:root_potential_iterations,helsgaun128:root_potential_iterations,P128 [P128-e0c758997a9b]:search_node_potential_update_candidates,helsgaun128:search_node_potential_update_candidates,P128 [P128-e0c758997a9b]:search_node_potential_updates_triggered,helsgaun128:search_node_potential_updates_triggered,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_total,helsgaun128:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P128 [P128-e0c758997a9b]:search_node_potential_iterations,helsgaun128:search_node_potential_iterations,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_budget_exhausted,helsgaun128:search_node_potential_updates_skipped_budget_exhausted,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_depth_interval,helsgaun128:search_node_potential_updates_skipped_depth_interval,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_gap_above_maximum,helsgaun128:search_node_potential_updates_skipped_gap_above_maximum,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_gap_below_minimum,helsgaun128:search_node_potential_updates_skipped_gap_below_minimum,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_invalid_state,helsgaun128:search_node_potential_updates_skipped_invalid_state,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_numerically_unsafe,helsgaun128:search_node_potential_updates_skipped_numerically_unsafe,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_strategy_none,helsgaun128:search_node_potential_updates_skipped_strategy_none,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_update_depth_zero,helsgaun128:search_node_potential_updates_skipped_update_depth_zero,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_zero_iteration_limit,helsgaun128:search_node_potential_updates_skipped_zero_iteration_limit,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_zero_violation,helsgaun128:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5428522305797842,-0.5788994587505302,0.04294919967651367,0.03956254944205284,-0.0788524643059364,34.0,33.0,-0.02941176470588236,12.0,10.0,22.0,23.0,0.0,2.0,100.0,100.0,31.0,26.0,31.0,26.0,0.0,0.0,0.0,1447.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.7936551172772964,-0.6189668771238449,0.00736696831882,0.013603724539279938,0.8465838253338529,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.17917272526725958,-0.2789708585449535,0.03402252867817879,0.02988598868250847,-0.12158237956967011,10.0,8.0,-0.19999999999999996,3.0,2.0,5.0,5.0,3.0,1.0,100.0,100.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,274.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.35287752601465894,-0.40237037573955814,0.04077506996691227,0.03765653446316719,-0.0764814261821175,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.2354048623707533,0.04819426201690491,0.0762450136244297,0.1045253649353981,0.37091410921995127,31.0,109.0,2.5161290322580645,10.0,34.0,21.0,75.0,0.0,0.0,120.0,120.0,29.0,103.0,29.0,103.0,0.0,0.0,0.0,1285.0,5353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.7613704805175427,-0.6937519972984745,0.021723687648773193,0.0037770792841911316,-0.8261308418138467,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1560.9689876013495,1881.2358588537675,298.46450254134834,359.6618074607104,0.20504048018535803,85913.0,84059.0,-0.021579970435207763,24860.0,23508.0,61083.0,60663.0,0.0,0.0,400.0,400.0,82298.0,80560.0,80590.0,78855.0,1708.0,1705.0,-0.0017564402810303914,3672512.0,4529605.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,557.3872223721855,391.10318851227083,195.2433265466243,137.10115097090602,-0.2977934078675609,35437.0,25521.0,-0.27982052656827605,10414.0,6724.0,25035.0,18858.0,0.0,0.0,400.0,400.0,34229.0,24528.0,33825.0,24124.0,404.0,404.0,0.0,1594071.0,1292629.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.49089471272787355,0.14669571869982612,0.04658546671271324,0.03583040088415146,-0.23086740538389217,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,1.1400437656805584,0.0010583029184474402,0.05221933498978615,0.024426883086562157,-0.532225312878076,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
