source_index,instance,dimension,concorde_optimum,polyak_lower_bound,polyak_gap_percent,polyak_evaluations,helsgaun_lower_bound,helsgaun_gap_percent,helsgaun_evaluations,hybrid_lower_bound,hybrid_gap_percent,hybrid_evaluations,best_strategy,chart
1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,48,10628,10577.842631651667,0.4719360966,100,10535.558319046826,0.8697937613,114,10600.700461341608,0.256864308,148,Hybrid,att48/root-ascent-trends.svg
2,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,29,1610,1607.9375365067797,0.1281033226,100,1607.4999999980296,0.1552795032,37,1607.9375365067797,0.1281033226,125,Polyak+Hybrid,bayg29/root-ascent-trends.svg
3,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,29,2020,2013.269381629025,0.3331989293,100,1999.1999999975931,1.02970297,25,2013.269381629025,0.3331989293,125,Polyak+Hybrid,bays29/root-ascent-trends.svg
4,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,52,7542,7541.9999999713182,3.80294682e-10,18,7540.9999999735046,0.01325908282,55,7541.9999999713182,3.80294682e-10,19,Polyak+Hybrid,berlin52/root-ascent-trends.svg
5,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,127,118282,117430.98523834102,0.7194795165,396,117424.43749832948,0.7250152193,162,117430.98523834102,0.7194795165,516,Polyak+Hybrid,bier127/root-ascent-trends.svg
6,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,58,25395,25161.284136964561,0.9203223589,120,24821.199999763332,2.259499902,120,25331.506439378849,0.2500238654,212,Hybrid,brazil58/root-ascent-trends.svg
7,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,180,1950,1941.8892131873874,0.4159377853,100,1949.2773311365436,0.03705994172,234,1949.6667373209445,0.0170903938,358,Hybrid,brg180/root-ascent-trends.svg
8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,14,3323,3322.9999999988131,3.571744164e-11,36,3317.9999999987945,0.150466446,23,3322.9999999988131,3.571744164e-11,37,Polyak+Hybrid,burma14/root-ascent-trends.svg
9,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,130,6110,6075.2005403345429,0.569549258,574,6073.753173341971,0.5932377522,194,6075.2005403345429,0.569549258,702,Polyak+Hybrid,ch130/root-ascent-trends.svg
10,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,150,6528,6489.4527419682609,0.590491085,569,6482.2621417760283,0.7006412105,200,6489.7154517305826,0.5864667321,763,Hybrid,ch150/root-ascent-trends.svg
11,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,198,15780,14365.305510755265,8.965110832,751,14416.794526004702,8.638817959,294,14389.262471002889,8.813292326,999,Helsgaun,d198/root-ascent-trends.svg
12,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,42,699,696.54868347575257,0.3506890593,100,693.36803385060455,0.8057176179,125,696.99649091505182,0.2866250479,201,Hybrid,dantzig42/root-ascent-trends.svg
13,/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,38,6656,6655.9999999809979,2.854878727e-10,32,6655.7999999809972,0.003004807978,41,6655.9999999809979,2.854878727e-10,33,Polyak+Hybrid,dj38/root-ascent-trends.svg
