source_index,instance,dimension,concorde_optimum,polyak_lower_bound,polyak_gap_percent,polyak_evaluations,helsgaun_lower_bound,helsgaun_gap_percent,helsgaun_evaluations,hybrid_lower_bound,hybrid_gap_percent,hybrid_evaluations,best_strategy,chart
14,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,101,629,627.44792696190234,0.2467524703,546,627.21933063128324,0.2830952891,167,627.44792696190234,0.2467524703,643,Polyak+Hybrid,eil101/root-ascent-trends.svg
15,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,51,426,422.49998084195732,0.8216007413,519,421.93085937350105,0.9551973302,121,422.49998084195732,0.8216007413,566,Polyak+Hybrid,eil51/root-ascent-trends.svg
16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,76,538,536.99994556571335,0.1858837238,367,536.60559604755304,0.2591828908,143,536.99994556571335,0.1858837238,440,Polyak+Hybrid,eil76/root-ascent-trends.svg
17,/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,26,937,936.99999999891429,1.158707898e-10,43,936.27499999893837,0.0773745999,31,936.99999999891429,1.158707898e-10,44,Polyak+Hybrid,fri26/root-ascent-trends.svg
18,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,120,6942,6911.248555341891,0.4429767309,471,6901.1999998904193,0.5877268814,116,6911.248555341891,0.4429767309,587,Polyak+Hybrid,gr120/root-ascent-trends.svg
19,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,137,69853,69112.055819517263,1.060719197,554,69073.455685120105,1.11597829,192,69113.640007382812,1.058451309,704,Hybrid,gr137/root-ascent-trends.svg
20,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,17,2085,2084.9999999989141,5.208329371e-11,32,2037.4648437484764,2.279863609,89,2084.9999999989141,5.208329371e-11,33,Polyak+Hybrid,gr17/root-ascent-trends.svg
21,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,21,2707,2706.9999999976462,8.695132206e-11,23,2699.9999999976826,0.2585888438,22,2706.9999999976462,8.695132206e-11,24,Polyak+Hybrid,gr21/root-ascent-trends.svg
22,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,24,1272,1271.9719231118684,0.002207302526,100,1263.9999999986503,0.6289308177,22,1271.9719231118684,0.002207302526,122,Polyak+Hybrid,gr24/root-ascent-trends.svg
23,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,48,5046,4958.999309385722,1.724151617,334,4946.3999999857479,1.973840666,48,4958.999309385722,1.724151617,380,Polyak+Hybrid,gr48/root-ascent-trends.svg
24,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr96.tsp,96,55209,54569.493890485697,1.158336701,335,54567.699999410361,1.161585974,120,54569.493890485697,1.158336701,429,Polyak+Hybrid,gr96/root-ascent-trends.svg
25,/Users/a/Ayanami/code/TSP/data/classic/tsplib/hk48.tsp,48,11461,11431.636797632716,0.2562010502,100,11435.837499958732,0.2195489053,62,11444.177495069403,0.1467804287,176,Hybrid,hk48/root-ascent-trends.svg
26,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,100,21282,20936.495441677383,1.623459066,339,20935.621276570808,1.627566598,133,20936.495441677383,1.623459066,436,Polyak+Hybrid,kroA100/root-ascent-trends.svg
27,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA150.tsp,150,26524,26271.905545311751,0.950439054,859,26268.635546173591,0.962767508,202,26275.538967821147,0.936740432,1103,Hybrid,kroA150/root-ascent-trends.svg
28,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB100.tsp,100,22141,21833.996427868413,1.386584039,372,21809.927392306552,1.495292027,125,21833.996427868413,1.386584039,469,Polyak+Hybrid,kroB100/root-ascent-trends.svg
29,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB150.tsp,150,26130,25732.494825786391,1.521259756,330,25730.882811869691,1.527428963,174,25732.494825786391,1.521259756,476,Polyak+Hybrid,kroB150/root-ascent-trends.svg
30,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroC100.tsp,100,20749,20472.497409579992,1.332606826,301,20472.187499719643,1.33410044,117,20472.497409579992,1.332606826,398,Polyak+Hybrid,kroC100/root-ascent-trends.svg
31,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroD100.tsp,100,21294,21141.497700375025,0.7161749771,378,21138.462499725552,0.7304287606,109,21141.497700375025,0.7161749771,475,Polyak+Hybrid,kroD100/root-ascent-trends.svg
32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroE100.tsp,100,22068,21799.494493471728,1.216718808,363,21790.263150738905,1.25855016,191,21799.494493471728,1.216718808,460,Polyak+Hybrid,kroE100/root-ascent-trends.svg
33,/Users/a/Ayanami/code/TSP/data/classic/tsplib/lin105.tsp,105,14379,14370.499242883239,0.05911925111,338,14369.799999762628,0.06398219791,107,14370.499242883239,0.05911925111,439,Polyak+Hybrid,lin105/root-ascent-trends.svg
34,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr107.tsp,107,44303,38957.416188965537,12.0659635,594,38462.11718662479,13.18394423,124,38966.749324484794,12.0448969,742,Hybrid,pr107/root-ascent-trends.svg
35,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr124.tsp,124,59030,58067.492348952452,1.630539812,385,58067.483592427998,1.630554646,145,58067.492348952452,1.630539812,504,Polyak+Hybrid,pr124/root-ascent-trends.svg
36,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr136.tsp,136,96772,95463.326822271454,1.35232627,652,94726.335889303344,2.113900829,192,95469.769438794508,1.345668748,832,Hybrid,pr136/root-ascent-trends.svg
37,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr144.tsp,144,58537,57623.721451233141,1.560173136,1461,57956.996873109289,0.9908316567,188,57631.593686858258,1.546724829,1661,Helsgaun,pr144/root-ascent-trends.svg
38,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr152.tsp,152,73682,67331.496573732875,8.618798928,1115,66249.915557071203,10.08670292,221,67345.031656006307,8.600429337,1276,Hybrid,pr152/root-ascent-trends.svg
39,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr76.tsp,76,108159,105119.98346807505,2.809767594,354,105118.19999919985,2.811416526,91,105119.98346807505,2.809767594,427,Polyak+Hybrid,pr76/root-ascent-trends.svg
40,/Users/a/Ayanami/code/TSP/data/classic/national/qa194.tsp,194,9352,9265.248649919693,0.9276235039,467,9265.1255984570525,0.9289392808,249,9265.248649919693,0.9276235039,658,Polyak+Hybrid,qa194/root-ascent-trends.svg
41,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat195.tsp,195,2323,2289.4558470692646,1.444001418,1594,2290.1821776438819,1.412734497,245,2292.5890679411941,1.309123205,1833,Hybrid,rat195/root-ascent-trends.svg
42,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat99.tsp,99,1211,1205.9999157422574,0.4128888735,491,1204.6999999852637,0.5202312151,95,1205.9999157422574,0.4128888735,586,Polyak+Hybrid,rat99/root-ascent-trends.svg
43,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rd100.tsp,100,7910,7899.3323987890763,0.1348622151,557,7885.9328124183721,0.3042628013,123,7899.3323987890763,0.1348622151,654,Polyak+Hybrid,rd100/root-ascent-trends.svg
44,/Users/a/Ayanami/code/TSP/data/classic/tsplib/si175.tsp,175,21407,21343.4469173451,0.2968799115,100,21366.643875162063,0.1885183577,229,21360.092433256246,0.2191225615,321,Helsgaun,si175/root-ascent-trends.svg
45,/Users/a/Ayanami/code/TSP/data/classic/tsplib/st70.tsp,70,675,670.99995630059755,0.5925990666,396,670.58991698833017,0.6533456314,87,670.99995630059755,0.5925990666,463,Polyak+Hybrid,st70/root-ascent-trends.svg
46,/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,42,1273,1271.9618911038328,0.08154822437,100,1271.8249999969062,0.09230164989,53,1271.9618911038328,0.08154822437,139,Polyak+Hybrid,swiss42/root-ascent-trends.svg
47,/Users/a/Ayanami/code/TSP/data/classic/tsplib/u159.tsp,159,42080,41923.730822941332,0.3713621128,547,41919.04687359251,0.3824931711,203,41924.976818732735,0.3684010962,706,Hybrid,u159/root-ascent-trends.svg
48,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ulysses16.tsp,16,6859,6858.9999999969032,4.51498682e-11,38,6826.4541666625282,0.4744982262,113,6858.9999999969032,4.51498682e-11,39,Polyak+Hybrid,ulysses16/root-ascent-trends.svg
49,/Users/a/Ayanami/code/TSP/data/classic/national/wi29.tsp,29,27603,27602.999999944037,2.027425569e-10,58,26727.599999943573,3.171394414,25,27602.999999944037,2.027425569e-10,59,Polyak+Hybrid,wi29/root-ascent-trends.svg
50,/Users/a/Ayanami/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,131,564,555.16971751130745,1.565652924,660,555.285009753449,1.545211037,188,555.57512177872513,1.493772734,804,Hybrid,xqf131/root-ascent-trends.svg
