repeat,configuration,instance,lower_bound,upper_bound,instance_wall_seconds,root_ascent_seconds,root_potential_iterations
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000731333,0.000382458,64.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9900040650682,1610.0,0.000751792,0.00046625,100.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000507625,0.000227917,32.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000611834,0.000334709,64.0
1,polyak-smoothed128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.995259495062,1610.0,0.000766709,0.000478625,100.0
1,polyak-smoothed-dynamic32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000536584,0.000260375,32.0
1,polyak-smoothed-dynamic64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000649375,0.000375583,64.0
1,polyak-smoothed-dynamic128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9833133743998,1610.0,0.000786208,0.00049675,100.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000373583,0.000103833,16.0
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000420083,0.00014225,25.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.00046025,0.000149542,25.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000522084,0.000239666,32.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000645625,0.000367834,57.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9799999981672,1610.0,0.000798458,0.000505209,89.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1607.9853691203934,1610.0,0.001048292,0.000790125,137.0
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.2999999969581,2020.0,0.000304333,5.83e-07,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.2999999969581,2020.0,0.000392833,8.4708e-05,8.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.2999999969581,2020.0,0.000481,0.000169709,16.0
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.2999999969581,2020.0,0.00056675,0.000266917,32.0
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.3093165840414,2020.0,0.000678625,0.000383042,64.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.4675193202895,2020.0,0.000984,0.000622959,100.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.3999999860628,2020.0,0.000793083,0.000311667,32.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.4102780080295,2020.0,0.000722417,0.000384209,64.0
1,polyak-smoothed128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.4477003857335,2020.0,0.000837459,0.000497167,100.0
1,polyak-smoothed-dynamic32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.2999999969581,2020.0,0.000896666,0.000273666,32.0
1,polyak-smoothed-dynamic64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.3601155694166,2020.0,0.000811875,0.0004745,64.0
1,polyak-smoothed-dynamic128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.4559806286238,2020.0,0.000926,0.000547208,100.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.399999996958,2020.0,0.000450583,8.7375e-05,16.0
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.4249999969581,2020.0,0.000558291,0.000129792,25.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.4249999969581,2020.0,0.000550292,0.000146084,25.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.399999996958,2020.0,0.000606292,0.000264292,32.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.4249999969581,2020.0,0.000995083,0.000584209,57.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.4249999969581,2020.0,0.000958625,0.000602375,89.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2013.3953357260446,2020.0,0.001123583,0.000816083,125.0
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.00112775,1.5e-06,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.0013375,5.1042e-05,1.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.00131,5e-05,1.0
