configuration,improved_vs_replace,worse_vs_replace,total_lb_gain_vs_replace,stronger_equal_weaker_vs_local,total_wall_seconds,root_ascent_seconds,root_iterations,max_lb_loss_vs_local
replace,0,0,0.0,20/7/23,1.052153622,0.00020567,0.0,175.30688277765876
polyak8,1,0,0.016249999999899956,20/7/23,1.137806785,0.08686221,351.0,175.30688277765876
polyak16,2,0,0.036249999999881766,20/8/22,1.225622958,0.173734576,694.0,175.30688277765876
polyak32,4,0,0.2606033335639495,20/8/22,1.398391169,0.34599799999999997,1366.0,175.30688277765876
polyak64,13,0,601.4656796819122,21/8/21,1.7311471250000001,0.679714044,2710.0,158.3041189734504
polyak128,26,0,1414.3302423658483,30/8/12,2.186631963,1.133849168,4658.0,93.05920032692666
polyak-smoothed32,5,0,0.40533981642374783,22/8/20,1.397631495,0.345806374,1376.0,175.30688277765876
polyak-smoothed64,17,0,537.1219960379054,24/8/18,1.733075337,0.6815725,2720.0,121.51548082738009
polyak-smoothed128,30,0,1484.0509899663143,30/8/12,2.189298793,1.1378485,4652.0,89.3749714329897
polyak-smoothed-dynamic32,4,0,0.2938917539202066,20/8/22,1.397887998,0.346498126,1367.0,175.30688277765876
polyak-smoothed-dynamic64,14,0,583.6940633349552,23/8/19,1.732834421,0.680814118,2711.0,122.3305037493119
polyak-smoothed-dynamic128,30,0,1403.508342237904,30/8/12,2.1836785,1.131134623,4643.0,97.28396750067623
helsgaun16,5,0,77.50000000001592,21/7/22,1.20959017,0.159046167,695.0,175.30688277765876
helsgaun32,8,0,98.4749999999749,21/7/22,1.359935873,0.309452662,1350.0,174.39688277768437
helsgaun64,13,0,176.4399999998825,21/7/22,1.658058748,0.607060206,2475.0,172.45688277768204
hybrid-reverse16,7,0,77.5362500000158,21/8/21,1.381502539,0.330359249,1389.0,175.30688277765876
hybrid-reverse32,12,0,98.73560333353885,21/8/21,1.704851958,0.653691751,2716.0,174.39688277768437
hybrid-reverse64,18,0,731.0019950247945,22/8/20,2.336438752,1.283905832,5185.0,151.13899290701374
local-full,23,20,-2986.413194214554,0/50/0,4.924861628,3.871014874,14311.0,-0.0
