repeat,instance,start_depth,cost,seconds,expanded,triggered,skipped,bypasses,iterations,potential_seconds,rebuild_seconds,lkh_calls,lkh_failures
1,eil101,0,629.0,0.038904,216,229,215,0,1517,0.008414453999999998,0.0,1,0
1,gr96,0,55209.0,0.224479625,2731,2621,2367,0,24763,0.1699780199999999,0.009547210000000002,1,0
1,pr124,0,59030.0,0.469245,2503,2725,1994,0,27011,0.3733397510000001,0.02804405,1,0
1,kroC100,0,20749.0,0.710173625,7442,8832,6569,0,67261,0.6204292920000005,0.026203590999999967,1,0
1,u159,0,42080.0,0.35645575,1917,2150,1740,0,15108,0.25022715800000034,0.00706322,1,0
1,eil101,1,629.0,0.032514042,41,52,39,4,614,0.0033414540000000006,2.3458e-05,1,0
1,gr96,1,55209.0,0.227487416,2731,2622,2366,3,24795,0.17180802699999972,0.009465868,1,0
1,pr124,1,59030.0,0.411895292,2145,2275,1716,6,23537,0.32404288999999986,0.023923953999999997,1,0
1,kroC100,1,20749.0,0.715217417,7442,8834,6567,4,67325,0.6252496199999997,0.02598937299999996,1,0
1,u159,1,42080.0,0.367277375,1917,2151,1739,2,15140,0.26182326700000014,0.007126749999999999,1,0
1,eil101,2,629.0,0.032667959,36,53,30,10,694,0.003569998,4.9999999999999996e-05,1,0
1,gr96,2,55209.0,0.188980167,1990,2103,1717,16,19460,0.13789527,0.007306669999999999,1,0
1,pr124,2,59030.0,0.405217375,2100,2229,1677,21,23178,0.31915147099999974,0.023314368000000002,1,0
1,kroC100,2,20749.0,0.74885675,7912,9220,7097,19,68762,0.6581497489999983,0.025303206000000026,1,0
1,u159,2,42080.0,0.359037375,1900,2156,1720,13,15225,0.25377860100000027,0.006966751000000005,1,0
1,eil101,3,629.0,0.033500458,35,51,23,23,773,0.0038137890000000006,8.8167e-05,1,0
1,gr96,3,55209.0,0.187133042,1974,2088,1707,33,19107,0.1367219739999996,0.007103372999999993,1,0
1,pr124,3,59030.0,0.368061542,1865,1985,1491,51,20259,0.2857751810000008,0.020623460999999992,1,0
1,kroC100,3,20749.0,0.833308417,8100,10240,7123,62,78744,0.7361942080000027,0.02984266299999998,1,0
1,u159,3,42080.0,0.375310834,2165,2296,1979,24,16044,0.2672686280000001,0.007212043000000004,1,0
2,u159,1,42080.0,0.359051959,1917,2151,1739,2,15140,0.25313396699999985,0.007014509000000001,1,0
2,kroC100,1,20749.0,0.726721708,7442,8834,6567,4,67325,0.6358942429999985,0.02669800600000001,1,0
2,pr124,1,59030.0,0.410922166,2145,2275,1716,6,23537,0.32416004600000003,0.02338754799999998,1,0
2,gr96,1,55209.0,0.23207175,2731,2622,2366,3,24795,0.17552363099999974,0.009647467000000007,1,0
2,eil101,1,629.0,0.033541708,41,52,39,4,614,0.003148792000000001,2.4334e-05,1,0
2,u159,2,42080.0,0.363854042,1900,2156,1720,13,15225,0.2574518650000002,0.007186208999999996,1,0
2,kroC100,2,20749.0,0.753184667,7912,9220,7097,19,68762,0.6625497490000001,0.025311704999999962,1,0
2,pr124,2,59030.0,0.424117208,2100,2229,1677,21,23178,0.33475195900000027,0.02424885000000001,1,0
2,gr96,2,55209.0,0.190267916,1990,2103,1717,16,19460,0.13933598500000025,0.007365804000000002,1,0
2,eil101,2,629.0,0.032913584,36,53,30,10,694,0.003456584,5.5083e-05,1,0
2,u159,3,42080.0,0.379036667,2165,2296,1979,24,16044,0.26971541300000035,0.00740246,1,0
2,kroC100,3,20749.0,0.841917875,8100,10240,7123,62,78744,0.7435193589999983,0.030378891,1,0
2,pr124,3,59030.0,0.370519958,1865,1985,1491,51,20259,0.2871650270000001,0.02101429099999998,1,0
2,gr96,3,55209.0,0.188539833,1974,2088,1707,33,19107,0.13738092699999982,0.007300454999999999,1,0
2,eil101,3,629.0,0.033491541,35,51,23,23,773,0.0039034970000000006,8.4457e-05,1,0
2,u159,0,42080.0,0.365161917,1917,2150,1740,0,15108,0.2585491449999992,0.0075577899999999965,1,0
2,kroC100,0,20749.0,0.730162125,7442,8832,6569,0,67261,0.6381956759999982,0.02700344299999998,1,0
2,pr124,0,59030.0,0.478116834,2503,2725,1994,0,27011,0.3837055300000005,0.028662399999999998,1,0
2,gr96,0,55209.0,0.231211291,2731,2621,2367,0,24763,0.17554128400000008,0.009698161000000004,1,0
2,eil101,0,629.0,0.0391965,216,229,215,0,1517,0.008975331,0.0,1,0
3,eil101,2,629.0,0.033432125,36,53,30,10,694,0.0037302539999999997,5.1293e-05,1,0
3,gr96,2,55209.0,0.192319459,1990,2103,1717,16,19460,0.140916917,0.007436879000000001,1,0
3,pr124,2,59030.0,0.414646,2100,2229,1677,21,23178,0.3269763590000003,0.023704076999999997,1,0
3,kroC100,2,20749.0,0.760179334,7912,9220,7097,19,68762,0.6691654230000034,0.02552353199999997,1,0
3,u159,2,42080.0,0.365153209,1900,2156,1720,13,15225,0.25831172100000027,0.007213082,1,0
3,eil101,3,629.0,0.034220459,35,51,23,23,773,0.003935538999999999,0.000105084,1,0
3,gr96,3,55209.0,0.190629458,1974,2088,1707,33,19107,0.13920955100000018,0.007265622999999997,1,0
3,pr124,3,59030.0,0.373628,1865,1985,1491,51,20259,0.2893992219999995,0.021239788999999985,1,0
3,kroC100,3,20749.0,0.872615042,8100,10240,7123,62,78744,0.7713160589999981,0.031478152999999995,1,0
3,u159,3,42080.0,0.3799525,2165,2296,1979,24,16044,0.27066162799999993,0.007356254999999998,1,0
3,eil101,0,629.0,0.038813875,216,229,215,0,1517,0.008967790000000002,0.0,1,0
3,gr96,0,55209.0,0.234907458,2731,2621,2367,0,24763,0.17865867,0.010035539000000005,1,0
3,pr124,0,59030.0,0.483793667,2503,2725,1994,0,27011,0.3872154890000001,0.029181204999999988,1,0
3,kroC100,0,20749.0,0.74765175,7442,8832,6569,0,67261,0.6537834640000002,0.02776227000000002,1,0
3,u159,0,42080.0,0.36740425,1917,2150,1740,0,15108,0.25962102700000006,0.007387379000000001,1,0
3,eil101,1,629.0,0.032890542,41,52,39,4,614,0.0031642519999999998,2.4542e-05,1,0
3,gr96,1,55209.0,0.259575583,2731,2622,2366,3,24795,0.20022821800000012,0.011077130000000003,1,0
3,pr124,1,59030.0,0.427220083,2145,2275,1716,6,23537,0.3355534649999994,0.024800788999999993,1,0
3,kroC100,1,20749.0,0.750547041,7442,8834,6567,4,67325,0.6562826370000012,0.02772141600000002,1,0
3,u159,1,42080.0,0.367008167,1917,2151,1739,2,15140,0.26023289,0.007307368,1,0
4,u159,3,42080.0,0.381756542,2165,2296,1979,24,16044,0.27294980399999963,0.0075123399999999976,1,0
4,kroC100,3,20749.0,0.854946375,8100,10240,7123,62,78744,0.7549613399999999,0.030877465,1,0
4,pr124,3,59030.0,0.379432792,1865,1985,1491,51,20259,0.2938937600000001,0.021578299000000006,1,0
4,gr96,3,55209.0,0.194675958,1974,2088,1707,33,19107,0.14217054200000018,0.007490632999999998,1,0
4,eil101,3,629.0,0.034050875,35,51,23,23,773,0.00383988,8.5625e-05,1,0
4,u159,0,42080.0,0.365642667,1917,2150,1740,0,15108,0.258547813,0.007283332999999995,1,0
4,kroC100,0,20749.0,0.740522917,7442,8832,6569,0,67261,0.6486394129999986,0.027236792999999985,1,0
