repeat,instance,start_depth,cost,seconds,expanded,triggered,skipped,bypasses,iterations,potential_seconds,rebuild_seconds,lkh_calls,lkh_failures
4,pr124,0,59030.0,0.484481667,2503,2725,1994,0,27011,0.3890122300000001,0.028986706999999973,1,0
4,gr96,0,55209.0,0.234211666,2731,2621,2367,0,24763,0.17794573000000002,0.00992524,1,0
4,eil101,0,629.0,0.040775708,216,229,215,0,1517,0.009267750999999994,0.0,1,0
4,u159,1,42080.0,0.368841417,1917,2151,1739,2,15140,0.26062903700000034,0.007164044,1,0
4,kroC100,1,20749.0,0.758326209,7442,8834,6567,4,67325,0.6647556860000017,0.028004836000000026,1,0
4,pr124,1,59030.0,0.422821583,2145,2275,1716,6,23537,0.3335582290000001,0.024420459000000005,1,0
4,gr96,1,55209.0,0.236125792,2731,2622,2366,3,24795,0.179435171,0.010003617999999992,1,0
4,eil101,1,629.0,0.033792375,41,52,39,4,614,0.0033941250000000004,2.6167e-05,1,0
4,u159,2,42080.0,0.372169125,1900,2156,1720,13,15225,0.26323438299999985,0.007483580999999999,1,0
4,kroC100,2,20749.0,0.765666375,7912,9220,7097,19,68762,0.6747473740000008,0.025710126999999996,1,0
4,pr124,2,59030.0,0.425763584,2100,2229,1677,21,23178,0.33622044799999995,0.024761659000000002,1,0
4,gr96,2,55209.0,0.194519416,1990,2103,1717,16,19460,0.14251312099999983,0.0075538419999999955,1,0
4,eil101,2,629.0,0.033935209,36,53,30,10,694,0.003549377000000001,5.3458e-05,1,0
5,eil101,0,629.0,0.040194125,216,229,215,0,1517,0.009250541000000003,0.0,1,0
5,gr96,0,55209.0,0.235454417,2731,2621,2367,0,24763,0.17851448000000023,0.009889496000000008,1,0
5,pr124,0,59030.0,0.48751,2503,2725,1994,0,27011,0.39095664900000054,0.029397413000000004,1,0
5,kroC100,0,20749.0,0.744366333,7442,8832,6569,0,67261,0.6497649359999992,0.027400621999999982,1,0
5,u159,0,42080.0,0.385284625,1917,2150,1740,0,15108,0.2735801389999999,0.009605751999999999,1,0
5,eil101,1,629.0,0.033282125,41,52,39,4,614,0.003410458000000001,2.3792e-05,1,0
5,gr96,1,55209.0,0.237199209,2731,2622,2366,3,24795,0.17946743099999993,0.009939964999999997,1,0
5,pr124,1,59030.0,0.427056417,2145,2275,1716,6,23537,0.3365461879999998,0.024825665999999996,1,0
5,kroC100,1,20749.0,0.7455765,7442,8834,6567,4,67325,0.6515871779999998,0.027407181000000027,1,0
5,u159,1,42080.0,0.380526333,1917,2151,1739,2,15140,0.2714495509999997,0.007767284000000002,1,0
5,eil101,2,629.0,0.033903167,36,53,30,10,694,0.0036281299999999985,5.2000000000000004e-05,1,0
5,gr96,2,55209.0,0.196274833,1990,2103,1717,16,19460,0.14312257899999997,0.007584915000000002,1,0
5,pr124,2,59030.0,0.418615208,2100,2229,1677,21,23178,0.32989509400000083,0.024144501000000016,1,0
5,kroC100,2,20749.0,0.771066792,7912,9220,7097,19,68762,0.6787675969999993,0.026016703000000002,1,0
5,u159,2,42080.0,0.369240166,1900,2156,1720,13,15225,0.26181189399999955,0.007318836999999997,1,0
5,eil101,3,629.0,0.034346667,35,51,23,23,773,0.004328666000000001,0.00011133399999999999,1,0
5,gr96,3,55209.0,0.193087625,1974,2088,1707,33,19107,0.14079923,0.007346249000000002,1,0
5,pr124,3,59030.0,0.3772195,1865,1985,1491,51,20259,0.2924679129999999,0.021470172000000003,1,0
5,kroC100,3,20749.0,0.857196292,8100,10240,7123,62,78744,0.757575911,0.030586345000000004,1,0
5,u159,3,42080.0,0.385996833,2165,2296,1979,24,16044,0.2752558269999999,0.007437208000000003,1,0
