configuration,gap_ratio,triggered_instances,improved_instances,actual_clk_starts,triple_helpful_instances,triggered_triple_helpful,missed_triple_helpful,triple_material_wall_overhead_instances,overhead_instances_not_triggered,materially_slower_than_single,total_median_wall_seconds,wall_delta_vs_single,total_median_initial_tour_seconds,initial_tour_delta_vs_single
single,,0,0,50,21,0,21,45,45,0,6.010318461,0.0,1.295765959,0.0
triple,,0,0,150,21,0,21,45,45,45,6.915752791,0.9054343300000003,2.098349164,0.8025832050000001
adaptive-0.005,0.005,33,20,116,21,20,1,45,17,31,9.419691628999999,3.4093731679999992,1.973699461,0.6779335020000001
adaptive-0.01,0.01,31,20,112,21,20,1,45,18,31,9.568512333,3.5581938719999995,1.984231578,0.688465619
adaptive-0.015,0.015,28,19,106,21,19,2,45,21,27,9.405506796,3.3951883349999994,1.918775669,0.62300971
adaptive-0.02,0.02,25,18,100,21,18,3,45,24,24,9.172420582,3.162102121000001,1.828796791,0.5330308320000001
adaptive-0.03,0.03,10,5,70,21,5,16,45,37,8,7.36553158,1.355213119,1.539199334,0.24343337500000017
adaptive-0.05,0.05,4,2,58,21,2,19,45,42,4,6.933977533,0.9236590720000004,1.402352462,0.10658650300000017
