config,mode,gap_ratio,repeat,instance_name,instance,status,cost,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_potential_iterations,root_ascent_seconds,instance_wall_seconds
single,single,,1,att48.tsp,data/classic/tsplib/att48.tsp,ok,10648,10599.68823369806,10648,10648,10599.68823369806,0.0045371681350432217,0.0038977080000000002,1,0,0,214,0.0053602500000000004,0.0093810839999999996
single,single,,1,bayg29.tsp,data/classic/tsplib/bayg29.tsp,ok,1610,1607.9853691203934,1610,1610,1607.9853691203934,0.001251323527705936,0.001322,1,0,0,137,0.00083333300000000001,0.0022467920000000001
single,single,,1,bays29.tsp,data/classic/tsplib/bays29.tsp,ok,2020,2013.3953357260446,2020,2020,2013.3953357260446,0.0032696357791858663,0.001920667,1,0,0,125,0.00084895800000000003,0.0028959580000000001
single,single,,1,berlin52.tsp,data/classic/tsplib/berlin52.tsp,ok,7542,7541.9999999735055,7542,7542,7541.9999999735055,3.5129263003642498e-12,0.0026110410000000001,1,0,0,57,0.0023769580000000002,0.0052350829999999998
single,single,,1,bier127.tsp,data/classic/tsplib/bier127.tsp,ok,120414,117430.97806154632,120414,120414,117430.97806154632,0.024773049134267408,0.031904500000000002,1,0,0,422,0.109461958,0.14192033300000001
single,single,,1,brazil58.tsp,data/classic/tsplib/brazil58.tsp,ok,25395,25316.887550529744,25395,25395,25316.887550529744,0.003075898778116017,0.0060993330000000002,1,0,0,220,0.0090736250000000001,0.015427666
single,single,,1,brg180.tsp,data/classic/tsplib/brg180.tsp,ok,1960,1949.2773311365436,1960,1960,1949.2773311365436,0.0054707494201308264,0.021279375,1,0,0,334,0.15097316599999999,0.17508799999999999
single,single,,1,burma14.tsp,data/classic/tsplib/burma14.tsp,ok,3323,3322.999999998799,3323,3323,3322.999999998799,3.6141671793293762e-13,0.00057625000000000005,1,0,0,28,4.3958000000000002e-05,0.00065695800000000002
single,single,,1,ch130.tsp,data/classic/tsplib/ch130.tsp,ok,6235,6074.8596417164263,6235,6235,6074.8596417164263,0.025684099163363869,0.036027583000000002,1,0,0,578,0.15388012500000001,0.190499375
single,single,,1,ch150.tsp,data/classic/tsplib/ch150.tsp,ok,6636,6488.6976966289349,6636,6636,6488.6976966289349,0.022197453793108068,0.046893791999999997,1,0,0,600,0.236969875,0.28466575
single,single,,1,d198.tsp,data/classic/tsplib/d198.tsp,ok,15989,14536.148992869335,15989,15989,14536.148992869335,0.09086565808560039,0.139681834,1,0,0,694,0.49616758300000002,0.63714591700000001
single,single,,1,dantzig42.tsp,data/classic/tsplib/dantzig42.tsp,ok,699,696.95338306543158,699,699,696.95338306543158,0.0029279212225585397,0.0021783330000000002,1,0,0,225,0.0037668749999999998,0.0061120419999999998
single,single,,1,dj38.tsp,data/classic/national/dj38.tsp,ok,6656,6655.9999999809961,6656,6656,6655.9999999809961,2.8551520122514027e-12,0.001489916,1,0,0,43,0.00076108399999999998,0.0023284590000000002
single,single,,1,eil101.tsp,data/classic/tsplib/eil101.tsp,ok,646,627.34444740256754,646,646,627.34444740256754,0.028878564392310312,0.015687208000000001,1,0,0,540,0.070736999999999994,0.08676275
single,single,,1,eil51.tsp,data/classic/tsplib/eil51.tsp,ok,427,422.49983691886655,427,427,422.49983691886655,0.010539023609211828,0.0019469579999999999,1,0,0,521,0.011997249999999999,0.014046584000000001
single,single,,1,eil76.tsp,data/classic/tsplib/eil76.tsp,ok,548,536.99995437170719,548,548,536.99995437170719,0.020073075964037974,0.0051696670000000002,1,0,0,423,0.025259459000000001,0.030626
single,single,,1,fri26.tsp,data/classic/tsplib/fri26.tsp,ok,937,936.99999999893805,937,937,936.99999999893805,1.1333497877882768e-12,0.001087291,1,0,0,52,0.00032325000000000002,0.001479125
single,single,,1,gr120.tsp,data/classic/tsplib/gr120.tsp,ok,7108,6911.2437009000378,7108,7108,6911.2437009000378,0.027680964983112302,0.035598708,1,0,0,516,0.117233833,0.15387954100000001
single,single,,1,gr137.tsp,data/classic/tsplib/gr137.tsp,ok,70620,69118.352244264752,70620,70620,69118.352244264752,0.021263774507720875,0.047519499999999999,1,0,0,592,0.16763445900000001,0.21597862500000001
single,single,,1,gr17.tsp,data/classic/tsplib/gr17.tsp,ok,2085,2084.9999999989241,2085,2085,2084.9999999989241,5.1603464373974782e-13,0.00094166699999999998,1,0,0,121,0.00021049999999999999,0.0011926249999999999
single,single,,1,gr21.tsp,data/classic/tsplib/gr21.tsp,ok,2707,2706.9999999976822,2707,2707,2706.9999999976822,8.5624205669313169e-13,0.000589709,1,0,0,29,0.00012275,0.00076558300000000002
single,single,,1,gr24.tsp,data/classic/tsplib/gr24.tsp,ok,1272,1271.9995357693901,1272,1272,1271.9995357693901,3.6496117126599589e-07,0.00087562499999999999,1,0,0,122,0.00045816599999999998,0.001386375
single,single,,1,gr48.tsp,data/classic/tsplib/gr48.tsp,ok,5093,4958.9994433825923,5093,5093,4958.9994433825923,0.026310731713608426,0.003622625,1,0,0,318,0.0061062080000000001,0.0099264590000000003
single,single,,1,gr96.tsp,data/classic/tsplib/gr96.tsp,ok,55595,54569.493520663818,55595,55595,54569.493520663818,0.018446019953884011,0.012801165999999999,1,0,0,370,0.038426750000000003,0.051645292000000002
