instance,single_gap,single_ub,triple_ub,triple_ub_gain,single_wall_seconds,triple_wall_seconds,triple_wall_delta,single_initial_tour_seconds,triple_initial_tour_seconds,triple_clk_delta,triple_helpful,triple_material_wall_overhead,triple_material_clk_overhead,adaptive_0.005_trigger,adaptive_0.005_improved,adaptive_0.005_starts,adaptive_0.005_ub,adaptive_0.005_wall_seconds,adaptive_0.01_trigger,adaptive_0.01_improved,adaptive_0.01_starts,adaptive_0.01_ub,adaptive_0.01_wall_seconds,adaptive_0.015_trigger,adaptive_0.015_improved,adaptive_0.015_starts,adaptive_0.015_ub,adaptive_0.015_wall_seconds,adaptive_0.02_trigger,adaptive_0.02_improved,adaptive_0.02_starts,adaptive_0.02_ub,adaptive_0.02_wall_seconds,adaptive_0.03_trigger,adaptive_0.03_improved,adaptive_0.03_starts,adaptive_0.03_ub,adaptive_0.03_wall_seconds,adaptive_0.05_trigger,adaptive_0.05_improved,adaptive_0.05_starts,adaptive_0.05_ub,adaptive_0.05_wall_seconds
d198.tsp,0.09086565808560039,15989.0,15921.0,68.0,0.651321459,0.712126333,0.0608048739999999,0.139681834,0.1796175,0.03993566600000001,1,0,1,1,1,3,15921.0,1.247400916,1,1,3,15921.0,1.279852333,1,1,3,15921.0,1.243702167,1,1,3,15921.0,1.24625525,1,1,3,15921.0,1.2307255,1,1,3,15921.0,1.230685042
dantzig42.tsp,0.0029279212225585397,699.0,699.0,0.0,0.006112042,0.011705917,0.005593875,0.002204584,0.007686875,0.005482291,0,1,1,0,0,1,699.0,0.006383375,0,0,1,699.0,0.006510417,0,0,1,699.0,0.006695834,0,0,1,699.0,0.006406166,0,0,1,699.0,0.006352542,0,0,1,699.0,0.006441958
dj38.tsp,2.8551520122514027e-12,6656.0,6656.0,0.0,0.0022905,0.008064459,0.0057739589999999995,0.001433166,0.007181583,0.0057484170000000005,0,1,1,0,0,1,6656.0,0.002326792,0,0,1,6656.0,0.002316583,0,0,1,6656.0,0.002329583,0,0,1,6656.0,0.002318584,0,0,1,6656.0,0.002311583,0,0,1,6656.0,0.002288834
eil101.tsp,0.02887856439231031,646.0,638.0,8.0,0.08676275,0.103464042,0.016701292000000006,0.015687208,0.02953475,0.013847541999999997,1,1,1,1,1,3,638.0,0.177816916,1,1,3,638.0,0.180681709,1,1,3,638.0,0.17921475,1,1,3,638.0,0.179967667,0,0,1,646.0,0.088060458,0,0,1,646.0,0.088928875
eil51.tsp,0.010539023609211828,427.0,427.0,0.0,0.014206541,0.019435875,0.005229333999999999,0.001928416,0.006842417,0.0049140009999999994,0,1,1,1,0,3,427.0,0.0196775,1,0,3,427.0,0.019671791,0,0,1,427.0,0.01482225,0,0,1,427.0,0.014441875,0,0,1,427.0,0.014452042,0,0,1,427.0,0.014457208
eil76.tsp,0.020073075964037974,548.0,547.0,1.0,0.031127166,0.041826791,0.010699625,0.005169667,0.015724667,0.010555000000000002,1,1,1,1,1,3,547.0,0.069387667,1,1,3,547.0,0.070280709,1,1,3,547.0,0.069814958,1,1,3,547.0,0.077767166,0,0,1,548.0,0.031977958,0,0,1,548.0,0.032024833
fri26.tsp,1.1333497877882768e-12,937.0,937.0,0.0,0.001479125,0.006275042,0.004795917,0.0010825,0.005848542,0.004766042,0,1,1,0,0,1,937.0,0.001515125,0,0,1,937.0,0.001536334,0,0,1,937.0,0.001516542,0,0,1,937.0,0.001544,0,0,1,937.0,0.001514458,0,0,1,937.0,0.001509167
gr120.tsp,0.027680964983112302,7108.0,7057.0,51.0,0.153879541,0.182240416,0.02836087499999998,0.036465084,0.05953975,0.023074666,1,1,1,1,1,3,7057.0,0.301789125,1,1,3,7057.0,0.308430959,1,1,3,7057.0,0.315066709,1,1,3,7057.0,0.3026395,0,0,1,7108.0,0.155329042,0,0,1,7108.0,0.155432291
gr137.tsp,0.021263774507720875,70620.0,70368.0,252.0,0.216932042,0.242608333,0.025676291000000018,0.0475565,0.069252708,0.021696207999999995,1,1,1,1,1,3,70368.0,0.420903667,1,1,3,70368.0,0.431444583,1,1,3,70368.0,0.4291065,1,1,3,70368.0,0.419643,0,0,1,70620.0,0.22167875,0,0,1,70620.0,0.222382458
gr17.tsp,5.160346437397478e-13,2085.0,2085.0,0.0,0.001248625,0.004805041,0.0035564160000000006,0.000982333,0.004551041,0.0035687079999999994,0,1,1,0,0,1,2085.0,0.001258458,0,0,1,2085.0,0.001290042,0,0,1,2085.0,0.001289042,0,0,1,2085.0,0.001284,0,0,1,2085.0,0.001269291,0,0,1,2085.0,0.001277583
gr21.tsp,8.562420566931317e-13,2707.0,2707.0,0.0,0.000775958,0.001836916,0.001060958,0.000589709,0.001647584,0.0010578749999999998,0,1,1,0,0,1,2707.0,0.000781333,0,0,1,2707.0,0.000810041,0,0,1,2707.0,0.000793709,0,0,1,2707.0,0.000799375,0,0,1,2707.0,0.0007895,0,0,1,2707.0,0.000792959
gr24.tsp,3.649611712659959e-07,1272.0,1272.0,0.0,0.001428833,0.004654291,0.0032254579999999996,0.000903917,0.00411575,0.003211833,0,1,1,0,0,1,1272.0,0.001461041,0,0,1,1272.0,0.001638,0,0,1,1272.0,0.001453209,0,0,1,1272.0,0.001449084,0,0,1,1272.0,0.001475875,0,0,1,1272.0,0.001471291
gr48.tsp,0.026310731713608426,5093.0,5046.0,47.0,0.009926459,0.016505917,0.006579457999999998,0.003622625,0.010224833,0.006602207999999999,1,1,1,1,1,3,5046.0,0.022744291,1,1,3,5046.0,0.02299425,1,1,3,5046.0,0.023162042,1,1,3,5046.0,0.023068791,0,0,1,5093.0,0.010335041,0,0,1,5093.0,0.010339375
gr96.tsp,0.01844601995388401,55595.0,55411.0,184.0,0.05241975,0.071142125,0.018722375,0.012920166,0.028696125,0.015775959,1,1,1,1,1,3,55411.0,0.113274667,1,1,3,55411.0,0.112774333,1,1,3,55411.0,0.1137905,0,0,1,55595.0,0.053453042,0,0,1,55595.0,0.053884625,0,0,1,55595.0,0.053258666
hk48.tsp,0.002350703941651269,11470.0,11470.0,0.0,0.006894542,0.014309334,0.007414792,0.002433708,0.009747458,0.007313750000000001,0,1,1,0,0,1,11470.0,0.007032792,0,0,1,11470.0,0.007015375,0,0,1,11470.0,0.007003417,0,0,1,11470.0,0.006809041,0,0,1,11470.0,0.0068885,0,0,1,11470.0,0.006844833
kroA100.tsp,0.034695207230044635,21689.0,21689.0,0.0,0.073174333,0.092768125,0.019593792000000013,0.016976583,0.033156166,0.016179583,0,1,1,1,0,3,21689.0,0.092102208,1,0,3,21689.0,0.091760875,1,0,3,21689.0,0.092323333,1,0,3,21689.0,0.09218425,1,0,3,21689.0,0.091007708,0,0,1,21689.0,0.074945583
kroA150.tsp,0.019389197407185033,26816.0,26816.0,0.0,0.312962792,0.354215667,0.04125287500000002,0.064932958,0.098990875,0.03405791700000001,0,1,1,1,0,3,26816.0,0.353966583,1,0,3,26816.0,0.369387875,1,0,3,26816.0,0.358240417,0,0,1,26816.0,0.322868375,0,0,1,26816.0,0.321069958,0,0,1,26816.0,0.320801
kroB100.tsp,0.02282507878068677,22344.0,22327.0,17.0,0.079022625,0.092019209,0.012996584000000005,0.016962791,0.035286,0.018323208999999997,1,1,1,1,1,3,22327.0,0.155898875,1,1,3,22327.0,0.158134959,1,1,3,22327.0,0.1562235,1,1,3,22327.0,0.15157675,0,0,1,22344.0,0.075526209,0,0,1,22344.0,0.074413917
kroB150.tsp,0.028302393397888103,26482.0,26396.0,86.0,0.253138084,0.301482792,0.048344708000000014,0.07879275,0.118812542,0.040019792,1,1,1,1,1,3,26396.0,0.489456792,1,1,3,26396.0,0.498890459,1,1,3,26396.0,0.486864584,1,1,3,26396.0,0.480038167,0,0,1,26482.0,0.260219417,0,0,1,26482.0,0.261945
kroC100.tsp,0.023491678998185005,20965.0,20965.0,0.0,0.062417958,0.079218833,0.016800875,0.015874708,0.030187542,0.014312834,0,1,1,1,0,3,20965.0,0.078052625,1,0,3,20965.0,0.081627416,1,0,3,20965.0,0.081248792,1,0,3,20965.0,0.079304791,0,0,1,20965.0,0.064614917,0,0,1,20965.0,0.066693458
kroD100.tsp,0.03069563378136039,21811.0,21762.0,49.0,0.073772625,0.085283666,0.011511041,0.015767875,0.033702917,0.017935041999999998,1,1,1,1,1,3,21762.0,0.143612417,1,1,3,21762.0,0.142636542,1,1,3,21762.0,0.147510417,1,1,3,21762.0,0.14845625,1,1,3,21762.0,0.144697459,0,0,1,21811.0,0.07250125
