comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,wall_seconds,43,1735.6266145501286,2646.3927859663963,0.5247477561021019,25,0,18
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,root_lower_bound,43,898754.3886494648,898754.3886494648,0.0,0,43,0
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,branches,43,2612950.0,19150110.0,6.328923247670258,0,19,24
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,initial_tour_seconds,43,2.842006494,3.1404577469999997,0.10501427552332676,12,0,31
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,root_ascent_seconds,43,0.707692629,0.722392394,0.02077139763455138,29,0,14
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,lkh_provider_calls,43,43.0,43.0,0.0,0,43,0
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,lkh_provider_failures,43,0.0,0.0,0.0,0,43,0
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,lkh_provider_seconds,43,3.235248723,3.221096758,-0.004374305103465925,25,0,18
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,root_fixing_seconds,43,0.020176582,0.019978005,-0.009841954400403363,16,10,17
1,求解器版本,CPHKMST-P32-LKH,GAPMST-P32-LKH,求解器版本=129d73c9e0df,求解器版本=89fc4d89dd02,43,43,43,,,43,,43,,43,,potential_update_seconds,43,1596.7412324009858,2397.3340113630284,0.5013916862146837,27,10,6
