run_id,strategy,label,instance,source,status,observed_repeats,expected_repeats,successful_repeats,timeouts,errors,result,result_consistent,wall_seconds,root_lower_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,initial_tour_seconds,root_ascent_seconds,lkh_provider_calls,lkh_provider_failures,lkh_provider_seconds,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,potential_update_seconds,potential_update_rebuild_seconds,replacement_seconds,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_total,search_node_potential_iterations,adaptive_clk_improvements,adaptive_clk_triggers,initial_clk_starts,initial_upper_bound,potential_update_gap_change_shallow_bypasses,root_candidate_compaction_calls,root_candidate_compaction_seconds,root_candidate_edges_after,root_candidate_edges_before,root_external_potential_replacements,root_external_potential_warm_starts,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_change_below_minimum,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_zero_violation,sibling_warm_accepted,sibling_warm_probes,sibling_warm_rejected
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,d198.tsp,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1,1,0,1,0,,True,1800.0,14572.88,15780.0,14572.88,0.0764968314321927,981975.0,280000.0,0.443778433,0.069169766,,,,,,1.0,19305.0,1075.0,198.0,0.0,18428.0,0.001904497,1530.622312,179.6574928,12.0848074,,,,,,,,0.0,15780.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,dantzig42.tsp,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,1,1,1,0,0,699.0,True,0.05505681782960892,696.959999997658,699.0,699.0,0.0,9.0,2.0,0.00439774,0.005885148,1.0,0.0,0.013915105,7.0,3.0,1.0,819.0,796.0,42.0,27.0,35.0,0.000271279,0.000332359,4.8634e-05,5.1105000000000006e-05,64.0,7.0,7.0,0.0,54.0,0.0,0.0,0.0,699.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,dj38.tsp,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,1,1,1,0,0,6656.0,True,0.0461120568215847,6655.999999981781,6656.0,6656.0,0.0,1.0,0.0,0.00226265,0.00011456,1.0,0.0,0.010197774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6656.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,eil101.tsp,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,1,1,1,0,0,629.0,True,0.21399014443159103,627.3329762117957,629.0,629.0,0.0,78.0,25.0,0.051451017,0.017001603,1.0,0.0,0.048899811,53.0,1.0,1.0,4949.0,4875.0,101.0,47.0,123.0,0.000523612,0.017017518000000002,0.000587534,0.00019808100000000002,64.0,67.0,67.0,0.0,1341.0,0.0,0.0,0.0,629.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,eil51.tsp,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,1,1,1,0,0,426.0,True,0.10799040272831917,422.4399999987474,426.0,426.0,0.0,155.0,57.0,0.007551609,0.008617205,1.0,0.0,0.028600149,99.0,19.0,1.0,1224.0,1159.0,51.0,7.0,109.0,0.000309973,0.021140433999999993,0.001080787,0.0001741660000000001,64.0,142.0,142.0,0.0,2428.0,0.0,0.0,0.0,426.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,eil76.tsp,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,1,1,1,0,0,538.0,True,0.09783473238348961,536.969999996869,538.0,538.0,0.0,5.0,2.0,0.019846069,0.012484116,1.0,0.0,0.036127508,3.0,6.0,1.0,2774.0,2755.0,76.0,61.0,31.0,0.000278387,0.00019824300000000002,4.6718e-05,3.9364e-05,64.0,4.0,4.0,0.0,45.0,0.0,0.0,0.0,538.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,fri26.tsp,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,1,1,1,0,0,937.0,True,0.05386786535382271,936.9999999984229,937.0,937.0,0.0,1.0,0.0,0.000628102,0.000327892,1.0,0.0,0.010605382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,gr120.tsp,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,1,1,1,0,0,6942.0,True,1.506272740662098,6909.959999893309,6942.0,6942.0,0.0,2312.0,786.0,0.105980002,0.025460307,1.0,0.0,0.06455156,1540.0,0.0,1.0,7020.0,6727.0,120.0,13.0,397.0,0.000702154,1.2161512459999997,0.06711233799999998,0.0023781559999999915,64.0,2162.0,2162.0,0.0,36958.0,0.0,0.0,0.0,6942.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,gr137.tsp,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,1,1,1,0,0,69853.0,True,4.3877958580851555,69113.08999838053,69853.0,69853.0,0.0,5882.0,2016.0,0.149106468,0.031231865,1.0,0.0,0.095925929,3888.0,0.0,1.0,9179.0,8325.0,137.0,3.0,988.0,0.001003997,3.7610463889999926,0.26355905600000024,0.032566936,64.0,5326.0,5326.0,0.0,89257.0,0.0,0.0,0.0,69853.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPHKMST-P32-LKH-db6a5c729bce,CPHKMST-P32-LKH,CPHKMST-P32-LKH,gr17.tsp,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,1,1,1,0,0,2085.0,True,0.059716228395700455,2084.999999998326,2085.0,2085.0,0.0,1.0,0.0,0.000214001,2.3096e-05,1.0,0.0,0.005439524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
