comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_median,right_median,median_symmetric_change,geometric_symmetric_change,aggregate_symmetric_change,decreased,tied,increased
1,branch edge order,P0,B1,weight,root-alpha-asc,30,30,30,,,30,,30,,30,,wall_seconds,30,0.05689439456909895,0.06315492931753397,0.22616029037368435,0.491170665806953,0.36029091079722764,7,0,23
1,branch edge order,P0,B1,weight,root-alpha-asc,30,30,30,,,30,,30,,30,,branches,30,360.5,604.0,0.12348484848484842,0.3474328487707181,0.41765331298896635,4,9,17
2,branch edge order,P0,B2,weight,root-alpha-desc,30,32,30,,kroB100.tsp;kroE100.tsp,30,,30,,32,,wall_seconds,30,0.05689439456909895,0.06555123627185822,0.049951138974123954,-0.27364066714020896,-0.003189395598024003,13,0,17
2,branch edge order,P0,B2,weight,root-alpha-desc,30,32,30,,kroB100.tsp;kroE100.tsp,30,,30,,32,,branches,30,360.5,274.5,0.0,-0.5235232520331032,0.09211068772358955,12,10,8
3,branch edge order,P0,B3,weight,root-alpha-global-asc,30,27,27,gr137.tsp;gr96.tsp;kroA100.tsp,,27,,30,,27,,wall_seconds,27,0.027674570679664612,0.03548240847885609,0.5479523306208403,1.833965042559325,2.957339545027007,4,0,23
3,branch edge order,P0,B3,weight,root-alpha-global-asc,30,27,27,gr137.tsp;gr96.tsp;kroA100.tsp,,27,,30,,27,,branches,27,44.0,65.0,0.1333333333333333,1.6927923752469844,3.037936498114788,3,9,15
4,branch edge order,P0,B4,weight,root-alpha-global-desc,30,31,29,gr137.tsp,kroB100.tsp;kroE100.tsp,29,,30,,31,,wall_seconds,29,0.03350554406642914,0.03973337449133396,0.17327179070495125,-0.14473228559866258,-2.5192197077985927,10,0,19
4,branch edge order,P0,B4,weight,root-alpha-global-desc,30,31,29,gr137.tsp,kroB100.tsp;kroE100.tsp,29,,30,,31,,branches,29,348.0,235.0,0.0,-0.296029151546908,-2.2302950551224416,10,10,9
5,hk ascent,P0,H0,polyak,helsgaun,30,31,28,kroA100.tsp;kroD100.tsp,brg180.tsp;pr144.tsp;pr76.tsp,28,,30,,31,,wall_seconds,28,0.030590057373046875,0.03266151808202267,0.10601358370937808,0.04018691422548426,-0.9202143310419686,12,0,16
5,hk ascent,P0,H0,polyak,helsgaun,30,31,28,kroA100.tsp;kroD100.tsp,brg180.tsp;pr144.tsp;pr76.tsp,28,,30,,31,,branches,28,196.0,773.0,0.5626997968064827,1.353214994921709,-0.8659039807214861,9,3,16
6,hk ascent,P1,H1,polyak,helsgaun,31,32,29,kroA100.tsp;kroD100.tsp,brg180.tsp;pr144.tsp;pr76.tsp,29,,31,,32,,wall_seconds,29,0.03350801579654217,0.03941670246422291,-0.029984604342976562,-0.20075384893156278,-1.5922428394183226,16,0,13
6,hk ascent,P1,H1,polyak,helsgaun,31,32,29,kroA100.tsp;kroD100.tsp,brg180.tsp;pr144.tsp;pr76.tsp,29,,31,,32,,branches,29,58.0,133.0,0.19999999999999996,0.429553978796654,-1.6565571237636534,9,3,17
7,hk ascent,H2,P2,helsgaun,polyak,31,31,28,brg180.tsp;pr144.tsp;pr76.tsp,gr120.tsp;kroA100.tsp;kroD100.tsp,28,,31,,31,,wall_seconds,28,0.05123349092900753,0.03073213156312704,0.08296974235935972,0.13722630170398253,0.08695043833459715,8,0,20
7,hk ascent,H2,P2,helsgaun,polyak,31,31,28,brg180.tsp;pr144.tsp;pr76.tsp,gr120.tsp;kroA100.tsp;kroD100.tsp,28,,31,,31,,branches,28,196.0,41.5,-0.14884856943475222,-0.5094513826327229,0.8072252475525612,15,3,10
8,hk node ascent,H1,H2,polyak,helsgaun,32,31,31,u159.tsp,,31,,32,,31,,wall_seconds,31,0.0815266314893961,0.1399067137390375,0.07657601607709519,0.5299621207783913,-0.0066931055543106854,11,0,20
