run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,ok,41.04976679198444,26524.0,26294.165165343496,26524.0,26524.0,26524.0,0.0,38477,11839,26759,2,1,11025,10288,150,4,883,0.001185021,0.192300921,0,0,0,0,0,0,0.0,0.0,100,0.0685228,0,1,36691,36691,0,0,0,0,0,0,0,0,0,0,593479,38.40760657599984,1.690530357000003,0,0,0,0.2653628770000005
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,ok,7.366851715371013,22141.0,21833.73962151195,22141.0,22141.0,22141.0,0.0,12163,3898,8294,1,1,4850,4254,100,2,694,0.000539925,0.045887263,0,0,0,0,0,0,0.0,0.0,128,0.037945113,0,1,11343,11343,0,0,0,0,0,0,0,0,0,0,180877,6.733609798999973,0.3456111639999997,0,0,0,0.03305863899999998
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1800.0,,25732.42,26130.0,26130.0,25732.42,0.01521546115575973,1422896,420000,,,,,,,,,0.001234341,0.269394935,0,,,,,,,,,0.092953162,,,,,,,,,,,,,,,,1679.6558,80.38856779,,,,11.42010034
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/kroC100.tsp,ok,2.337763424962759,20749.0,20472.489999725905,20749.0,20749.0,20749.0,0.0,4011,1241,2782,0,1,4850,4325,100,2,623,0.000571366,0.052860773,0,0,0,0,0,0,0.0,0.0,128,0.037974813,0,1,3774,3774,0,0,0,0,0,0,0,0,0,0,57697,2.0490425339999976,0.10865034800000004,0,0,0,0.011617375000000063
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/kroD100.tsp,ok,0.35406413674354553,21294.0,21141.459999730672,21294.0,21294.0,21294.0,0.0,502,130,374,0,1,4850,4553,100,17,379,0.000540399,0.051067822,0,0,0,0,0,0,0.0,0.0,100,0.029611104,0,1,456,456,0,0,0,0,0,0,0,0,0,0,6301,0.17816103299999997,0.009520735,0,0,0,0.0006267439999999999
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/kroE100.tsp,ok,14.931574827060103,22068.0,21799.409999721556,22068.0,22068.0,22068.0,0.0,32765,9627,23229,71,1,4850,4394,100,5,551,0.000569828,0.04999779,0,0,0,0,0,0,0.0,0.0,128,0.037731407,0,1,30997,30997,0,0,0,0,0,0,0,0,0,0,464534,13.734356153999862,0.7082959009999997,0,0,0,0.10132017699999962
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/lin105.tsp,ok,0.14441572688519955,14379.0,14370.479999775862,14379.0,14379.0,14379.0,0.0,4,1,3,3,1,5355,5319,105,87,39,0.000511218,0.070946838,0,0,0,0,0,0,0.0,0.0,100,0.030956343,0,1,2,2,0,0,0,0,0,0,0,0,0,0,13,0.00013230000000000002,0.0,0,0,0,6.4987e-05
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/pr107.tsp,timeout,1800.0,,40443.96329,44303.0,44303.0,40443.96329,0.0871055393539941,18561766,2070000,,,,,,,,,0.000485912,0.056583758,0,,,,,,,,,0.040676892,,,,,,,,,,,,,,,,1636.291059,13.62918329,,,,84.81285341
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/pr124.tsp,ok,2.4060149267315865,59030.0,58066.28210868244,59030.0,59030.0,59030.0,0.0,3078,1053,2032,0,1,7502,6422,124,0,1204,0.000707152,0.070431498,0,0,0,0,0,0,0.0,0.0,128,0.055997978,0,1,2850,2850,0,0,0,0,0,0,0,0,0,0,45523,1.9807719839999967,0.15509571100000005,0,0,0,0.007781090000000012
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/pr136.tsp,ok,919.7284744493663,96772.0,95880.04314786808,96772.0,96772.0,96772.0,0.0,1089979,381585,714497,340,1,9044,8329,136,0,851,0.001195749,0.421353172,12,0,0,0,0,0,0.0,0.0,100,0.062930718,0,1,957580,957580,0,0,0,0,0,0,0,0,0,0,18330868,852.3054196559675,51.80317132099948,0,0,0,7.7730680529996725
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/pr144.tsp,ok,3.8981435522437096,58537.0,57962.21780532857,58537.0,58537.0,58537.0,0.0,3723,1278,2468,0,1,10152,8827,144,3,1466,0.001170715,0.069774277,0,0,0,0,0,0,0.0,0.0,100,0.059718086,0,1,3478,3478,0,0,0,0,0,0,0,0,0,0,59998,3.2358745270000018,0.24516261600000033,0,0,0,0.021901469999999992
CPHKMST-P32-LKH128-PS-879f942a69f7,CPHKMST-P32-LKH128-PS,1,/home/wj/code/TSP/data/classic/tsplib/pr152.tsp,timeout,1800.0,,70372.61169,73682.0,73682.0,70372.61169,0.0449144744985206,4993818,870000,,,,,,,,,0.001132272,0.161939148,0,,,,,,,,,0.090033684,,,,,,,,,,,,,,,,1671.408418,36.9083197,,,,38.77190956
