config,gap_change,max_depth,repeat,instance,cost,seconds,expanded,triggered,skipped_max_depth,potential_seconds,lkh_calls,lkh_failures
gap0-depth14,0.0,14,2,pr124,59030.0,0.551217834,953,1976,206,0.4459084950000003,1,0
gap0-depth14,0.0,14,2,gr96,55209.0,0.183424459,2657,1019,2251,0.128049697,1,0
gap0-depth14,0.0,14,2,eil101,629.0,0.034332041,17,52,0,0.004476995,1,0
gap0-depth16,0.0,16,2,u159,42080.0,0.442008833,842,1304,369,0.3253436300000001,1,0
gap0-depth16,0.0,16,2,kroC100,20749.0,1.380222875,29634,8395,26712,1.1662979180000002,1,0
gap0-depth16,0.0,16,2,pr124,59030.0,0.556450292,757,2001,7,0.45095353399999977,1,0
gap0-depth16,0.0,16,2,gr96,55209.0,0.192630459,913,1145,470,0.13927276499999994,1,0
gap0-depth16,0.0,16,2,eil101,629.0,0.034434917,17,52,0,0.0043929979999999995,1,0
gap0-depth18,0.0,18,2,u159,42080.0,0.445062,498,1335,19,0.33030440700000013,1,0
gap0-depth18,0.0,18,2,kroC100,20749.0,1.376467041,5601,8932,2556,1.2141695009999989,1,0
gap0-depth18,0.0,18,2,pr124,59030.0,0.557171375,750,2005,0,0.45073346500000033,1,0
gap0-depth18,0.0,18,2,gr96,55209.0,0.196595209,560,1191,108,0.143317095,1,0
gap0-depth18,0.0,18,2,eil101,629.0,0.034576667,17,52,0,0.004512164999999999,1,0
gap0001-depth-unlimited,0.0001,0,2,u159,42080.0,0.363752292,1917,2150,0,0.256028973,1,0
gap0001-depth-unlimited,0.0001,0,2,kroC100,20749.0,0.750023792,7442,8832,0,0.6580532120000023,1,0
gap0001-depth-unlimited,0.0001,0,2,pr124,59030.0,0.4842315,2503,2725,0,0.38792897499999957,1,0
gap0001-depth-unlimited,0.0001,0,2,gr96,55209.0,0.23248425,2731,2621,0,0.17607712300000009,1,0
gap0001-depth-unlimited,0.0001,0,2,eil101,629.0,0.039483833,216,229,0,0.009154670000000004,1,0
gap0001-depth16,0.0001,16,2,u159,42080.0,0.351110083,3133,1924,1337,0.239661208,1,0
gap0001-depth16,0.0001,16,2,kroC100,20749.0,0.779998375,46633,7412,40089,0.5994075990000013,1,0
gap0001-depth16,0.0001,16,2,pr124,59030.0,0.483350833,2607,2685,128,0.38689698799999994,1,0
gap0001-depth16,0.0001,16,2,gr96,55209.0,0.226396083,25777,1505,24215,0.12939346700000007,1,0
gap0001-depth16,0.0001,16,2,eil101,629.0,0.039606208,216,229,0,0.009249618000000001,1,0
gap0001-depth18,0.0001,18,2,u159,42080.0,0.36133075,2094,2093,202,0.25315985599999974,1,0
gap0001-depth18,0.0001,18,2,kroC100,20749.0,0.7607375,17637,8410,10400,0.6466080060000015,1,0
gap0001-depth18,0.0001,18,2,pr124,59030.0,0.484631959,2512,2717,12,0.3886240200000004,1,0
gap0001-depth18,0.0001,18,2,gr96,55209.0,0.224139,13854,1848,11854,0.14840749299999983,1,0
gap0001-depth18,0.0001,18,2,eil101,629.0,0.039784667,216,229,0,0.009236864000000001,1,0
gap0001-depth20,0.0001,20,2,u159,42080.0,0.361993,1957,2131,51,0.25452927500000017,1,0
gap0001-depth20,0.0001,20,2,kroC100,20749.0,0.750517292,8400,8762,981,0.6571484100000029,1,0
gap0001-depth20,0.0001,20,2,pr124,59030.0,0.484782041,2503,2725,0,0.3885875449999996,1,0
gap0001-depth20,0.0001,20,2,gr96,55209.0,0.228095209,6169,2190,3805,0.16519864499999995,1,0
gap0001-depth20,0.0001,20,2,eil101,629.0,0.040592792,216,229,0,0.009670701000000004,1,0
gap0-depth-unlimited,0.0,0,2,u159,42080.0,0.447902083,479,1340,0,0.33220840999999957,1,0
gap0-depth-unlimited,0.0,0,2,kroC100,20749.0,1.434328917,3082,9167,0,1.2681791190000018,1,0
gap0-depth-unlimited,0.0,0,2,pr124,59030.0,0.58334225,750,2005,0,0.47294955800000066,1,0
gap0-depth-unlimited,0.0,0,2,gr96,55209.0,0.19754125,453,1198,0,0.14409471599999998,1,0
gap0-depth-unlimited,0.0,0,2,eil101,629.0,0.03541,17,52,0,0.004564878999999999,1,0
gap0-depth16,0.0,16,3,eil101,629.0,0.035162875,17,52,0,0.004605540000000001,1,0
gap0-depth16,0.0,16,3,gr96,55209.0,0.193632083,913,1145,470,0.13996333500000005,1,0
gap0-depth16,0.0,16,3,pr124,59030.0,0.559258959,757,2001,7,0.45318121799999966,1,0
gap0-depth16,0.0,16,3,kroC100,20749.0,1.390583125,29634,8395,26712,1.1730705,1,0
gap0-depth16,0.0,16,3,u159,42080.0,0.443472916,842,1304,369,0.3271358350000001,1,0
gap0-depth18,0.0,18,3,eil101,629.0,0.034806333,17,52,0,0.004328169,1,0
gap0-depth18,0.0,18,3,gr96,55209.0,0.196402041,560,1191,108,0.1429917669999999,1,0
gap0-depth18,0.0,18,3,pr124,59030.0,0.560194791,750,2005,0,0.4542029919999997,1,0
gap0-depth18,0.0,18,3,kroC100,20749.0,1.386501708,5601,8932,2556,1.2222627570000013,1,0
gap0-depth18,0.0,18,3,u159,42080.0,0.446801666,498,1335,19,0.33171761000000016,1,0
gap0001-depth-unlimited,0.0001,0,3,eil101,629.0,0.040019708,216,229,0,0.009287178000000012,1,0
gap0001-depth-unlimited,0.0001,0,3,gr96,55209.0,0.234550084,2731,2621,0,0.17751339400000005,1,0
gap0001-depth-unlimited,0.0001,0,3,pr124,59030.0,0.4875245,2503,2725,0,0.39073884100000067,1,0
gap0001-depth-unlimited,0.0001,0,3,kroC100,20749.0,0.753722375,7442,8832,0,0.6613551850000017,1,0
