repeat,instance,max_depth,cost,seconds,expanded,potential_seconds
1,eil101,0,629.0,0.035088166,17,0.004141206999999999
1,eil101,14,629.0,0.033199625,17,0.004067794
1,gr96,0,55209.0,0.185452417,453,0.1341105380000002
1,gr96,14,55209.0,0.180315042,2657,0.12569225099999992
1,pr124,0,59030.0,0.5334465,750,0.4313560169999995
1,pr124,14,59030.0,0.536239792,953,0.4337693259999996
1,kroC100,0,20749.0,1.355448666,3082,1.201112906999994
1,kroC100,14,20749.0,1.369645416,91860,1.023735991999997
1,u159,0,42080.0,0.43941825,479,0.32613050000000027
1,u159,14,42080.0,0.423887,1719,0.3047483539999999
2,u159,14,42080.0,0.424885292,1719,0.3061314569999996
2,u159,0,42080.0,0.440367833,479,0.32690810000000015
2,kroC100,14,20749.0,1.385654875,91860,1.0359728700000004
2,kroC100,0,20749.0,1.375276292,3082,1.220003412999997
2,pr124,14,59030.0,0.549387916,953,0.4436895390000004
2,pr124,0,59030.0,0.552783208,750,0.44798729399999937
2,gr96,14,55209.0,0.182582958,2657,0.12746344099999993
2,gr96,0,55209.0,0.193859417,453,0.14163346399999996
2,eil101,14,629.0,0.035965625,17,0.004522292000000001
2,eil101,0,629.0,0.034462958,17,0.0043968340000000005
3,eil101,0,629.0,0.034749667,17,0.004470547000000002
3,eil101,14,629.0,0.034652833,17,0.004469749999999999
3,gr96,0,55209.0,0.194184709,453,0.141647858
3,gr96,14,55209.0,0.183208417,2657,0.12788747099999984
3,pr124,0,59030.0,0.554479833,750,0.44941820600000004
3,pr124,14,59030.0,0.550022375,953,0.44504378899999925
3,kroC100,0,20749.0,1.386820333,3082,1.229497108000001
3,kroC100,14,20749.0,1.403569417,91860,1.047211035000001
3,u159,0,42080.0,0.446179208,479,0.33146983899999954
3,u159,14,42080.0,0.428318209,1719,0.3096733000000004
4,u159,14,42080.0,0.428294791,1719,0.3098798399999997
4,u159,0,42080.0,0.443901125,479,0.3293362789999998
4,kroC100,14,20749.0,1.401890041,91860,1.0474904660000022
4,kroC100,0,20749.0,1.390118125,3082,1.2327745610000065
4,pr124,14,59030.0,0.565759416,953,0.4578413550000003
4,pr124,0,59030.0,0.5577565,750,0.4520088740000006
4,gr96,14,55209.0,0.185251209,2657,0.12899133000000004
4,gr96,0,55209.0,0.19693325,453,0.143803413
4,eil101,14,629.0,0.03492,17,0.004537583
4,eil101,0,629.0,0.034261458,17,0.004325496000000001
5,eil101,0,629.0,0.034940167,17,0.004641045
5,eil101,14,629.0,0.035020042,17,0.004465666999999999
5,gr96,0,55209.0,0.197085125,453,0.14349454399999997
5,gr96,14,55209.0,0.185354458,2657,0.12908484599999998
5,pr124,0,59030.0,0.561032917,750,0.45452304099999974
5,pr124,14,59030.0,0.553711333,953,0.4479576819999998
5,kroC100,0,20749.0,1.396901541,3082,1.239268647000003
5,kroC100,14,20749.0,1.403238958,91860,1.0496561319999982
5,u159,0,42080.0,0.447612708,479,0.332312916
5,u159,14,42080.0,0.432172917,1719,0.3106472889999999
6,u159,14,42080.0,0.430156,1719,0.31059636999999995
6,u159,0,42080.0,0.448085208,479,0.33287874799999967
6,kroC100,14,20749.0,1.415577334,91860,1.0586925239999947
6,kroC100,0,20749.0,1.397667542,3082,1.2399330059999991
6,pr124,14,59030.0,0.557521333,953,0.45069101200000006
6,pr124,0,59030.0,0.570685875,750,0.46308030400000005
6,gr96,14,55209.0,0.1853475,2657,0.12919252200000006
6,gr96,0,55209.0,0.196724417,453,0.1435390799999997
6,eil101,14,629.0,0.034880208,17,0.004416836000000001
6,eil101,0,629.0,0.034519542,17,0.004403330999999999
7,eil101,0,629.0,0.034807917,17,0.004492587999999999
7,eil101,14,629.0,0.034705292,17,0.004557166
7,gr96,0,55209.0,0.197068,453,0.14336519099999995
7,gr96,14,55209.0,0.185753792,2657,0.12935370599999998
7,pr124,0,59030.0,0.560029791,750,0.4542172530000004
7,pr124,14,59030.0,0.55513775,953,0.4490888149999994
7,kroC100,0,20749.0,1.404035708,3082,1.2450012289999994
7,kroC100,14,20749.0,1.407016625,91860,1.0518300960000004
7,u159,0,42080.0,0.449030292,479,0.3333848320000001
7,u159,14,42080.0,0.431713625,1719,0.31192114299999985
