config,mode,gap_ratio,repeat,instance_name,instance,status,cost,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_potential_iterations,root_ascent_seconds,instance_wall_seconds
single,single,,1,att48.tsp,data/classic/tsplib/att48.tsp,ok,10648,10599.68823369806,10648,10648,10599.68823369806,0.0045371681350432217,0.0041189169999999997,1,0,0,214,0.0058014579999999998,0.010054333
single,single,,1,bayg29.tsp,data/classic/tsplib/bayg29.tsp,ok,1610,1607.9853691203934,1610,1610,1607.9853691203934,0.001251323527705936,0.001375292,1,0,0,137,0.00088533299999999998,0.0023431250000000002
single,single,,1,bays29.tsp,data/classic/tsplib/bays29.tsp,ok,2020,2013.3953357260446,2020,2020,2013.3953357260446,0.0032696357791858663,0.0015256670000000001,1,0,0,125,0.00091345900000000004,0.0025595829999999998
single,single,,1,berlin52.tsp,data/classic/tsplib/berlin52.tsp,ok,7542,7541.9999999735055,7542,7542,7541.9999999735055,3.5129263003642498e-12,0.00230175,1,0,0,57,0.0021659169999999998,0.0045894589999999997
single,single,,1,bier127.tsp,data/classic/tsplib/bier127.tsp,ok,120414,117430.97806154632,120414,120414,117430.97806154632,0.024773049134267408,0.030864791999999999,1,0,0,422,0.11050975,0.141920667
single,single,,1,brazil58.tsp,data/classic/tsplib/brazil58.tsp,ok,25395,25316.887550529744,25395,25395,25316.887550529744,0.003075898778116017,0.0061194170000000003,1,0,0,220,0.0090657089999999999,0.015436958000000001
single,single,,1,brg180.tsp,data/classic/tsplib/brg180.tsp,ok,1960,1949.2773311365436,1960,1960,1949.2773311365436,0.0054707494201308264,0.020557959000000001,1,0,0,334,0.148648167,0.171967334
single,single,,1,burma14.tsp,data/classic/tsplib/burma14.tsp,ok,3323,3322.999999998799,3323,3323,3322.999999998799,3.6141671793293762e-13,0.00041308300000000002,1,0,0,28,4.4875e-05,0.00049079199999999999
single,single,,1,ch130.tsp,data/classic/tsplib/ch130.tsp,ok,6235,6074.8596417164263,6235,6235,6074.8596417164263,0.025684099163363869,0.035463292,1,0,0,578,0.15209795800000001,0.18821154200000001
single,single,,1,ch150.tsp,data/classic/tsplib/ch150.tsp,ok,6636,6488.6976966289349,6636,6636,6488.6976966289349,0.022197453793108068,0.045846249999999998,1,0,0,600,0.233651417,0.28030766699999998
single,single,,1,d198.tsp,data/classic/tsplib/d198.tsp,ok,15989,14536.148992869335,15989,15989,14536.148992869335,0.09086565808560039,0.13751395799999999,1,0,0,694,0.49489308300000001,0.63374283300000001
single,single,,1,dantzig42.tsp,data/classic/tsplib/dantzig42.tsp,ok,699,696.95338306543158,699,699,696.95338306543158,0.0029279212225585397,0.002183333,1,0,0,225,0.003656458,0.0059900409999999998
single,single,,1,dj38.tsp,data/classic/national/dj38.tsp,ok,6656,6655.9999999809961,6656,6656,6655.9999999809961,2.8551520122514027e-12,0.0013374579999999999,1,0,0,43,0.00076470800000000001,0.0021736669999999998
single,single,,1,eil101.tsp,data/classic/tsplib/eil101.tsp,ok,646,627.34444740256754,646,646,627.34444740256754,0.028878564392310312,0.015576542000000001,1,0,0,540,0.068679708000000006,0.084605666999999996
single,single,,1,eil51.tsp,data/classic/tsplib/eil51.tsp,ok,427,422.49983691886655,427,427,422.49983691886655,0.010539023609211828,0.0018894579999999999,1,0,0,521,0.011945417,0.0139405
single,single,,1,eil76.tsp,data/classic/tsplib/eil76.tsp,ok,548,536.99995437170719,548,548,536.99995437170719,0.020073075964037974,0.0051425419999999999,1,0,0,423,0.025288374999999998,0.030618583000000001
single,single,,1,fri26.tsp,data/classic/tsplib/fri26.tsp,ok,937,936.99999999893805,937,937,936.99999999893805,1.1333497877882768e-12,0.001004708,1,0,0,52,0.000316958,0.0013893340000000001
single,single,,1,gr120.tsp,data/classic/tsplib/gr120.tsp,ok,7108,6911.2437009000378,7108,7108,6911.2437009000378,0.027680964983112302,0.035708542000000003,1,0,0,516,0.112053917,0.14883258299999999
single,single,,1,gr137.tsp,data/classic/tsplib/gr137.tsp,ok,70620,69118.352244264752,70620,70620,69118.352244264752,0.021263774507720875,0.047157083000000002,1,0,0,592,0.163409417,0.21136633299999999
single,single,,1,gr17.tsp,data/classic/tsplib/gr17.tsp,ok,2085,2084.9999999989241,2085,2085,2084.9999999989241,5.1603464373974782e-13,0.00094616700000000004,1,0,0,121,0.00022975,0.001216125
single,single,,1,gr21.tsp,data/classic/tsplib/gr21.tsp,ok,2707,2706.9999999976822,2707,2707,2706.9999999976822,8.5624205669313169e-13,0.00057658299999999998,1,0,0,29,0.000133292,0.00076216599999999999
single,single,,1,gr24.tsp,data/classic/tsplib/gr24.tsp,ok,1272,1271.9995357693901,1272,1272,1271.9995357693901,3.6496117126599589e-07,0.00088016600000000004,1,0,0,122,0.00051041599999999997,0.0014528329999999999
single,single,,1,gr48.tsp,data/classic/tsplib/gr48.tsp,ok,5093,4958.9994433825923,5093,5093,4958.9994433825923,0.026310731713608426,0.0034453330000000001,1,0,0,318,0.0060139579999999998,0.0096573749999999993
single,single,,1,gr96.tsp,data/classic/tsplib/gr96.tsp,ok,55595,54569.493520663818,55595,55595,54569.493520663818,0.018446019953884011,0.012641167,1,0,0,370,0.038462292000000002,0.051533666999999998
single,single,,1,hk48.tsp,data/classic/tsplib/hk48.tsp,ok,11470,11443.03742578926,11470,11470,11443.03742578926,0.0023507039416512691,0.002310084,1,0,0,162,0.0040482499999999998,0.0065445
single,single,,1,kroA100.tsp,data/classic/tsplib/kroA100.tsp,ok,21689,20936.495650387562,21689,21689,20936.495650387562,0.034695207230044635,0.016981209000000001,1,0,0,391,0.054379542000000003,0.071689041999999994
single,single,,1,kroA150.tsp,data/classic/tsplib/kroA150.tsp,ok,26816,26296.059282328926,26816,26816,26296.059282328926,0.019389197407185033,0.064406041999999997,1,0,0,602,0.24262800000000001,0.30779166600000002
single,single,,1,kroB100.tsp,data/classic/tsplib/kroB100.tsp,ok,22344,21833.996439724335,22344,22344,21833.996439724335,0.022825078780686771,0.016629250000000002,1,0,0,400,0.055183250000000003,0.072145749999999995
single,single,,1,kroB150.tsp,data/classic/tsplib/kroB150.tsp,ok,26482,25732.496018037127,26482,26482,25732.496018037127,0.028302393397888103,0.077308665999999998,1,0,0,429,0.17079875,0.24884841599999999
single,single,,1,kroC100.tsp,data/classic/tsplib/kroC100.tsp,ok,20965,20472.496949803051,20965,20965,20472.496949803051,0.023491678998185005,0.015879875000000002,1,0,0,354,0.045106040999999999,0.061350958999999997
single,single,,1,kroD100.tsp,data/classic/tsplib/kroD100.tsp,ok,21811,21141.497531594749,21811,21811,21141.497531594749,0.03069563378136039,0.015430665999999999,1,0,0,388,0.053003124999999998,0.068785791999999998
single,single,,1,kroE100.tsp,data/classic/tsplib/kroE100.tsp,ok,22597,21798.395755460664,22597,22597,21798.395755460664,0.035341162302046106,0.015481666999999999,1,0,0,591,0.081517875000000004,0.097336332999999997
single,single,,1,lin105.tsp,data/classic/tsplib/lin105.tsp,ok,14523,14370.499389782033,14523,14523,14370.499389782033,0.010500627295873224,0.019141333999999999,1,0,0,345,0.052025958999999997,0.071528666000000005
single,single,,1,pr107.tsp,data/classic/tsplib/pr107.tsp,ok,44303,39439.603513482449,44303,44303,39439.603513482449,0.10977578237405032,0.014124917000000001,1,0,0,524,0.091798958999999999,0.106275458
single,single,,1,pr124.tsp,data/classic/tsplib/pr124.tsp,ok,59159,58067.492748859826,59159,59159,58067.492748859826,0.018450400634564039,0.020057417000000001,1,0,0,370,0.077534292000000005,0.098054749999999996
