instance,single_gap,single_ub,triple_ub,triple_ub_gain,single_wall_seconds,triple_wall_seconds,triple_wall_delta,single_initial_tour_seconds,triple_initial_tour_seconds,triple_clk_delta,triple_helpful,triple_material_wall_overhead,triple_material_clk_overhead,adaptive_0.014_trigger,adaptive_0.014_improved,adaptive_0.014_starts,adaptive_0.014_ub,adaptive_0.014_wall_seconds
eil51.tsp,0.010539023609211828,427.0,427.0,0.0,0.0139405,0.019174542,0.0052340419999999995,0.001889458,0.006844958,0.0049555,0,1,1,0,0,1,427.0,0.01426375
eil76.tsp,0.020073075964037974,548.0,547.0,1.0,0.030748958,0.041020792,0.010271834,0.005142542,0.015567583,0.010425041,1,1,1,1,1,3,547.0,0.067580042
fri26.tsp,1.1333497877882768e-12,937.0,937.0,0.0,0.001512708,0.006225833,0.004713125,0.001104875,0.005812125,0.00470725,0,1,1,0,0,1,937.0,0.001511875
gr120.tsp,0.027680964983112302,7108.0,7057.0,51.0,0.149800208,0.179539041,0.02973883300000002,0.036348834,0.059162167,0.022813333000000005,1,1,1,1,1,3,7057.0,0.294814833
gr137.tsp,0.021263774507720875,70620.0,70368.0,252.0,0.215899083,0.241000541,0.02510145800000002,0.047526375,0.069047542,0.021521167,1,1,1,1,1,3,70368.0,0.41140625
gr17.tsp,5.160346437397478e-13,2085.0,2085.0,0.0,0.001216125,0.004821958,0.003605833,0.000952208,0.004573458,0.00362125,0,1,1,0,0,1,2085.0,0.001248875
gr21.tsp,8.562420566931317e-13,2707.0,2707.0,0.0,0.000762917,0.001834125,0.0010712080000000001,0.000582792,0.0016485,0.0010657079999999998,0,1,1,0,0,1,2707.0,0.000802583
gr24.tsp,3.649611712659959e-07,1272.0,1272.0,0.0,0.001452833,0.004501416,0.0030485830000000005,0.000885625,0.003968208,0.003082583,0,1,1,0,0,1,1272.0,0.001454
gr48.tsp,0.026310731713608426,5093.0,5046.0,47.0,0.009897166,0.016105042,0.006207875999999999,0.003532333,0.009878667,0.006346334,1,1,1,1,1,3,5046.0,0.022896
gr96.tsp,0.01844601995388401,55595.0,55411.0,184.0,0.051736917,0.069221,0.017484083000000004,0.012641167,0.0283555,0.015714332999999997,1,1,1,1,1,3,55411.0,0.111235875
hk48.tsp,0.002350703941651269,11470.0,11470.0,0.0,0.006622292,0.013908167,0.007285875000000001,0.002357916,0.009691709,0.007333793,0,1,1,0,0,1,11470.0,0.006833167
kroA100.tsp,0.034695207230044635,21689.0,21689.0,0.0,0.071629,0.090273541,0.018644541,0.016981209,0.032779542,0.015798333,0,1,1,1,0,3,21689.0,0.089899
kroA150.tsp,0.019389197407185033,26816.0,26816.0,0.0,0.310161208,0.349882875,0.03972166699999996,0.064764166,0.097148,0.032383834,0,1,1,1,0,3,26816.0,0.347539666
kroB100.tsp,0.02282507878068677,22344.0,22327.0,17.0,0.07214575,0.090378916,0.01823316600000001,0.01666825,0.035274125,0.018605875000000004,1,1,1,1,1,3,22327.0,0.151867416
kroB150.tsp,0.028302393397888103,26482.0,26396.0,86.0,0.248848416,0.292580167,0.04373175100000001,0.078604333,0.115923959,0.037319625999999995,1,1,1,1,1,3,26396.0,0.475624958
kroC100.tsp,0.023491678998185005,20965.0,20965.0,0.0,0.062971708,0.078436334,0.015464625999999995,0.015879875,0.02952775,0.013647874999999997,0,1,1,1,0,3,20965.0,0.080744125
kroD100.tsp,0.03069563378136039,21811.0,21762.0,49.0,0.068785792,0.086590625,0.017804833000000006,0.015888042,0.0331575,0.017269457999999998,1,1,1,1,1,3,21762.0,0.14485175
kroE100.tsp,0.035341162302046106,22597.0,22213.0,384.0,0.0977225,0.099514708,0.0017922079999999896,0.015468667,0.03035675,0.014888082999999998,1,0,1,1,1,3,22213.0,0.186154583
lin105.tsp,0.010500627295873224,14523.0,14523.0,0.0,0.069761417,0.0899645,0.020203082999999997,0.019555042,0.036048917,0.016493874999999998,0,1,1,0,0,1,14523.0,0.072191334
pr107.tsp,0.10977578237405032,44303.0,44303.0,0.0,0.107064959,0.128430041,0.021365081999999994,0.014230917,0.032857625,0.018626708000000002,0,1,1,1,0,3,44303.0,0.128776625
pr124.tsp,0.01845040063456404,59159.0,59159.0,0.0,0.09872525,0.116714584,0.017989333999999996,0.020493083,0.036883875,0.016390792000000005,0,1,1,1,0,3,59159.0,0.119025625
pr136.tsp,0.05293739875996982,100656.0,99244.0,1412.0,0.228533042,0.247210208,0.018677165999999995,0.039584875,0.0633055,0.023720625000000002,1,0,1,1,1,3,99244.0,0.439771667
pr144.tsp,0.008303006968290767,58537.0,58537.0,0.0,0.121189625,0.152869333,0.031679708,0.025431291,0.054000166,0.028568875,0,1,1,0,0,1,58537.0,0.123802375
pr152.tsp,0.08577292490928909,74442.0,74442.0,0.0,0.290257208,0.320283584,0.03002637600000002,0.044972125,0.068065708,0.023093583,0,1,1,1,0,3,74442.0,0.321540125
pr76.tsp,0.03618889579243159,109067.0,109067.0,0.0,0.029722458,0.044087791,0.014365333000000001,0.007630292,0.021216708,0.013586416,0,1,1,1,0,3,109067.0,0.043922709
qa194.tsp,0.04432720104630169,9695.0,9695.0,0.0,0.607053125,0.6588375,0.051784374999999994,0.185885334,0.242293791,0.056408456999999995,0,0,1,1,0,3,9695.0,0.661553041
rat195.tsp,0.026417251568115672,2356.0,2356.0,0.0,0.516406625,0.553994333,0.037587708,0.09332225,0.1170805,0.02375825000000001,0,0,1,1,0,3,2356.0,0.556014959
rat99.tsp,0.014706011841195509,1224.0,1222.0,2.0,0.06411375,0.079367041,0.015253291000000002,0.010426458,0.022801167,0.012374709000000001,1,1,1,1,1,3,1222.0,0.135207709
rd100.tsp,0.021045051452637492,8069.0,8051.0,18.0,0.093635875,0.112371375,0.018735500000000002,0.018850166,0.032006416,0.013156250000000001,1,1,1,1,1,3,8051.0,0.1926065
si175.tsp,0.0040878203456034415,21455.0,21455.0,0.0,0.244372,0.277313292,0.03294129199999998,0.070655209,0.100610917,0.029955707999999998,0,1,1,0,0,1,21455.0,0.247663042
st70.tsp,0.020438058395478926,685.0,682.0,3.0,0.025190875,0.035177042,0.009986166999999997,0.0054355,0.015096542,0.009661041999999998,1,1,1,1,1,3,682.0,0.05545425
swiss42.tsp,0.0015778739463647947,1274.0,1273.0,1.0,0.004076292,0.007508208,0.003431916,0.001542833,0.005028083,0.00348525,1,1,1,0,0,1,1274.0,0.004168375
u159.tsp,0.028051673861802212,43135.0,42705.0,430.0,0.249460458,0.263237459,0.013777001000000011,0.055281834,0.070140667,0.014858833000000002,1,0,1,1,1,3,42705.0,0.460504708
ulysses16.tsp,4.67543128510183e-13,6859.0,6859.0,0.0,0.001388666,0.0057165,0.004327834,0.00113225,0.005459542,0.004327292,0,1,1,0,0,1,6859.0,0.001538417
wi29.tsp,2.04139599837132e-12,27603.0,27603.0,0.0,0.001859792,0.005895,0.004035208,0.00118825,0.005150166,0.003961916,0,1,1,0,0,1,27603.0,0.001917875
xqf131.tsp,0.04476230113066267,582.0,579.0,3.0,0.173475333,0.208815125,0.03533979199999998,0.026836334,0.047640291,0.020803957,1,1,1,1,1,3,579.0,0.360019458
