run_id,strategy,label,instance,source,status,observed_repeats,expected_repeats,successful_repeats,timeouts,errors,result,result_consistent,wall_seconds,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_total,search_node_potential_iterations,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_zero_violation
B0-11f8d0801281,B0,B0,att48.tsp,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,1,1,1,0,0,10628.0,True,0.037855733186006546,36.0,14.0,23.0,0.0,100.0,30.0,30.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,bayg29.tsp,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,1,1,1,0,0,1610.0,True,0.007992267608642578,3.0,1.0,2.0,1.0,100.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,bays29.tsp,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,1,1,1,0,0,2020.0,True,0.017818940803408623,9.0,3.0,5.0,1.0,100.0,7.0,7.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,berlin52.tsp,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,1,1,1,0,0,7542.0,True,0.02613103576004505,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,bier127.tsp,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,brazil58.tsp,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,1,1,1,0,0,25395.0,True,0.06530142202973366,125.0,38.0,88.0,0.0,120.0,107.0,107.0,0.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,brg180.tsp,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,burma14.tsp,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,1,1,1,0,0,3323.0,True,0.0158414077013731,1.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,ch130.tsp,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,ch150.tsp,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,d198.tsp,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,dantzig42.tsp,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,1,1,1,0,0,699.0,True,0.01633933186531067,3.0,1.0,2.0,0.0,100.0,2.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,dj38.tsp,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,1,1,1,0,0,6656.0,True,0.010693453252315521,1.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,eil101.tsp,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,1,1,1,0,0,629.0,True,0.3820141199976206,669.0,145.0,528.0,0.0,400.0,333.0,306.0,27.0,3068.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B0-11f8d0801281,B0,B0,eil51.tsp,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,1,1,1,0,0,426.0,True,0.09699368849396706,434.0,150.0,291.0,56.0,400.0,407.0,407.0,0.0,3861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,eil76.tsp,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,1,1,1,0,0,538.0,True,0.21125089935958385,461.0,132.0,336.0,0.0,364.0,331.0,322.0,9.0,3304.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,fri26.tsp,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,1,1,1,0,0,937.0,True,0.013807134702801704,1.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,gr120.tsp,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,1,1,1,0,0,6942.0,True,8.329415824264288,154825.0,102613.0,92654.0,0.0,800.0,107790.0,7945.0,99845.0,73685.0,99724.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
B0-11f8d0801281,B0,B0,gr137.tsp,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,1,1,1,0,0,69853.0,True,827.2166551835835,51710562.0,35089684.0,30998003.0,104.0,800.0,35152332.0,101000.0,35051332.0,966821.0,35051329.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,gr17.tsp,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,1,1,1,0,0,2085.0,True,0.009133536368608475,1.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,gr21.tsp,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,1,1,1,0,0,2707.0,True,0.003436719998717308,1.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,gr24.tsp,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,1,1,1,0,0,1272.0,True,0.0117922592908144,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,gr48.tsp,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,1,1,1,0,0,5046.0,True,0.30709226429462433,76141.0,54505.0,45142.0,140.0,334.0,55153.0,1000.0,54153.0,9070.0,54146.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,gr96.tsp,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,1,1,1,0,0,55209.0,True,6.644689491018653,165701.0,104609.0,101272.0,36.0,319.0,112310.0,12710.0,99600.0,121302.0,99599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B0-11f8d0801281,B0,B0,hk48.tsp,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,1,1,1,0,0,11461.0,True,0.03168846294283867,21.0,9.0,12.0,2.0,100.0,15.0,15.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,kroA100.tsp,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,ok,1,1,1,0,0,21282.0,True,18.835439052432775,193917.0,109099.0,125612.0,0.0,649.0,130611.0,29710.0,100901.0,245993.0,99747.0,0.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B0-11f8d0801281,B0,B0,kroA150.tsp,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,kroB100.tsp,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,ok,1,1,1,0,0,22141.0,True,33.304045252501965,203285.0,121148.0,122853.0,0.0,745.0,156484.0,56895.0,99589.0,544049.0,99583.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,kroB150.tsp,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,kroC100.tsp,/home/wj/code/TSP/data/classic/tsplib/kroC100.tsp,ok,1,1,1,0,0,20749.0,True,9.443769689649343,149187.0,104786.0,89973.0,2.0,618.0,115004.0,15358.0,99646.0,136192.0,99633.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B0-11f8d0801281,B0,B0,kroD100.tsp,/home/wj/code/TSP/data/classic/tsplib/kroD100.tsp,ok,1,1,1,0,0,21294.0,True,6.63171966932714,151698.0,102653.0,91987.0,229.0,778.0,108901.0,9220.0,99681.0,81140.0,99631.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B0-11f8d0801281,B0,B0,kroE100.tsp,/home/wj/code/TSP/data/classic/tsplib/kroE100.tsp,ok,1,1,1,0,0,22068.0,True,1035.4116712734103,259919559.0,155526294.0,162575256.0,189550.0,729.0,155591320.0,101000.0,155490320.0,922633.0,155490260.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0-11f8d0801281,B0,B0,lin105.tsp,/home/wj/code/TSP/data/classic/tsplib/lin105.tsp,ok,1,1,1,0,0,14379.0,True,0.20256413333117962,65.0,18.0,47.0,0.0,333.0,33.0,31.0,2.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
B0-11f8d0801281,B0,B0,pr107.tsp,/home/wj/code/TSP/data/classic/tsplib/pr107.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,pr124.tsp,/home/wj/code/TSP/data/classic/tsplib/pr124.tsp,ok,1,1,1,0,0,59030.0,True,4.707467157393694,137396.0,101073.0,79134.0,0.0,341.0,103376.0,3781.0,99595.0,36167.0,99594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B0-11f8d0801281,B0,B0,pr136.tsp,/home/wj/code/TSP/data/classic/tsplib/pr136.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,pr144.tsp,/home/wj/code/TSP/data/classic/tsplib/pr144.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,B0,pr152.tsp,/home/wj/code/TSP/data/classic/tsplib/pr152.tsp,timeout,1,1,0,1,0,,True,1800.0,,,,,,,,,,,,,,,,,,,
