directory,selector,label,loaded_instances,numeric_fields,category,command,description,executable,executable_sha256,instance_count,kind,repeats,run_id,solver_args,strategy,timeout_seconds,workers,option:--branch-edge-order,option:--debug,option:--debug-interval,option:--exact-max-n,option:--hk-ascent,option:--hk-node-ascent,option:--hk-potential-update,option:--hk-update-budget,option:--hk-update-depth,option:--hk-update-gap-ratio,option:--hk-update-iterations,option:--hk-update-min-gap-ratio,option:-s
/Users/a/Ayanami/code/TSP/outputs/phkmst-ablation/B0-11f8d0801281,B0-11f8d0801281,B0,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 100000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',hk-update-budget 100000,/home/wj/code/TSP/build/tsp_bb,800e12d73bfb8147b22c9d2e4beb984cafb36fe31786098202c1e61b1c20e479,50,tsp_bb,1,B0-11f8d0801281,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 100000 --exact-max-n 199 --debug --debug-interval 5000000,B0,1800.0,10,weight,启用,5000000,199,polyak,polyak,subtree-adaptive,100000,1,0.02,16,0.0,
/Users/a/Ayanami/code/TSP/outputs/phkmst-ablation/B1-4cae3faa6215,B1-4cae3faa6215,B1,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 8 --hk-update-budget 100000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',hk-update-budget 100000,/home/wj/code/TSP/build/tsp_bb,800e12d73bfb8147b22c9d2e4beb984cafb36fe31786098202c1e61b1c20e479,50,tsp_bb,1,B1-4cae3faa6215,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 8 --hk-update-budget 100000 --exact-max-n 199 --debug --debug-interval 5000000,B1,1800.0,10,weight,启用,5000000,199,polyak,polyak,subtree-adaptive,100000,1,0.02,8,0.0,
/Users/a/Ayanami/code/TSP/outputs/phkmst-ablation/B2-a93212dde1ce,B2-a93212dde1ce,B2,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 100000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',hk-update-iterations 32,/home/wj/code/TSP/build/tsp_bb,800e12d73bfb8147b22c9d2e4beb984cafb36fe31786098202c1e61b1c20e479,50,tsp_bb,1,B2-a93212dde1ce,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 100000 --exact-max-n 199 --debug --debug-interval 5000000,B2,1800.0,10,weight,启用,5000000,199,polyak,polyak,subtree-adaptive,100000,1,0.02,32,0.0,
/Users/a/Ayanami/code/TSP/outputs/phkmst-ablation/B3-9ecdc7627aaa,B3-9ecdc7627aaa,B3,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 64 --hk-update-budget 100000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',hk-update-iterations 64,/home/wj/code/TSP/build/tsp_bb,800e12d73bfb8147b22c9d2e4beb984cafb36fe31786098202c1e61b1c20e479,50,tsp_bb,1,B3-9ecdc7627aaa,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 64 --hk-update-budget 100000 --exact-max-n 199 --debug --debug-interval 5000000,B3,1800.0,10,weight,启用,5000000,199,polyak,polyak,subtree-adaptive,100000,1,0.02,64,0.0,
/Users/a/Ayanami/code/TSP/outputs/phkmst-ablation/Concorde-7c32cb4cd69e,Concorde-7c32cb4cd69e,Concorde,50,wall_seconds branches,reference,/home/wj/code/TSP/concorde/TSP/concorde -s 123 -o '<solution-file>' '<instance>',Concorde exact solver with a fixed seed,/home/wj/code/TSP/concorde/TSP/concorde,ff9a290ccfd0a933f25a27cfbcac57062d096489c6aac1791318f5b0adeee3c6,50,concorde,1,Concorde-7c32cb4cd69e,-s 123,Concorde,1800.0,10,,,,,,,,,,,,,123
/Users/a/Ayanami/code/TSP/outputs/phkmst-ablation/D0-bee4b5776d2f,D0-bee4b5776d2f,D0,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',persistent adaptive potential update,/home/wj/code/TSP/build/tsp_bb,800e12d73bfb8147b22c9d2e4beb984cafb36fe31786098202c1e61b1c20e479,50,tsp_bb,1,D0-bee4b5776d2f,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000,D0,1800.0,10,weight,启用,5000000,199,polyak,polyak,subtree-adaptive,5000,1,0.02,16,0.0,
/Users/a/Ayanami/code/TSP/outputs/phkmst-ablation/D1-23ff82926ea8,D1-23ff82926ea8,D1,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 2 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',hk-update-depth 2,/home/wj/code/TSP/build/tsp_bb,800e12d73bfb8147b22c9d2e4beb984cafb36fe31786098202c1e61b1c20e479,50,tsp_bb,1,D1-23ff82926ea8,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 2 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000,D1,1800.0,10,weight,启用,5000000,199,polyak,polyak,subtree-adaptive,5000,2,0.02,16,0.0,
