comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_median,right_median,median_symmetric_change,geometric_symmetric_change,aggregate_symmetric_change,decreased,tied,increased
1,hk update budget,B0,D0,100000,5000,34,32,32,kroB100.tsp;kroE100.tsp,,32,,34,,32,,wall_seconds,32,0.08114755526185036,0.07965919468551874,0.08275831758529228,0.4138877878582987,1.3955100137198402,10,0,22
1,hk update budget,B0,D0,100000,5000,34,32,32,kroB100.tsp;kroE100.tsp,,32,,34,,32,,branches,32,95.0,95.0,0.0,1.3509251264309041,4.465548983483092,1,25,6
1,hk update budget,B0,D0,100000,5000,34,32,32,kroB100.tsp;kroE100.tsp,,32,,34,,32,,search_node_potential_updates_skipped_total,32,0.0,0.0,0.0,5.527531706247358,4.972649303746527,1,25,6
2,hk update depth,D0,D1,1,2,32,31,31,gr120.tsp,,31,,32,,31,,wall_seconds,31,0.07059245742857456,0.07289565913379192,0.3913355321868408,0.46099364962781597,0.35708418249945995,8,0,23
2,hk update depth,D0,D1,1,2,32,31,31,gr120.tsp,,31,,32,,31,,branches,31,65.0,74.0,0.036668517490283214,0.40839859375448473,0.3175291465522623,3,10,18
2,hk update depth,D0,D1,1,2,32,31,31,gr120.tsp,,31,,32,,31,,search_node_potential_updates_skipped_total,31,0.0,19.0,0.01583857532859345,4.453138672896207,0.30570282730017717,1,9,13
3,hk update iterations,B0,B1,16,8,34,33,33,kroE100.tsp,,33,,34,,33,,wall_seconds,33,0.09699368849396706,0.16782443039119244,0.40531314367505455,0.6153254247266013,0.3935366942993299,5,0,28
3,hk update iterations,B0,B1,16,8,34,33,33,kroE100.tsp,,33,,34,,33,,branches,33,125.0,253.0,0.034652778196872625,0.47695428922110583,1.8548618189652761,4,11,18
3,hk update iterations,B0,B1,16,8,34,33,33,kroE100.tsp,,33,,34,,33,,search_node_potential_updates_skipped_total,33,0.0,0.0,0.0,1.9210589810771976,1.997223861795418,8,18,7
4,hk update iterations,B0,B2,16,32,34,35,34,,kroA150.tsp,34,,34,,35,,wall_seconds,34,0.14977891091257334,0.18448046129196882,0.14229648023922903,-0.060840429899895465,-9.33107847743479,13,0,21
4,hk update iterations,B0,B2,16,32,34,35,34,,kroA150.tsp,34,,34,,35,,branches,34,279.5,250.0,-0.013536756928827387,-0.8795600350984236,-193.31675940594735,18,11,5
4,hk update iterations,B0,B2,16,32,34,35,34,,kroA150.tsp,34,,34,,35,,search_node_potential_updates_skipped_total,34,0.5,0.0,0.0,-4.378868979006867,-188.06482611408623,5,20,7
5,hk update iterations,B0,B3,16,64,34,36,34,,kroA150.tsp;pr144.tsp,34,,34,,36,,wall_seconds,34,0.14977891091257334,0.1969775501638651,0.265458251238865,0.008465534282215526,-8.392759596399326,11,0,23
5,hk update iterations,B0,B3,16,64,34,36,34,,kroA150.tsp;pr144.tsp,34,,34,,36,,branches,34,279.5,159.5,-0.01082736050493649,-1.0482055716706213,-196.42855809853938,18,12,4
5,hk update iterations,B0,B3,16,64,34,36,34,,kroA150.tsp;pr144.tsp,34,,34,,36,,search_node_potential_updates_skipped_total,34,0.5,0.0,0.0,-4.349701834992228,-187.9720983475519,5,18,9
