run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,lkh_provider_calls,lkh_provider_failures,lkh_provider_seconds,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.06366395205259323,10628.0,10602.983665769503,10628.0,10628.0,10628.0,0.0,27,11,15,5,1,1080,1037,48,14,75,0.000202031,1,1128,89,2.1401e-05,0.006844708,0,0,0,0,0,0,0.0,0.0,64,0.006293652,0,1,1,0,0.021017566,24,16,0,0,0,0,0,0,0,0,0,0,8,6,135,0.000781959,6.647700000000001e-05,0,0,0,5.4529000000000026e-05
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.038053108379244804,1610.0,1607.9799999981672,1610.0,1610.0,1610.0,0.0,3,1,2,1,1,377,370,29,24,10,0.000150509,1,406,34,1.7524e-05,0.001845175,0,0,0,0,0,0,0.0,0.0,64,0.002502645,0,1,1,0,0.01392135,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1.8223e-05,0.0,0,0,0,7.860000000000001e-06
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.03965279087424278,2020.0,2013.3002809125421,2020.0,2020.0,2020.0,0.0,6,2,4,3,1,377,358,29,17,26,0.000127596,1,406,43,1.415e-05,0.001341331,0,0,0,0,0,0,0.0,0.0,64,0.002365526,0,1,1,0,0.01296217,4,4,0,0,0,0,0,0,0,0,0,0,0,4,49,0.000184053,3.1063e-05,0,0,0,1.6949e-05
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.05064936727285385,7542.0,7541.999999973971,7542.0,7542.0,7542.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.00878258,0,0,0,0,0,0,0.0,0.0,1,0.000223149,0,1,1,0,0.019649569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,1029.1320195849985,118282.0,117430.62999807068,118282.0,118282.0,118282.0,0.0,8550935,3866210,5307378,27173,1,7874,6991,127,6,1004,0.000805027,1,8001,1010,6.4745e-05,0.331734435,12,0,0,0,0,0,0.0,0.0,64,0.028127351,0,1,1,0,0.085279299,7296592,3663379,0,0,0,0,0,0,0,0,0,0,3633213,23,23340740,927.9951237380327,26.802867671000055,0,0,0,54.590728786014516
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.08533980697393417,25395.0,25354.239999786165,25395.0,25395.0,25395.0,0.0,9,4,6,2,1,1595,1539,58,23,87,0.000222272,1,1653,110,2.3348e-05,0.012708989,0,0,0,0,0,0,0.0,0.0,64,0.008991602,0,1,1,0,0.030574182,6,5,0,0,0,0,0,0,0,0,0,0,1,5,74,0.000313,6.5586e-05,0,0,0,4.416200000000001e-05
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.3247696328908205,1950.0,1949.6660590678675,1950.0,1950.0,1950.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.055808712,0,0,0,0,0,0,0.0,0.0,64,0.054956031,0,1,1,0,0.161434064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.01210758090019226,3323.0,3322.999999998899,3323.0,3323.0,3323.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000159352,0,0,0,0,0,0,0.0,0.0,1,1.9104e-05,0,1,1,0,0.003899978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,10.940286358818412,6110.0,6074.619999904337,6110.0,6110.0,6110.0,0.0,92050,38101,58382,131,1,8255,7816,130,14,555,0.000966254,1,8385,569,7.9389e-05,0.110828734,0,0,0,0,0,0,0.0,0.0,64,0.029872464,0,1,1,0,0.086839924,81019,44687,0,0,0,0,0,0,0,0,0,0,36332,13,252371,9.855472004000033,0.16557345400000004,0,0,0,0.5078878660000069
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,12.780814595520496,6528.0,6486.5499998695095,6528.0,6528.0,6528.0,0.0,73443,29837,46984,109,1,11025,10518,150,4,653,0.001239882,1,11175,657,9.0899e-05,0.137203431,0,0,0,0,0,0,0.0,0.0,64,0.041139657,0,1,1,0,0.178600492,67504,39074,0,0,0,0,0,0,0,0,0,0,28430,13,220062,11.61733714600004,0.16674969599999986,0,0,0,0.4842424520000028
