config,repeat,instance,final_upper_bound,final_lower_bound,final_relative_gap,initial_tour_seconds,initial_clk_starts,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,instance_wall_seconds
root-alpha8,1,data/classic/tsplib/pr144.tsp,58537,58050.966881097163,0.0083030069682907669,0.034387001,2,1,0,0,0.0094268340000000003,0,288,0.094903666999999997,0.129918333
root-alpha8,1,data/classic/tsplib/pr152.tsp,74442,68056.891923902702,0.085772924909289089,0.060603123999999994,2,1,0,0,0.015574291000000001,0,621,0.23993091599999999,0.30126170800000002
root-alpha8,1,data/classic/tsplib/pr76.tsp,109067,105119.98570260686,0.036188895792431591,0.014762624,2,1,0,0,0.0070674580000000004,0,342,0.021599166,0.036584458
root-alpha8,1,data/classic/national/qa194.tsp,9682,9265.2477858561051,0.043044021291457846,0.211714875,2,1,1,0,0.026698625,13,617,0.40006341600000001,0.61301129200000004
root-alpha8,1,data/classic/tsplib/rat195.tsp,2354,2293.7609553055195,0.025590078459847291,0.10430824999999999,2,1,1,0,0.010999583,2,645,0.41802275,0.52351941599999996
root-alpha8,1,data/classic/tsplib/rat99.tsp,1224,1205.9998415063767,0.014706011841195509,0.0143865,2,1,0,0,0.0039511249999999998,0,495,0.055095375000000002,0.069811708
root-alpha8,1,data/classic/tsplib/rd100.tsp,8069,7899.1874798286681,0.021045051452637492,0.028817084,2,1,0,0,0.0101715,0,523,0.077197500000000002,0.10637575000000001
root-alpha8,1,data/classic/tsplib/si175.tsp,21451,21367.295814485078,0.0039021111143966178,0.083331000000000002,2,1,1,0,0.012760834,4,329,0.168315625,0.25389941700000002
root-alpha8,1,data/classic/tsplib/st70.tsp,685,670.99992999909693,0.020438058395478926,0.010921917,2,1,0,0,0.0053998340000000001,0,385,0.019291374999999999,0.030402708000000001
root-alpha8,1,data/classic/tsplib/swiss42.tsp,1273,1271.9897885923313,0.00079356748442164062,0.0030313750000000002,2,1,1,0,0.0015310829999999999,1,153,0.0025297499999999999,0.0057762919999999997
root-alpha8,1,data/classic/tsplib/u159.tsp,42738,41924.991047971162,0.019023093079433721,0.062628666,2,1,1,0,0.0071904999999999998,397,484,0.18711095899999999,0.250558542
root-alpha8,1,data/classic/tsplib/ulysses16.tsp,6859,6858.9999999967931,4.6754312851018297e-13,0.0022197079999999999,2,1,0,0,0.001079708,0,134,0.00022083399999999999,0.0024775000000000001
