instance,configuration,baseline_ub,candidate_ub,ub_gain,baseline_wall_seconds,candidate_wall_seconds,wall_delta,root_guided_lk_improved,root_guided_lk_seconds,root_ascent_seconds,root_potential_iterations
data/classic/tsplib/ulysses16.tsp,root-hybrid8,6859.0,6859.0,0.0,0.001414792,0.003214125,0.001799333,0.0,0.001783959,0.000226333,134.0
data/classic/vlsi/vlsi/xqf131.tsp,root-hybrid8,582.0,582.0,0.0,0.171179833,0.181951334,0.010771500999999989,0.0,0.009301416,0.145189625,577.0
data/classic/national/dj38.tsp,root-hybrid12,6656.0,6656.0,0.0,0.002272292,0.007042291,0.0047699990000000005,0.0,0.00472375,0.000755667,43.0
data/classic/national/qa194.tsp,root-hybrid12,9695.0,9679.0,16.0,0.598124458,0.6421485,0.044024041999999985,1.0,0.037426417,0.416875416,617.0
data/classic/national/wi29.tsp,root-hybrid12,27603.0,27603.0,0.0,0.0019035,0.004068917,0.002165417,0.0,0.002162208,0.000652375,71.0
data/classic/tsplib/att48.tsp,root-hybrid12,10648.0,10648.0,0.0,0.009596917,0.020027916,0.010430999,0.0,0.010020667,0.005493417,214.0
data/classic/tsplib/bayg29.tsp,root-hybrid12,1610.0,1610.0,0.0,0.002360083,0.00382175,0.0014616670000000003,0.0,0.001457916,0.000866875,137.0
data/classic/tsplib/bays29.tsp,root-hybrid12,2020.0,2020.0,0.0,0.002626458,0.004954667,0.0023282090000000004,0.0,0.002356708,0.000886917,125.0
data/classic/tsplib/berlin52.tsp,root-hybrid12,7542.0,7542.0,0.0,0.004966833,0.0114805,0.006513666999999999,0.0,0.0065605,0.0022895,57.0
data/classic/tsplib/bier127.tsp,root-hybrid12,120414.0,120414.0,0.0,0.142593708,0.172095666,0.029501957999999995,0.0,0.025500875,0.11348175,422.0
data/classic/tsplib/brazil58.tsp,root-hybrid12,25395.0,25395.0,0.0,0.015824125,0.027543125,0.011719,0.0,0.01173675,0.009264417,220.0
data/classic/tsplib/brg180.tsp,root-hybrid12,1960.0,1960.0,0.0,0.175002208,0.191518125,0.01651591700000002,0.0,0.014247459,0.152500875,334.0
data/classic/tsplib/burma14.tsp,root-hybrid12,3323.0,3323.0,0.0,0.000570333,0.002245875,0.001675542,0.0,0.001635542,4.9166e-05,28.0
data/classic/tsplib/ch130.tsp,root-hybrid12,6235.0,6235.0,0.0,0.190898959,0.216674083,0.025775123999999983,0.0,0.025109292,0.154513958,578.0
data/classic/tsplib/ch150.tsp,root-hybrid12,6636.0,6636.0,0.0,0.281948125,0.306224333,0.02427620800000002,0.0,0.019725291,0.23828625,600.0
data/classic/tsplib/d198.tsp,root-hybrid12,15989.0,15929.0,60.0,0.643623583,0.707606542,0.06398295899999995,1.0,0.057503542,0.508018875,694.0
data/classic/tsplib/dantzig42.tsp,root-hybrid12,699.0,699.0,0.0,0.006252209,0.0122065,0.0059542910000000004,0.0,0.005847458,0.00389975,225.0
data/classic/tsplib/eil101.tsp,root-hybrid12,646.0,640.0,6.0,0.0855845,0.091611042,0.00602654200000001,1.0,0.006793209,0.06875475,540.0
data/classic/tsplib/eil51.tsp,root-hybrid12,427.0,427.0,0.0,0.014351167,0.01773375,0.0033825829999999998,0.0,0.003674917,0.011977667,521.0
data/classic/tsplib/eil76.tsp,root-hybrid12,548.0,548.0,0.0,0.031040583,0.038248125,0.007207542000000001,0.0,0.007368541,0.025363625,423.0
data/classic/tsplib/fri26.tsp,root-hybrid12,937.0,937.0,0.0,0.001502459,0.004231,0.002728541,0.0,0.002663959,0.000336208,52.0
data/classic/tsplib/gr120.tsp,root-hybrid12,7108.0,7038.0,70.0,0.151646291,0.164694875,0.013048584000000002,1.0,0.015853167,0.111840667,516.0
data/classic/tsplib/gr137.tsp,root-hybrid12,70620.0,70620.0,0.0,0.21438275,0.24150125,0.02711849999999999,0.0,0.026382584,0.166196583,592.0
data/classic/tsplib/gr17.tsp,root-hybrid12,2085.0,2085.0,0.0,0.001209125,0.003475375,0.00226625,0.0,0.002227541,0.00022525,121.0
data/classic/tsplib/gr21.tsp,root-hybrid12,2707.0,2707.0,0.0,0.0007565,0.002089917,0.0013334170000000002,0.0,0.001337583,0.000132792,29.0
data/classic/tsplib/gr24.tsp,root-hybrid12,1272.0,1272.0,0.0,0.001437625,0.004598791,0.0031611659999999995,0.0,0.003168208,0.000473833,122.0
data/classic/tsplib/gr48.tsp,root-hybrid12,5093.0,5093.0,0.0,0.010021292,0.017393208,0.007371916000000001,0.0,0.007497541,0.006252541,318.0
data/classic/tsplib/gr96.tsp,root-hybrid12,55595.0,55595.0,0.0,0.051432083,0.06917625,0.01774416699999999,0.0,0.017554041,0.038512792,370.0
data/classic/tsplib/hk48.tsp,root-hybrid12,11470.0,11470.0,0.0,0.006695709,0.011222875,0.004527166,0.0,0.004411875,0.0041735,162.0
data/classic/tsplib/kroA100.tsp,root-hybrid12,21689.0,21689.0,0.0,0.07259275,0.082569709,0.009976959000000007,0.0,0.009214542,0.05584425,391.0
data/classic/tsplib/kroA150.tsp,root-hybrid12,26816.0,26816.0,0.0,0.310316042,0.339106833,0.028790790999999982,0.0,0.031465125,0.241957875,602.0
data/classic/tsplib/kroB100.tsp,root-hybrid12,22344.0,22327.0,17.0,0.075695542,0.084902792,0.00920725,1.0,0.011863458,0.055763291,400.0
data/classic/tsplib/kroB150.tsp,root-hybrid12,26482.0,26472.0,10.0,0.247602792,0.283921958,0.036319165999999986,1.0,0.030405958,0.173929125,429.0
data/classic/tsplib/kroC100.tsp,root-hybrid12,20965.0,20965.0,0.0,0.061222,0.078398583,0.017176582999999995,0.0,0.014770375,0.046746542,354.0
data/classic/tsplib/kroD100.tsp,root-hybrid12,21811.0,21811.0,0.0,0.068202333,0.086831375,0.018629042,0.0,0.015184333,0.055911083,388.0
data/classic/tsplib/kroE100.tsp,root-hybrid12,22597.0,22597.0,0.0,0.097861584,0.115150667,0.017289082999999997,0.0,0.015798125,0.083207417,591.0
data/classic/tsplib/lin105.tsp,root-hybrid12,14523.0,14523.0,0.0,0.07075425,0.083272125,0.012517874999999998,0.0,0.012863958,0.050186166,345.0
data/classic/tsplib/pr107.tsp,root-hybrid12,44303.0,44303.0,0.0,0.10792775,0.128463416,0.020535665999999994,0.0,0.019869125,0.093732167,524.0
data/classic/tsplib/pr124.tsp,root-hybrid12,59159.0,59159.0,0.0,0.099838125,0.114389958,0.014551833,0.0,0.016048875,0.077483125,370.0
data/classic/tsplib/pr136.tsp,root-hybrid12,100656.0,100656.0,0.0,0.226009458,0.248358375,0.022348916999999996,0.0,0.018913375,0.187680208,592.0
data/classic/tsplib/pr144.tsp,root-hybrid12,58537.0,58537.0,0.0,0.122037375,0.17087025,0.048832875,0.0,0.0469855,0.097980709,288.0
data/classic/tsplib/pr152.tsp,root-hybrid12,74442.0,74442.0,0.0,0.2896895,0.341162042,0.05147254200000001,0.0,0.048837584,0.246379125,621.0
data/classic/tsplib/pr76.tsp,root-hybrid12,109067.0,109067.0,0.0,0.030205042,0.037730334,0.007525291999999996,0.0,0.007471458,0.022343542,342.0
data/classic/tsplib/rat195.tsp,root-hybrid12,2356.0,2354.0,2.0,0.5172165,0.546407,0.029190500000000008,1.0,0.020290125,0.42969075,645.0
data/classic/tsplib/rat99.tsp,root-hybrid12,1224.0,1217.0,7.0,0.065029917,0.070708459,0.005678541999999995,1.0,0.004452,0.055529833,495.0
data/classic/tsplib/rd100.tsp,root-hybrid12,8069.0,8069.0,0.0,0.09112775,0.114234958,0.023107208000000004,0.0,0.018036458,0.076361459,523.0
data/classic/tsplib/si175.tsp,root-hybrid12,21455.0,21451.0,4.0,0.24451325,0.277080041,0.03256679100000001,1.0,0.030391708,0.173202125,329.0
data/classic/tsplib/st70.tsp,root-hybrid12,685.0,685.0,0.0,0.024899833,0.037752583,0.01285275,0.0,0.012620084,0.01957275,385.0
data/classic/tsplib/swiss42.tsp,root-hybrid12,1274.0,1273.0,1.0,0.004181542,0.008015708,0.003834166,1.0,0.0037345,0.002515833,153.0
data/classic/tsplib/u159.tsp,root-hybrid12,43135.0,42738.0,397.0,0.2495945,0.259493083,0.009898583000000016,1.0,0.00970575,0.192657708,484.0
data/classic/tsplib/ulysses16.tsp,root-hybrid12,6859.0,6859.0,0.0,0.001414792,0.004459416,0.003044624,0.0,0.003019042,0.000221208,134.0
data/classic/vlsi/vlsi/xqf131.tsp,root-hybrid12,582.0,582.0,0.0,0.171179833,0.19546125,0.024281417,0.0,0.022496708,0.145547125,577.0
