instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PPS32:status,PPS32:successful_repeats,PPS32:result,result_match,P32:matches_reference,PPS32:matches_reference,P32:wall_vs_Concorde_relative_change,PPS32:wall_vs_Concorde_relative_change,P32:wall_seconds,PPS32:wall_seconds,relative_change:wall_seconds,P32:branches,PPS32:branches,relative_change:branches,P32:nodes_expanded,PPS32:nodes_expanded,P32:pruned_by_bound,PPS32:pruned_by_bound,P32:pruned_infeasible,PPS32:pruned_infeasible,P32:root_potential_iterations,PPS32:root_potential_iterations,P32:search_node_potential_update_candidates,PPS32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PPS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PPS32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PPS32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.46090673789621206,0.03277943842113018,0.04829448647797108,0.47331646923028536,29.0,31.0,0.06896551724137923,9.0,11.0,20.0,20.0,1.0,1.0,100.0,100.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,332.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.30995310214405036,0.015848398208618164,0.016458507627248764,0.03849659824289553,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.16003142668289427,0.021672306582331657,0.03425774723291397,0.5807153291584843,10.0,8.0,-0.19999999999999996,3.0,2.0,5.0,5.0,3.0,1.0,100.0,100.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,82.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.3891269183020174,0.02518514357507229,0.03479118086397648,0.38141681663518634,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.2201997691935873,0.053270261734724045,0.0707937590777874,0.32895459441005004,88.0,88.0,0.0,26.0,27.0,62.0,61.0,0.0,0.0,120.0,120.0,82.0,81.0,82.0,81.0,0.0,0.0,0.0,1173.0,1228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,-0.464778544502806,0.008114388212561607,0.012707259505987167,0.5660157208544068,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1549.4207871066144,1344.1061275218076,286.81496934965253,248.83346246741712,-0.13242512051709765,205952.0,184428.0,-0.10450978868862648,62812.0,56123.0,143850.0,128942.0,0.0,0.0,400.0,400.0,195829.0,175536.0,194122.0,173832.0,1707.0,1704.0,-0.0017574692442882123,3035962.0,2714691.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,271.56664336259684,120.09638583473861,90.73371335677803,-0.24449255715626417,60352.0,50100.0,-0.1698700954400848,18041.0,15092.0,42505.0,35171.0,0.0,0.0,400.0,400.0,58114.0,47921.0,57710.0,47517.0,404.0,404.0,0.0,895438.0,741158.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.5807154384204738,0.027104808017611504,0.018154075369238853,-0.3302267495330298,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.5815692455123966,0.0198777224868536,0.01574544608592987,-0.2078848018759023,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
