instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,result_match,PPSD32:matches_reference,PSD-PSD64:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PSD-PSD64:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PSD-PSD64:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PSD-PSD64:branches,relative_change:branches,PPSD32:nodes_expanded,PSD-PSD64:nodes_expanded,PPSD32:pruned_by_bound,PSD-PSD64:pruned_by_bound,PPSD32:pruned_infeasible,PSD-PSD64:pruned_infeasible,PPSD32:root_potential_iterations,PSD-PSD64:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PSD-PSD64:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PSD-PSD64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5634221594340482,-0.41929117625765355,0.03911067731678486,0.052022602409124374,0.33013811005513305,22.0,35.0,0.5909090909090908,7.0,12.0,15.0,23.0,0.0,2.0,100.0,100.0,18.0,28.0,18.0,28.0,0.0,0.0,0.0,239.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.05677113810373291,-0.3223779531580594,0.02249722369015217,0.01616215892136097,-0.2815931803871551,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.42514663494221305,-0.5858862261094391,0.023445140570402145,0.01688944734632969,-0.27961842260602876,11.0,12.0,0.09090909090909083,3.0,3.0,6.0,8.0,4.0,1.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,85.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.796202674470476,-0.127651021110316,0.011606911197304726,0.04968307167291641,3.2804731446944695,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3095341858634837,-0.31793155566259157,0.06268358044326305,0.06192122958600521,-0.012161890751404503,47.0,71.0,0.5106382978723405,14.0,21.0,33.0,50.0,0.0,2.0,120.0,100.0,44.0,60.0,44.0,60.0,0.0,0.0,0.0,622.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.4872933351252089,0.0828165804346177,0.01217271201312542,0.02570829540491104,1.111961194612233,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,330.24310084220025,319.03731713371747,110.2663047555834,106.53605238720775,-0.03382948559529719,59460.0,78972.0,0.32815338042381437,17996.0,25409.0,41645.0,54042.0,0.0,0.0,400.0,400.0,56929.0,75665.0,56524.0,75645.0,405.0,20.0,-0.9506172839506173,889991.0,703004.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.1409575759812769,0.037369878528987766,0.03719459846615791,0.04491577483713627,0.20758864699140633,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4511072985676893,-0.3245821767004977,0.020654696971178055,0.025415806099772453,0.230509754524026,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.761656648855711,2380.8376800304413,0.5329198185354471,187.724483827129,351.2565258372776,789.0,344662.0,435.8339670468948,195.0,100105.0,604.0,247287.0,0.0,6.0,400.0,500.0,417.0,324471.0,390.0,318088.0,27.0,6383.0,235.40740740740742,6613.0,2855700.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
